## 1
## 그의 집에서는 새총 5자루와 고무줄 81개, 쇠구슬 3600발이 발견됐다.
## 그의 집에서는 새총 <5자루:NOH>와 고무줄 <81개:NOH>, 쇠구슬 <3600발:NOH>이 발견됐다.
그	그	NP	O
의	의	JKG	O
_	_	_	O
집	집	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
새총	새총	NNG	O
_	_	_	O
5	5	SN	B-NOH
자루	자루	NNB	I-NOH
와	와	JC	O
_	_	_	O
고무줄	고무줄	NNG	O
_	_	_	O
81	81	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
쇠구슬	쇠구슬	NNG	O
_	_	_	O
3600	3600	SN	B-NOH
발	발	NNB	I-NOH
이	이	JKS	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘10년 전 모습 그대로’ 김남주-김승우 부부, 리마인드 웨딩 화보 공개…“우린 좋은 친구이자 동료”리마인드 웨딩 화보배우 김남주(44), 김승우(46) 부부가 결혼 10주년을 맞아 리마인드 웨딩 화보를 촬영했다.
## ‘<10년:NOH> 전 모습 그대로’ <김남주:PER>-<김승우:PER> 부부, 리마인드 웨딩 화보 공개…“우린 좋은 친구이자 동료”리마인드 웨딩 화보배우 <김남주:PER>(<44:NOH>), <김승우:PER>(<46:NOH>) 부부가 결혼 <10주년:DUR>을 맞아 리마인드 웨딩 화보를 촬영했다.
‘	‘	SS	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
모습	모습	NNG	O
_	_	_	O
그대로	그대로	MAG	O
’	’	SS	O
_	_	_	O
김남주	김남주	NNP	B-PER
-	-	SO	O
김승우	김승우	NNP	B-PER
_	_	_	O
부부	부부	NNG	O
,	,	SP	O
_	_	_	O
리	리	NNB	O
마인드	마인드	NNG	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
화보	화보	NNG	O
_	_	_	O
공개	공개	NNG	O
…	…	SE	O
“	“	SS	O
우린	우리+ㄴ	NP+JX	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
친구	친구	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
동료	동료	NNG	O
”	”	SS	O
리	리	NNB	O
마인드	마인드	NNG	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
화보	화보	NNG	O
배우	배우	NNG	O
_	_	_	O
김남주	김남주	NNP	B-PER
(	(	SS	O
44	44	SN	B-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
김승우	김승우	NNP	B-PER
(	(	SS	O
46	46	SN	B-NOH
)	)	SS	O
_	_	_	O
부부	부부	NNG	O
가	가	JKS	O
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
10	10	SN	B-DUR
주년	주년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
리	리	NNB	O
마인드	마인드	NNG	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
화보	화보	NNG	O
를	를	JKO	O
_	_	_	O
촬영	촬영하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 패션 매거진 마리끌레르는 결혼 10주년을 맞이한 배우 김남주, 김승우 부부의 리마인드 웨딩 화보를 24일 공개했다.
## 패션 매거진 <마리끌레르:ORG>는 결혼 <10주년:DUR>을 맞이한 배우 <김남주:PER>, <김승우:PER> 부부의 리마인드 웨딩 화보를 <24일:DAT> 공개했다.
패션	패션	NNG	O
_	_	_	O
매거진	매거진	NNG	O
_	_	_	O
마리끌레르	마리끌레르	NNP	B-ORG
는	는	JX	O
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
10	10	SN	B-DUR
주년	주년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
맞이한	맞이하+ㄴ	VV+ETM	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
김남주	김남주	NNP	B-PER
,	,	SP	O
_	_	_	O
김승우	김승우	NNP	B-PER
_	_	_	O
부부	부부	NNG	O
의	의	JKG	O
_	_	_	O
리	리	NNB	O
마인드	마인드	NNG	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
화보	화보	NNG	O
를	를	JKO	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 화보 속 김남주, 김승우는 10년 전 실제 결혼식 때 입은 웨딩드레스와 턱시도를 입고 당시의 모습을 완벽하게 재연했다.
