## 1
## 웡 셰프는 제주페스티벌 때 제주 옥돔에 하와이의 재료들을 곁들인 요리를 선보일 계획이다.
## <웡:PER> 셰프는 <제주페스티벌:POH> 때 <제주:LOC> 옥돔에 하와이의 재료들을 곁들인 요리를 선보일 계획이다.
웡	웡	NNP	B-PER
_	_	_	O
셰프	셰프	NNG	O
는	는	JX	O
_	_	_	O
제주	제주	NNP	B-POH
페스티벌	페스티벌	NNG	I-POH
_	_	_	O
때	때	NNG	O
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
옥돔	옥돔	NNG	O
에	에	JKB	O
_	_	_	O
하와이	하와이	NNP	O
의	의	JKG	O
_	_	_	O
재료	재료	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
곁들인	곁들이+ㄴ	VV+ETM	O
_	_	_	O
요리	요리	NNG	O
를	를	JKO	O
_	_	_	O
선보일	선보이+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 2015년 이전만 해도 “여전히 (반부패 문제가) 심각하고 복잡하다”고 했지만 2015년에는 “부패와 반부패의 교착 상태”라고 했고 지난해 말에는 “반부패 투쟁의 압도적 태세가 이미 형성됐다”고 긍정적으로 평가했다.
## <2015년:DAT> 이전만 해도 “여전히 (반부패 문제가) 심각하고 복잡하다”고 했지만 <2015년:DAT>에는 “부패와 반부패의 교착 상태”라고 했고 지난해 말에는 “반부패 투쟁의 압도적 태세가 이미 형성됐다”고 긍정적으로 평가했다.
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이전	이전	NNG	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
“	“	SS	O
여전히	여전히	MAG	O
_	_	_	O
(	(	SS	O
반	반	XPN	O
부패	부패	NNG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
)	)	SS	O
_	_	_	O
심각하	심각하	VA	O
고	고	EC	O
_	_	_	O
복잡하	복잡하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
부패	부패	NNG	O
와	와	JC	O
_	_	_	O
반	반	XPN	O
부패	부패	NNG	O
의	의	JKG	O
_	_	_	O
교착	교착	NNG	O
_	_	_	O
상태	상태	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
했	+였	+EP	O
고	고	EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
말	말	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
반	반	XPN	O
부패	부패	NNG	O
_	_	_	O
투쟁	투쟁	NNG	O
의	의	JKG	O
_	_	_	O
압도적	압도적	NNG	O
_	_	_	O
태세	태세	NNG	O
가	가	JKS	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
형성	형성되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
긍정적	긍정적	NNG	O
으로	으로	JKB	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 쉐이크쉑 4호점이 들어서게 될 곳은 AK플라자 분당점 1층이다.
## <쉐이크쉑:ORG> <4호점:NOH>이 들어서게 될 곳은 <AK플라자 분당점:LOC> 1층이다.
쉐이크	쉐이크	NNG	B-ORG
쉑	쉑	NNP	I-ORG
_	_	_	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
점	점	XSN	I-NOH
이	이	JKS	O
_	_	_	O
들어서	들어서	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
AK	AK	SL	B-LOC
플라자	플라자	NNG	I-LOC
_	_	_	I-LOC
분당	분당	NNP	I-LOC
점	점	XSN	I-LOC
_	_	_	O
1	1	SN	O
층	층	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 온라인 중앙일보환절기 면역력[사진 중앙DB]
## <온라인 중앙일:ORG>보환절기 면역력[사진 <중앙DB:POH>]
온라인	온라인	NNG	B-ORG
_	_	_	I-ORG
중앙일보	중앙일보	NNP	O
환절기	환절기	NNG	O
_	_	_	O
면역력	면역력	NNG	O
[	[	SS	O
사진	사진	NNG	O
_	_	_	O
중앙	중앙	NNG	B-POH
DB	DB	SL	I-POH
]	]	SS	O

## 5
## 민자당 로재봉의원은 『6·25는 우리로선 그냥 넘어갈 수 없는 문제』라고 전제, 『북한의 남침사실이 역사적으로 밝혀진 만큼 반드시 이 문제를 거론해야 한다』고 말한다.
## <민자당:ORG> <로재봉:PER>의원은 『<6·25:POH>는 우리로선 그냥 넘어갈 수 없는 문제』라고 전제, 『<북한:ORG>의 남침사실이 역사적으로 밝혀진 만큼 반드시 이 문제를 거론해야 한다』고 말한다.
민자당	민자당	NNP	B-ORG
_	_	_	O
로재봉	로재봉	NNP	B-PER
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
『	『	SS	O
6	6	SN	B-POH
·	·	SP	I-POH
25	25	SN	I-POH
는	는	JX	O
_	_	_	O
우리	우리	NP	O
로선	로서+ㄴ	JKB+JX	O
_	_	_	O
그냥	그냥	MAG	O
_	_	_	O
넘어갈	넘어가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
문제	문제	NNG	O
』	』	SS	O
라고	라고	JKQ	O
_	_	_	O
전제	전제	NNG	O
,	,	SP	O
_	_	_	O
『	『	SS	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
남침	남침	NNG	O
사실	사실	NNG	O
이	이	JKS	O
_	_	_	O
역사적	역사적	NNG	O
으로	으로	JKB	O
_	_	_	O
밝혀진	밝혀지+ㄴ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
이	이	MM	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
거론해야	거론하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말한다	말하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 중국 당나라 때 썼던 청동젓가락·은젓가락과 한·중·일 도예가 60여 명이 만든 창작 젓가락도 선보인다.
## <중국:ORG> <당나라 때:DUR> 썼던 청동젓가락·은젓가락과 <한:ORG>·<중:ORG>·<일:ORG> 도예가 <60여 명:NOH>이 만든 창작 젓가락도 선보인다.
중국	중국	NNP	B-ORG
_	_	_	O
당나라	당나라	NNG	B-DUR
_	_	_	I-DUR
때	때	NNG	I-DUR
_	_	_	O
썼	+었	+EP	O
던	던	ETM	O
_	_	_	O
청동	청동	NNG	O
젓가락	젓가락	NNG	O
·	·	SP	O
은	은	NNG	O
젓가락	젓가락	NNG	O
과	과	JC	O
_	_	_	O
한	한	NNP	B-ORG
·	·	SP	O
중	중	NNP	B-ORG
·	·	SP	O
일	일	NNP	B-ORG
_	_	_	O
도예가	도예가	NNG	O
_	_	_	O
60	60	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
창작	창작	NNG	O
_	_	_	O
젓가락	젓가락	NNG	O
도	도	JX	O
_	_	_	O
선보인다	선보이+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 2013년 12월 한국행정연구원이 전자카드 도입 효과에 대한 연구용역을 한 결과, 스포츠토토 이용고객 중 전자카드가 도입되면 차라리 불법도박사이트를 이용하겠다는 응답이 38.44%에 달했을 정도다.
## <2013년 12월:DAT> <한국행정연구원:ORG>이 전자카드 도입 효과에 대한 연구용역을 한 결과, <스포츠토토:POH> 이용고객 중 전자카드가 도입되면 차라리 불법도박사이트를 이용하겠다는 응답이 <38.44%:PNT>에 달했을 정도다.
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-ORG
행정	행정	NNG	I-ORG
연구원	연구원	NNG	I-ORG
이	이	JKS	O
_	_	_	O
전자	전자	NNG	O
카드	카드	NNG	O
_	_	_	O
도입	도입	NNG	O
_	_	_	O
효과	효과	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
연구	연구	NNG	O
용역	용역	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
,	,	SP	O
_	_	_	O
스포츠토토	스포츠토토	NNP	B-POH
_	_	_	O
이용	이용	NNG	O
고객	고객	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
전자	전자	NNG	O
카드	카드	NNG	O
가	가	JKS	O
_	_	_	O
도입되	도입되	VV	O
면	면	EC	O
_	_	_	O
차라리	차라리	MAG	O
_	_	_	O
불법	불법	NNG	O
도박	도박	NNG	O
사이트	사이트	NNG	O
를	를	JKO	O
_	_	_	O
이용하	이용하	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
응답	응답	NNG	O
이	이	JKS	O
_	_	_	O
38.44	38.44	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
달	달하	VV	O
했	었	EP	O
을	을	ETM	O
_	_	_	O
정도	정도+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 매출총량 규제와 영업장수 규제 등 합법사행산업에 대한 규제가 오히려 불법도박시장규모(2008년 53조원→2012년 75조원)만 키웠다는 점에 주목할 필요가 있다.
## 매출총량 규제와 영업장수 규제 등 합법사행산업에 대한 규제가 오히려 불법도박시장규모(<2008년:DAT> <53조원:MNY>→<2012년:DAT> <75조원:MNY>)만 키웠다는 점에 주목할 필요가 있다.
매출	매출	NNG	O
총량	총량	NNG	O
_	_	_	O
규제	규제	NNG	O
와	와	JC	O
_	_	_	O
영업장	영업장	NNG	O
수	수	NNG	O
_	_	_	O
규제	규제	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
합법	합법	NNG	O
사행	사행	NNG	O
산업	산업	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
규제	규제	NNG	O
가	가	JKS	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
불법	불법	NNG	O
도박	도박	NNG	O
시장	시장	NNG	O
규모	규모	NNG	O
(	(	SS	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
53	53	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
→	→	SW	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
75	75	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
만	만	JX	O
_	_	_	O
키	키우	VV	O
웠	었	EP	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
에	에	JKB	O
_	_	_	O
주목할	주목하+ㄹ	VV+ETM	O
_	_	_	O
필요	필요	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## “정음이를 올해 1군에서 쓰겠다”고 공언했다.
## “<정음:PER>이를 올해 <1군:NOH>에서 쓰겠다”고 공언했다.
“	“	SS	O
정음	정음	NNG	B-PER
이	이	NP	O
를	를	JKO	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
1	1	SN	B-NOH
군	군	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
쓰	쓰	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
공언	공언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 그동안 천정배 의원이 이끄는 국민회의와 정의당과는 비공식인 협의를 이어왔습니다만 결실을 맺지못했습니다.
## 그동안 <천정배:PER> 의원이 이끄는 <국민회의:ORG>와 <정의당:ORG>과는 비공식인 협의를 이어왔습니다만 결실을 맺지못했습니다.
그동안	그동안	NNG	O
_	_	_	O
천정배	천정배	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
