## 1
## A의원은 지난 2015년 12월16일 충북 청주시의 한 도로에서 운전 중이던 사촌 여동생 B씨를 추행하고 B씨의 아들까지 탄 차량 안에서 성폭행을 한 혐의로 기소돼 1심과 2심에서 징역 7년과 성폭력 치료프로그램 40시간 이수를 선고 받았다.
## <A:PER>의원은 지난 <2015년 12월16일:DAT> <충북 청주시:LOC>의 한 도로에서 운전 중이던 사촌 여동생 <B:PER>씨를 추행하고 <B:PER>씨의 아들까지 탄 차량 안에서 성폭행을 한 혐의로 기소돼 <1심:NOH>과 <2심:NOH>에서 징역 <7년:DUR>과 성폭력 치료프로그램 <40시간:NOH> 이수를 선고 받았다.
A	A	SL	B-PER
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
16	16	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
충북	충북	NNP	B-LOC
_	_	_	I-LOC
청주시	청주시	NNP	I-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
도로	도로	NNG	O
에서	에서	JKB	O
_	_	_	O
운전	운전	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
던	던	ETM	O
_	_	_	O
사촌	사촌	NNG	O
_	_	_	O
여동생	여동생	NNG	O
_	_	_	O
B	B	SL	B-PER
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
추행하	추행하	VV	O
고	고	EC	O
_	_	_	O
B	B	SL	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
아들	아들	NNG	O
까지	까지	JX	O
_	_	_	O
탄	타+ㄴ	VV+ETM	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
안	안	NNG	O
에서	에서	JKB	O
_	_	_	O
성폭행	성폭행	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소돼	기소되+어	VV+EC	O
_	_	_	O
1	1	SN	B-NOH
심	심	NNG	I-NOH
과	과	JC	O
_	_	_	O
2	2	SN	B-NOH
심	심	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
7	7	SN	B-DUR
년	년	NNB	I-DUR
과	과	JC	O
_	_	_	O
성폭력	성폭력	NNG	O
_	_	_	O
치료	치료	NNG	O
프로그램	프로그램	NNG	O
_	_	_	O
40	40	SN	B-NOH
시간	시간	NNB	I-NOH
_	_	_	O
이수	이수	NNG	O
를	를	JKO	O
_	_	_	O
선고	선고	NNG	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 1심 재판부는 “피고인이 친족관계에 있는 피해자를 유사강간한 후 강간에까지 이른 것으로 죄질이 매우 나쁘다.
## <1심:NOH> 재판부는 “피고인이 친족관계에 있는 피해자를 유사강간한 후 강간에까지 이른 것으로 죄질이 매우 나쁘다.
1	1	SN	B-NOH
심	심	NNG	I-NOH
_	_	_	O
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
피고인	피고인	NNG	O
이	이	JKS	O
_	_	_	O
친족	친족	NNG	O
관계	관계	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
피해자	피해자	NNG	O
를	를	JKO	O
_	_	_	O
유사	유사	NNG	O
강간	강간	NNG	O
한	한	NNP	O
_	_	_	O
후	후	NNG	O
_	_	_	O
강간	강간	NNG	O
에	에	JKB	O
까지	까지	JX	O
_	_	_	O
이른	이르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
죄질	죄질	NNG	O
이	이	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
나쁘	나쁘	VA	O
다	다	EF	O
.	.	SF	O

## 3
