## 1
## 그러면서 "이미 시애틀이 로스터 진입 보너스로 25만 달러를 지급했고, 타석당 인센티브로 100만 달러 정도를 더 주게 되겠지만 올 시즌 최고의 헐값 계약"이라고 강조했다.
## 그러면서 "이미 <시애틀:ORG>이 로스터 진입 보너스로 <25만 달러:MNY>를 지급했고, 타석당 인센티브로 <100만 달러:MNY> 정도를 더 주게 되겠지만 올 시즌 최고의 헐값 계약"이라고 강조했다.
그러	그러	VV	O
면서	면서	EC	O
_	_	_	O
"	"	SS	O
이미	이미	MAG	O
_	_	_	O
시애틀	시애틀	NNP	B-ORG
이	이	JKS	O
_	_	_	O
로스터	로스터	NNG	O
_	_	_	O
진입	진입	NNG	O
_	_	_	O
보너스	보너스	NNG	O
로	로	JKB	O
_	_	_	O
25	25	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
를	를	JKO	O
_	_	_	O
지급	지급하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
타석	타석	NNG	O
당	당	XSN	O
_	_	_	O
인센티브	인센티브	NNG	O
로	로	JKB	O
_	_	_	O
100	100	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
_	_	_	O
정도	정도	NNG	O
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
주	주	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
겠	겠	EP	O
지만	지만	EC	O
_	_	_	O
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
헐값	헐값	NNG	O
_	_	_	O
계약	계약	NNG	O
"	"	SS	O
이라고	이라고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 무실점 행진을 이어가고 있는 오승환은 7위에 올랐다.
## 무실점 행진을 이어가고 있는 <오승환:PER>은 <7위:NOH>에 올랐다.
무실점	무실점	NNG	O
_	_	_	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
오승환	오승환	NNP	B-PER
은	은	JX	O
_	_	_	O
7	7	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2012년 그 힉스 입자의 ‘유력 후보’를 찾아낸 것이 바로 LHC였다.
## <2012년:DAT> 그 힉스 입자의 ‘유력 후보’를 찾아낸 것이 바로 <LHC:POH>였다.
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
그	그	MM	O
_	_	_	O
힉스	힉스	NNP	O
_	_	_	O
입자	입자	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
유력	유력	NNG	O
_	_	_	O
후보	후보	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
찾아낸	찾아내+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
LHC	LHC+이	SL+VCP	B-POH
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
