## 1
## 오비맥주 관계자는 “맛은 물론, 건강까지 챙기는 소비 트렌드가 보편화되며 일상에서 가볍게 즐길 수 있는 저칼로리 맥주 또한 꾸준히 인기를 얻고 있다”면서 “여름 바캉스 시즌도 다가오고 있어 자기관리에 민감한 젊은 소비자들을 중심으로 저칼로리 식품의 인기는 한동안 계속 이어질 것으로 전망한다”고 말했다.
## <오비맥주:ORG> 관계자는 “맛은 물론, 건강까지 챙기는 소비 트렌드가 보편화되며 일상에서 가볍게 즐길 수 있는 저칼로리 맥주 또한 꾸준히 인기를 얻고 있다”면서 “여름 바캉스 시즌도 다가오고 있어 자기관리에 민감한 젊은 소비자들을 중심으로 저칼로리 식품의 인기는 한동안 계속 이어질 것으로 전망한다”고 말했다.
오비	오비	NNP	B-ORG
맥주	맥주	NNG	I-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
맛	맛	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
,	,	SP	O
_	_	_	O
건강	건강	NNG	O
까지	까지	JX	O
_	_	_	O
챙기	챙기	VV	O
는	는	ETM	O
_	_	_	O
소비	소비	NNG	O
_	_	_	O
트렌드	트렌드	NNG	O
가	가	JKS	O
_	_	_	O
보편화되	보편화되	VV	O
며	며	EC	O
_	_	_	O
일상	일상	NNG	O
에서	에서	JKB	O
_	_	_	O
가볍	가볍	VA	O
게	게	EC	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
저칼로리	저칼로리	NNG	O
_	_	_	O
맥주	맥주	NNG	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
여름	여름	NNG	O
_	_	_	O
바캉스	바캉스	NNG	O
_	_	_	O
시즌	시즌	NNG	O
도	도	JX	O
_	_	_	O
다가오	다가오	VV	O
고	고	EC	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
자기	자기	NNG	O
관리	관리	NNG	O
에	에	JKB	O
_	_	_	O
민감한	민감하+ㄴ	VA+ETM	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
저칼로리	저칼로리	NNG	O
_	_	_	O
식품	식품	NNG	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
는	는	JX	O
_	_	_	O
한동안	한동안	NNG	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
이어질	이어지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망한다	전망하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 28일에는 4만~5만원인 티켓을 40~50% 할인해준다.
## <28일:DAT>에는 <4만:MNY>~<5만원:MNY>인 티켓을 <40:PNT>~<50%:PNT> 할인해준다.
28	28	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
4	4	SN	B-MNY
만	만	NR	I-MNY
~	~	SO	O
5	5	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
인	이+ㄴ	VCP+ETM	O
_	_	_	O
티켓	티켓	NNG	O
을	을	JKO	O
_	_	_	O
40	40	SN	B-PNT
~	~	SO	O
50	50	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
할인해	할인하+여	VV+EC	O
준다	주+ㄴ다	VX+EF	O
.	.	SF	O

## 3
## 골드만삭스는 최근 보고서에서 VR 생중계 시장이 2025년이면 전 세계적으로 시청자 9500만 명을 확보해 41억 달러 규모로 성장할 것으로 내다봤다.
## <골드만삭스:ORG>는 최근 보고서에서 VR 생중계 시장이 <2025년:DAT>이면 전 세계적으로 시청자 <9500만 명:NOH>을 확보해 <41억 달러:MNY> 규모로 성장할 것으로 내다봤다.
골드만삭스	골드만삭스	NNP	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
보고서	보고서	NNG	O
에서	에서	JKB	O
_	_	_	O
VR	VR	SL	O
_	_	_	O
생	생	XPN	O
중계	중계	NNG	O
_	_	_	O
시장	시장	NNG	O
이	이	JKS	O
_	_	_	O
2025	2025	SN	B-DAT
년	년	NNB	I-DAT
이	이	VCP	O
면	면	EC	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계적	세계적	NNG	O
으로	으로	JKB	O
_	_	_	O
시청자	시청자	NNG	O
_	_	_	O
9500	9500	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
확보해	확보하+여	VV+EC	O
_	_	_	O
41	41	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
_	_	_	O
규모	규모	NNG	O
로	로	JKB	O
_	_	_	O
성장할	성장하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
내다	내다보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 다음 달 10일에도 아파트 입주민 대표뿐 아니라 경비원, 경비업체, 구청까지 모여 또 한 번 상생 선언을 한다.
## 다음 달 <10일:DAT>에도 아파트 입주민 대표뿐 아니라 경비원, 경비업체, 구청까지 모여 또 한 번 상생 선언을 한다.
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
입주민	입주민	NNG	O
_	_	_	O
대표	대표	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
경비원	경비원	NNG	O
,	,	SP	O
_	_	_	O
경비	경비	NNG	O
업체	업체	NNG	O
,	,	SP	O
_	_	_	O
구청	구청	NNG	O
까지	까지	JX	O
_	_	_	O
모	모이	VV	O
여	어	EC	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
번	번	NNB	O
_	_	_	O
상생	상생	NNG	O
_	_	_	O
선언	선언	NNG	O
을	을	JKO	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 이후 옵티스는 사세를 확장해왔다.
## 이후 <옵티스:ORG>는 사세를 확장해왔다.
이후	이후	NNG	O
_	_	_	O
옵티스	옵티스	NNG	B-ORG
는	는	JX	O
_	_	_	O
사세	사세	NNG	O
를	를	JKO	O
_	_	_	O
확장해	확장하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 박 후보자에 대한 인사청문회는 7일로 예정돼 있다.
## <박:PER> 후보자에 대한 인사청문회는 <7일:DAT>로 예정돼 있다.
박	박	NNP	B-PER
_	_	_	O
후보자	후보자	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
인사	인사	NNG	O
청문회	청문회	NNG	O
는	는	JX	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
로	로	JKB	O
_	_	_	O
예정돼	예정되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 모두 5단계로 나뉘며, 숫자가 낮아질수록 전쟁발발 가능성이 높다는 것을 의미한다.
## 모두 <5단계:NOH>로 나뉘며, 숫자가 낮아질수록 전쟁발발 가능성이 높다는 것을 의미한다.
모두	모두	MAG	O
_	_	_	O
5	5	SN	B-NOH
단계	단계	NNG	I-NOH
로	로	JKB	O
_	_	_	O
나뉘	나뉘	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
숫자	숫자	NNG	O
가	가	JKS	O
_	_	_	O
낮	낮	VA	O
아	아	EC	O
질수록	지+ㄹ수록	VX+EC	O
_	_	_	O
전쟁	전쟁	NNG	O
발발	발발	NNG	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
의미한다	의미하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## ‘인구소멸’로 전남 섬 39곳 50년내 무인도 된다
## ‘인구소멸’로 <전남:LOC> 섬 <39곳:NOH> <50년:DUR>내 무<인도:LOC> 된다
‘	‘	SS	O
인구	인구	NNG	O
소멸	소멸	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
섬	섬	NNG	O
_	_	_	O
39	39	SN	B-NOH
곳	곳	NNG	I-NOH
_	_	_	O
50	50	SN	B-DUR
년	년	NNB	I-DUR
내	내	NNB	O
_	_	_	O
무인도	무인도	NNG	B-LOC
_	_	_	O
된다	되+ㄴ다	VV+EF	O

## 9
## 전파로 목표물을 탐지한 뒤 2m 주변에서 폭발해 헬기를 격추시키는 기능인 ‘근접기능’과 관련한 ADD의 성능 시험에도 의문이 제기됐다.
