## 1
## ▷홍준표 경남도지사는 작년 3월 부인을 동반한 미국 출장이 논란이 되자 “정치를 시작한 뒤 해외출장 때 대부분 사비를 들여 집사람과 같이 간다”고 말했다.
## ▷<홍준표:PER> 경남도지사는 작년 <3월:DAT> 부인을 동반한 <미국:ORG> 출장이 논란이 되자 “정치를 시작한 뒤 해외출장 때 대부분 사비를 들여 집사람과 같이 간다”고 말했다.
▷	▷	SW	O
홍준표	홍준표	NNP	B-PER
_	_	_	O
경남	경남	NNP	O
도지사	도지사	NNG	O
는	는	JX	O
_	_	_	O
작년	작년	NNG	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
부인	부인	NNG	O
을	을	JKO	O
_	_	_	O
동반한	동반하+ㄴ	VV+ETM	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
출장	출장	NNG	O
이	이	JKS	O
_	_	_	O
논란	논란	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
자	자	EC	O
_	_	_	O
“	“	SS	O
정치	정치	NNG	O
를	를	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
해외	해외	NNG	O
출장	출장	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
사비	사비	NNG	O
를	를	JKO	O
_	_	_	O
들	들이	VV	O
여	어	EC	O
_	_	_	O
집사람	집사람	NNG	O
과	과	JKB	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
간다	가+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 배씨는 헌납을 결심한 가장 큰 이유로 해례본 보존 문제를 들었다.
## <배:PER>씨는 헌납을 결심한 가장 큰 이유로 해례본 보존 문제를 들었다.
배	배	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
헌납	헌납	NNG	O
을	을	JKO	O
_	_	_	O
결심한	결심하+ㄴ	VV+ETM	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
해례	해례	NNG	O
본	본	XSN	O
_	_	_	O
보존	보존	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘모름/무응답’은 1.7%p 감소한 13.7%. 이번 주간집계는 전화면접(CATI) 및 자동응답(ARS) 방식으로 무선전화(50%)와 유선전화(50%) 병행 RDD 방법으로 조사했고, 응답률은 전화면접 방식은 15.7%, 자동응답 방식은 6.3%였으며 표본오차는 95% 신뢰수준에서 ±2.0%p이다.
## ‘모름/무응답’은 <1.7%p:PNT> 감소한 <13.7%:PNT>. 이번 주간집계는 전화면접(CATI) 및 자동응답(ARS) 방식으로 무선전화(<50%:PNT>)와 유선전화(<50%:PNT>) 병행 RDD 방법으로 조사했고, 응답률은 전화면접 방식은 <15.7%:PNT>, 자동응답 방식은 <6.3%:PNT>였으며 표본오차는 <95%:PNT> 신뢰수준에서 ±<2.0%p:PNT>이다.
‘	‘	SS	O
모름	모르+ㅁ	VV+ETN	O
/	/	SP	O
무	무	XPN	O
응답	응답	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
1.7	1.7	SN	B-PNT
%	%	SW	I-PNT
p	p	SL	I-PNT
_	_	_	O
감소한	감소하+ㄴ	VV+ETM	O
_	_	_	O
13.7	13.7	SN	B-PNT
%	%	SW	I-PNT
.	.	SF	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
주간	주간	NNG	O
집계	집계	NNG	O
는	는	JX	O
_	_	_	O
전화	전화	NNG	O
면접	면접	NNG	O
(	(	SS	O
CATI	CATI	SL	O
)	)	SS	O
_	_	_	O
및	및	MAG	O
_	_	_	O
자동	자동	NNG	O
응답	응답	NNG	O
(	(	SS	O
ARS	ARS	SL	O
)	)	SS	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
무선전화	무선전화	NNG	O
(	(	SS	O
50	50	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
와	와	JKB	O
_	_	_	O
유선전화	유선전화	NNG	O
(	(	SS	O
50	50	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
병행	병행	NNG	O
_	_	_	O
RDD	RDD	SL	O
_	_	_	O
방법	방법	NNG	O
으로	으로	JKB	O
_	_	_	O
조사	조사하	VV	O
했	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
응답	응답	NNG	O
률	률	XSN	O
은	은	JX	O
_	_	_	O
전화	전화	NNG	O
면접	면접	NNG	O
_	_	_	O
방식	방식	NNG	O
은	은	JX	O
_	_	_	O
15.7	15.7	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
자동	자동	NNG	O
응답	응답	NNG	O
_	_	_	O
방식	방식	NNG	O
은	은	JX	O
_	_	_	O
6.3	6.3	SN	B-PNT
%	%+이	SW+VCP	I-PNT
였	었	EP	O
으며	으며	EC	O
_	_	_	O
표본	표본	NNG	O
오차	오차	NNG	O
는	는	JX	O
_	_	_	O
95	95	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
신뢰	신뢰	NNG	O
수준	수준	NNG	O
에서	에서	JKB	O
_	_	_	O
±	±	SW	O
2.0	2.0	SN	B-PNT
%	%	SW	I-PNT
p	p	SL	I-PNT
이	이	VCP	O
다	다	EF	O
