## 1
## 사파리콤이라는 통신사가 2007년 개발한 송금 시스템 ‘엠페사(M-Pesa)’ 덕분이다.
## <사파리콤:ORG>이라는 통신사가 <2007년:DAT> 개발한 송금 시스템 ‘<엠페사:POH>(<M-Pesa:POH>)’ 덕분이다.
사파리	사파리	NNG	B-ORG
콤	콤	NNG	I-ORG
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
통신사	통신사	NNG	O
가	가	JKS	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
개발한	개발하+ㄴ	VV+ETM	O
_	_	_	O
송금	송금	NNG	O
_	_	_	O
시스템	시스템	NNG	O
_	_	_	O
‘	‘	SS	O
엠	엠	NNG	B-POH
페	페	NNG	I-POH
사	사	NNG	I-POH
(	(	SS	O
M	M	SL	B-POH
-	-	SO	I-POH
Pesa	Pesa	SL	I-POH
)	)	SS	O
’	’	SS	O
_	_	_	O
덕분	덕분	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 경치가 아름답고 공기도 맑아서 여행 온 기분이에요. 아직 갱년기를 고민할 나이는 아니지만 미리 알고 대비를 하면 좋을 것 같아 참가 신청을 했는데, 정말 잘했다는 생각이 들어요.”(송미화)이날 행사에 참가한 송미화(43) 씨와 이현진(47) 씨는 같은 독서 동아리 회원이다.
## 경치가 아름답고 공기도 맑아서 여행 온 기분이에요. 아직 갱년기를 고민할 나이는 아니지만 미리 알고 대비를 하면 좋을 것 같아 참가 신청을 했는데, 정말 잘했다는 생각이 들어요.”(<송미화:PER>)이날 행사에 참가한 <송미화:PER>(<43:NOH>) 씨와 <이현진:PER>(<47:NOH>) 씨는 같은 독서 동아리 회원이다.
경치	경치	NNG	O
가	가	JKS	O
_	_	_	O
아름답	아름답	VA	O
고	고	EC	O
_	_	_	O
공기	공기	NNG	O
도	도	JX	O
_	_	_	O
맑	맑	VA	O
아서	아서	EC	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
