## 1
## 포시즌스 호텔그룹의 MIT프로그램(Manager in Training Program)은 리더십과 전문성을 갖춘 관리자 배출을 위한 것으로 추후 매니저로 선정될 가능성이 높아 엘리베이터 프로그램으로 불리기도 한다.
## <포시즌스 호텔그룹:ORG>의 <MIT프로그램:POH>(<Manager in Training Program:POH>)은 리더십과 전문성을 갖춘 관리자 배출을 위한 것으로 추후 매니저로 선정될 가능성이 높아 엘리베이터 프로그램으로 불리기도 한다.
포시즌스	포시즌스	NNP	B-ORG
_	_	_	I-ORG
호텔	호텔	NNG	I-ORG
그룹	그룹	NNG	I-ORG
의	의	JKG	O
_	_	_	O
MIT	MIT	SL	B-POH
프로그램	프로그램	NNG	I-POH
(	(	SS	O
Manager	Manager	SL	B-POH
_	_	_	I-POH
in	in	SL	I-POH
_	_	_	I-POH
Training	Training	SL	I-POH
_	_	_	I-POH
Program	Program	SL	I-POH
)	)	SS	O
은	은	JX	O
_	_	_	O
리더십	리더십	NNG	O
과	과	JC	O
_	_	_	O
전문	전문	NNG	O
성	성	XSN	O
을	을	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
관리자	관리자	NNG	O
_	_	_	O
배출	배출	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
추후	추후	NNG	O
_	_	_	O
매니저	매니저	NNG	O
로	로	JKB	O
_	_	_	O
선정될	선정되+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
아	아	EC	O
_	_	_	O
엘리베이터	엘리베이터	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
_	_	_	O
불리	불리	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 캠프 참가가 신입생 선발 심사 시 가산점 등 혜택으로 작용하지 않지만 학생들이 서울국제고 캠프에 참가한 후 스스로 동기를 부여해 열심히 공부했다는 증거다.
