## 1
## 신규 면세점들이 주차장 확보 계획을 제대로 이행하지 않는다면 불이익을 주는 등 사후관리 방안을 관세청에 건의할 예정이다.
## 신규 면세점들이 주차장 확보 계획을 제대로 이행하지 않는다면 불이익을 주는 등 사후관리 방안을 <관세청:ORG>에 건의할 예정이다.
신규	신규	NNG	O
_	_	_	O
면세점	면세점	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
주차장	주차장	NNG	O
_	_	_	O
확보	확보	NNG	O
_	_	_	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
이행하	이행하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다면	는다면	EC	O
_	_	_	O
불이익	불이익	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
사후	사후	NNG	O
관리	관리	NNG	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
관세청	관세청	NNG	B-ORG
에	에	JKB	O
_	_	_	O
건의할	건의하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 초코파이를 통해 마음을 전할 수 있는 따뜻한 프로모션을 지속적으로 전개할 예정”이라고 말했다.
## <초코파이:POH>를 통해 마음을 전할 수 있는 따뜻한 프로모션을 지속적으로 전개할 예정”이라고 말했다.
초코파이	초코파이	NNP	B-POH
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
전할	전하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
지속적	지속적	NNG	O
으로	으로	JKB	O
_	_	_	O
전개할	전개하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 15일 오전 울산 동구 현대중공업 특수선 독에서 해군의 차기 상륙함 2번함인 ‘천자봉함’이 진수식을 통해 위용을 드러내고 있다.
## <15일:DAT> 오전 <울산:LOC> <동구:LOC> <현대중공업 특수선 독:LOC>에서 해군의 차기 상륙함 <2번:NOH>함인 ‘<천자봉함:POH>’이 진수식을 통해 위용을 드러내고 있다.
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
울산	울산	NNP	B-LOC
_	_	_	O
동	동	NNG	B-LOC
구	구	NNG	I-LOC
_	_	_	O
현대중공업	현대중공업	NNP	B-LOC
_	_	_	I-LOC
특수선	특수선	NNG	I-LOC
_	_	_	I-LOC
독	독	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
해군	해군	NNG	O
의	의	JKG	O
_	_	_	O
차기	차기	NNG	O
_	_	_	O
상륙함	상륙함	NNG	O
_	_	_	O
2	2	SN	B-NOH
번	벌+ㄴ다	VV+EC	I-NOH
함	하+ㅁ	VV+ETN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
천자	천자	NNG	B-POH
봉함	봉함	NNG	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
진수식	진수식	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
위용	위용	NNG	O
을	을	JKO	O
_	_	_	O
드러내	드러내	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## ”사고 직후 서울메트로 관계자는 김씨 어머니에게 “보고를 제대로 하지 않고 작업을 한 아이의 과실”이라고 말했다고 한다.
## ”사고 직후 <서울메트로:ORG> 관계자는 <김:PER>씨 어머니에게 “보고를 제대로 하지 않고 작업을 한 아이의 과실”이라고 말했다고 한다.
”	”	SS	O
사고	사고	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
서울메트로	서울메트로	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
어머니	어머니	NNG	O
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
보고	보고	NNG	O
를	를	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
아이	아이	NNG	O
의	의	JKG	O
_	_	_	O
과실	과실	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	었	EP	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 아르침볼도는 막시밀리안 2세의 공식 초상화 화가로 일하던 시절 역사학자 볼프강 라지우스(Wolfgang Lazius)의 초상화를 그렸다.
## <아르침볼도:PER>는 <막시밀리안 2세:PER>의 공식 초상화 화가로 일하던 시절 역사학자 <볼프강 라지우스:PER>(<Wolfgang Lazius:PER>)의 초상화를 그렸다.
아르	아르	NNG	B-PER
침	침	NNG	I-PER
볼	볼	NNG	I-PER
도	돌	VV	I-PER
는	는	ETM	O
_	_	_	O
막시밀리안	막시밀리안	NNP	B-PER
_	_	_	I-PER
2	2	SN	I-PER
세	세	NNB	I-PER
의	의	JKG	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
초상화	초상화	NNG	O
_	_	_	O
