## 1
## 영국 BBC방송은 “새로 선출된 총리는 누구도 부러워하지 않은 미결 서류함을 들고 있다”고 표현했다.
## <영국 BBC방송:ORG>은 “새로 선출된 총리는 누구도 부러워하지 않은 미결 서류함을 들고 있다”고 표현했다.
영국	영국	NNP	B-ORG
_	_	_	I-ORG
BBC	BBC	SL	I-ORG
방송	방송	NNG	I-ORG
은	은	JX	O
_	_	_	O
“	“	SS	O
새로	새로	MAG	O
_	_	_	O
선출된	선출되+ㄴ	VV+ETM	O
_	_	_	O
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
누구	누구	NP	O
도	도	JX	O
_	_	_	O
부러워하	부러워하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
미결	미결	NNG	O
_	_	_	O
서류함	서류함	NNG	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
표현	표현하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 다음달부터 시작 예정인 구제금융 1차 실사에 맞춰 100여개 개혁 정책 입법과 시중 은행 자본확충, 내년 예산안 편성 등 험난한 과제를 앞두고 있어서다.
## 다음달부터 시작 예정인 구제금융 <1차:NOH> 실사에 맞춰 <100여개:NOH> 개혁 정책 입법과 시중 은행 자본확충, 내년 예산안 편성 등 험난한 과제를 앞두고 있어서다.
다음	다음	NNG	O
달	달	NNG	O
부터	부터	JX	O
_	_	_	O
시작	시작	NNG	O
_	_	_	O
예정	예정	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
구제금융	구제금융	NNG	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
실사	실사	NNG	O
에	에	JKB	O
_	_	_	O
맞춰	맞추+어	VV+EC	O
_	_	_	O
100	100	SN	B-NOH
여	여	XSN	I-NOH
개	개	NNB	I-NOH
_	_	_	O
개혁	개혁	NNG	O
_	_	_	O
정책	정책	NNG	O
