## 1
## 쿠팡은 로켓배송을 통해 소비자 만족도를 높일 수 있었다.
## <쿠팡:ORG>은 로켓배송을 통해 소비자 만족도를 높일 수 있었다.
쿠팡	쿠팡	NNP	B-ORG
은	은	JX	O
_	_	_	O
로켓	로켓	NNG	O
배송	배송	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
소비자	소비자	NNG	O
_	_	_	O
만족도	만족도	NNG	O
를	를	JKO	O
_	_	_	O
높일	높이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 블라터 회장은 지난달 러시아 언론과의 인터뷰에서 “FIFA 지도부가 개최지 선정 투표 전에 러시아(2018년)와 미국(2022년)에 개최권을 주기로 합의했지만 미셸 플라티니 유럽축구연맹(UEFA) 회장이 카타르를 지지하기로 하면서 미국은 실패했다”고 말했다.
## <블라터:PER> 회장은 지난달 <러시아:ORG> 언론과의 인터뷰에서 “<FIFA:ORG> 지도부가 개최지 선정 투표 전에 <러시아:ORG>(<2018년:DAT>)와 <미국:ORG>(<2022년:DAT>)에 개최권을 주기로 합의했지만 <미셸 플라티니:PER> <유럽축구연맹:ORG>(<UEFA:ORG>) 회장이 <카타르:ORG>를 지지하기로 하면서 <미국:ORG>은 실패했다”고 말했다.
블라터	블라터	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
_	_	_	O
언론	언론	NNG	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
FIFA	FIFA	SL	B-ORG
_	_	_	O
지도부	지도부	NNG	O
가	가	JKS	O
_	_	_	O
개최지	개최지	NNG	O
_	_	_	O
선정	선정	NNG	O
_	_	_	O
투표	투표	NNG	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
러시아	러시아	NNP	B-ORG
(	(	SS	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
와	와	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
(	(	SS	O
2022	2022	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
에	에	JKB	O
_	_	_	O
개최권	개최권	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
합의	합의하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
미셸	미셸	NNP	B-PER
_	_	_	I-PER
플라티니	플라티니	NNP	I-PER
_	_	_	O
유럽축구연맹	유럽축구연맹	NNP	B-ORG
(	(	SS	O
UEFA	UEFA	SL	B-ORG
)	)	SS	O
_	_	_	O
회장	회장	NNG	O
이	이	JKS	O
