## 1
## 강정호 근황 소식이 네티즌들 사이에 화제다.
## <강정호:PER> 근황 소식이 네티즌들 사이에 화제다.
강정호	강정호	NNP	B-PER
_	_	_	O
근황	근황	NNG	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 날씨정보 돈받고 서비스/98년부터 일부… 민간회사통해 자료제공
## 날씨정보 돈받고 서비스/<98년:DAT>부터 일부… 민간회사통해 자료제공
날씨	날씨	NNG	O
정보	정보	NNG	O
_	_	_	O
돈	돈	NNG	O
받	받	VV	O
고	고	EC	O
_	_	_	O
서비스	서비스	NNG	O
/	/	SP	O
98	98	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
일부	일부	NNG	O
…	…	SE	O
_	_	_	O
민간	민간	NNG	O
회사	회사	NNG	O
통해	통하+여	VV+EC	O
_	_	_	O
자료	자료	NNG	O
제공	제공	NNG	O

## 3
## 전날 오후 상트페테르부르크 지하철의 도심 지하 구간에서 폭발이 터져 14명이 사망하고 수십 명이 다쳤다.
## 전날 오후 <상트페테르부르크:LOC> 지하철의 도심 지하 구간에서 폭발이 터져 <14명:NOH>이 사망하고 수십 명이 다쳤다.
전날	전날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
상트페테르부르크	상트페테르부르크	NNP	B-LOC
_	_	_	O
지하철	지하철	NNG	O
의	의	JKG	O
_	_	_	O
도심	도심	NNG	O
_	_	_	O
지하	지하	NNG	O
_	_	_	O
구간	구간	NNG	O
에서	에서	JKB	O
_	_	_	O
폭발	폭발	NNG	O
이	이	JKS	O
_	_	_	O
터져	터지+어	VV+EC	O
_	_	_	O
14	14	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
사망하	사망하	VV	O
고	고	EC	O
_	_	_	O
수십	수십	NR	O
_	_	_	O
명	명	NNB	O
이	이	JKS	O
_	_	_	O
다	다치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그는 지난해 한 살 어린 미니어처 아티스트와 결혼했다.
## 그는 지난해 <한 살:NOH> 어린 미니어처 아티스트와 결혼했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
살	살	NNB	I-NOH
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
미니어처	미니어처	NNG	O
_	_	_	O
아티스트	아티스트	NNG	O
와	와	JC	O
_	_	_	O
결혼	결혼하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 오설록은 청정 제주에 있는 오설록 직영 차밭에서 100% 유기농으로 재배한 원료로 농약에 대한 안전성까지 인정 받고 있는 것이 특징이다.
## <오설록:ORG>은 청정 <제주:LOC>에 있는 <오설록:ORG> 직영 차밭에서 <100%:PNT> 유기농으로 재배한 원료로 농약에 대한 안전성까지 인정 받고 있는 것이 특징이다.
오	오	NNP	B-ORG
설	설	NNG	I-ORG
록	록	XSN	I-ORG
은	은	JX	O
_	_	_	O
청정	청정	NNG	O
_	_	_	O
