## 1
## 이방카는 쥐스탱 트뤼도 캐나다 총리가 미국을 방문했을 때 여성 경제인 행사에 함께 나타나 주목을 끌었다.
## <이방카:PER>는 <쥐스탱 트뤼도:PER> <캐나다:ORG> 총리가 <미국:ORG>을 방문했을 때 여성 경제인 행사에 함께 나타나 주목을 끌었다.
이방	이방	NNG	B-PER
카	카	VV	I-PER
는	는	ETM	O
_	_	_	O
쥐스	쥐스	NNP	B-PER
탱	탱	NNG	I-PER
_	_	_	I-PER
트뤼도	트뤼도	NNP	I-PER
_	_	_	O
캐나다	캐나다	NNP	B-ORG
_	_	_	O
총리	총리	NNG	O
가	가	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
방문	방문하	VV	O
했	였	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
경제인	경제인	NNG	O
_	_	_	O
행사	행사	NNG	O
에	에	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
주목	주목	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이번 컬렉션에 선보이는 백팩은 그동안 많은 남성 고객들에게 사랑 받아온 ‘G액티브’ 백팩으로 소재는 캔버스이며 절제된 디자인과 스마트폰·아이패드를 넣을 수 있는 실용적 내부 포켓으로 젊은 고객층을 타깃으로 했다.
## 이번 컬렉션에 선보이는 백팩은 그동안 많은 남성 고객들에게 사랑 받아온 ‘<G액티브:POH>’ 백팩으로 소재는 캔버스이며 절제된 디자인과 스마트폰·아이패드를 넣을 수 있는 실용적 내부 포켓으로 젊은 고객층을 타깃으로 했다.
이번	이번	NNG	O
_	_	_	O
컬렉션	컬렉션	NNG	O
에	에	JKB	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
백팩	백팩	NNG	O
은	은	JX	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
남성	남성	NNG	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
사랑	사랑	NNG	O
_	_	_	O
받	받	VV	O
아	아	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
‘	‘	SS	O
G	G	SL	B-POH
액티브	액티브	NNG	I-POH
’	’	SS	O
_	_	_	O
백팩	백팩	NNG	O
으로	으로	JKB	O
_	_	_	O
소재	소재	NNG	O
는	는	JX	O
_	_	_	O
캔버스	캔버스	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
절제된	절제되+ㄴ	VV+ETM	O
_	_	_	O
디자인	디자인	NNG	O
과	과	JC	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
·	·	SP	O
아이패드	아이패드	NNG	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
실용적	실용적	NNG	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
포켓	포켓	NNG	O
으로	으로	JKB	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
고객	고객	NNG	O
층	층	XSN	O
을	을	JKO	O
_	_	_	O
타깃	타깃	NNG	O
으로	으로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 수익성, 환금성, 안전성의 3요소를 다 갖춘 부동산을 고르면 크게 실패할 가능성이 줄어든다.
