## 1
## 도로공사 측은 이날 고속도로 통행량이 지난해 광복절 연휴 첫날(15일·금요일)보다 16% 증가했지만 정체의 길이는 감소했다고 밝혔다.
## <도로공사:ORG> 측은 이날 고속도로 통행량이 지난해 <광복절:DAT> 연휴 첫날(<15일:DAT>·<금요일:DAT>)보다 <16%:PNT> 증가했지만 정체의 길이는 감소했다고 밝혔다.
도로	도로	NNG	B-ORG
공사	공사	NNG	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
고속도로	고속도로	NNG	O
_	_	_	O
통행	통행	NNG	O
량	량	NNG	O
이	이	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
광복절	광복절	NNG	B-DAT
_	_	_	O
연휴	연휴	NNG	O
_	_	_	O
첫날	첫날	NNG	O
(	(	SS	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
·	·	SP	O
금요일	금요일	NNG	B-DAT
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
16	16	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
정체	정체	NNG	O
의	의	JKG	O
_	_	_	O
길이	길이	NNG	O
는	는	JX	O
_	_	_	O
감소	감소하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 3시간정도 열어둬 물기를 말린다음 필터와 바람나오는 판을 끼워넣는다.
## <3시간:NOH>정도 열어둬 물기를 말린다음 필터와 바람나오는 판을 끼워넣는다.
3	3	SN	B-NOH
시간	시간	NNB	I-NOH
정도	정도	NNG	O
_	_	_	O
열	열	VV	O
어	어	EC	O
둬	두+어	VX+EC	O
_	_	_	O
물기	물기	NNG	O
를	를	JKO	O
_	_	_	O
말린다	말리+ㄴ다	VV+EC	O
음	음	ETN	O
_	_	_	O
필터	필터	NNG	O
와	와	JC	O
_	_	_	O
바람나	바람나+아	VV+EC	O
