## 1
## 한편 토털 브랜드인 지센(Zishen), 덴마크 라이프스타일 브랜드 플라잉 타이거(Flying Tiger) 및 컬처 콜(Culture Call) 등을 전개하고 있는 ㈜위비스 도상현 대표는 “업계에서는 처음으로 3번에 걸쳐 주요 대리점 경영인을 초청해 브랜드 품평회와 사업 설명회를 진행하는 등 철저하게 대리점 경영인과 의견과 방향을 공유하고 파트너십을 구축해 왔다”면서, “그 결과, 이들은 매장 오픈 전부터 적극적으로 소셜네트워크서비스(SNS) 활동을 하는 등 상호 신뢰 경영을 핵심 동력 바탕으로 론칭 초기에 빠른 인지도 확산과 성장을 기대하고 있다”고 설명했다.
## 한편 토털 브랜드인 <지센:ORG>(<Zishen:ORG>), <덴마크:LOC> 라이프스타일 브랜드 <플라잉 타이거:ORG>(<Flying Tiger:ORG>) 및 <컬처 콜:ORG>(<Culture Call:ORG>) 등을 전개하고 있는 <㈜위비스:ORG> <도상현:PER> 대표는 “업계에서는 처음으로 <3번:NOH>에 걸쳐 주요 대리점 경영인을 초청해 브랜드 품평회와 사업 설명회를 진행하는 등 철저하게 대리점 경영인과 의견과 방향을 공유하고 파트너십을 구축해 왔다”면서, “그 결과, 이들은 매장 오픈 전부터 적극적으로 소셜네트워크서비스(SNS) 활동을 하는 등 상호 신뢰 경영을 핵심 동력 바탕으로 론칭 초기에 빠른 인지도 확산과 성장을 기대하고 있다”고 설명했다.
한편	한편	MAG	O
_	_	_	O
토털	토털	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지센	지센	NNP	B-ORG
(	(	SS	O
Zishen	Zishen	SL	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
덴마크	덴마크	NNP	B-LOC
_	_	_	O
라이프	라이프	NNG	O
스타일	스타일	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
플라잉	플라잉	NNG	B-ORG
_	_	_	I-ORG
타이거	타이거	NNP	I-ORG
(	(	SS	O
Flying	Flying	SL	B-ORG
_	_	_	I-ORG
Tiger	Tiger	SL	I-ORG
)	)	SS	O
_	_	_	O
및	및	MAG	O
_	_	_	O
컬처	컬처	NNG	B-ORG
_	_	_	I-ORG
콜	콜	NNP	I-ORG
(	(	SS	O
Culture	Culture	SL	B-ORG
_	_	_	I-ORG
Call	Call	SL	I-ORG
)	)	SS	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
전개하	전개하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
㈜	㈜	SW	B-ORG
위	위	NNB	I-ORG
비스	비스	NNG	I-ORG
_	_	_	O
도상현	도상현	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
업계	업계	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
3	3	SN	B-NOH
번	번	NNB	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
대리점	대리점	NNG	O
_	_	_	O
경영인	경영인	NNG	O
을	을	JKO	O
_	_	_	O
초청해	초청하+여	VV+EC	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
품평회	품평회	NNG	O
와	와	JC	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
설명	설명	NNG	O
회	회	XSN	O
를	를	JKO	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
철저하	철저하	VA	O
게	게	EC	O
_	_	_	O
대리점	대리점	NNG	O
_	_	_	O
경영인	경영인	NNG	O
과	과	JC	O
_	_	_	O
의견	의견	NNG	O
과	과	JC	O
_	_	_	O
방향	방향	NNG	O
을	을	JKO	O
