## 1
## 에코 트래블백 만들기, 소녀시대도 패션으로 이용하며 화제
## 에코 트래블백 만들기, <소녀시대:ORG>도 패션으로 이용하며 화제
에코	에코	NNP	O
_	_	_	O
트래블	트래블	NNG	O
백	백	NNG	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
,	,	SP	O
_	_	_	O
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
도	도	JX	O
_	_	_	O
패션	패션	NNG	O
으로	으로	JKB	O
_	_	_	O
이용하	이용하	VV	O
며	며	EC	O
_	_	_	O
화제	화제	NNG	O

## 2
## 제주항공 FIT(Free Independent Tour) 라운지는 현지가이드의 역할을 담당한다.
## <제주항공:ORG> <FIT:POH>(<Free Independent Tour:POH>) 라운지는 현지가이드의 역할을 담당한다.
제주	제주	NNP	B-ORG
항공	항공	NNG	I-ORG
_	_	_	O
FIT	FIT	SL	B-POH
(	(	SS	O
Free	Free	SL	B-POH
_	_	_	I-POH
Independent	Independent	SL	I-POH
_	_	_	I-POH
Tour	Tour	SL	I-POH
)	)	SS	O
_	_	_	O
라운지	라운지	NNG	O
는	는	JX	O
_	_	_	O
현지	현지	NNG	O
가이드	가이드	NNG	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
담당한다	담당하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 김 씨는 남편의 동의없이 소 취하서와 위임장을 위조, 위조한 위임장으로 주민센터에서 인감증명서까지 발급받는 대범함을 보였다.
## <김:PER> 씨는 남편의 동의없이 소 취하서와 위임장을 위조, 위조한 위임장으로 주민센터에서 인감증명서까지 발급받는 대범함을 보였다.
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
남편	남편	NNG	O
의	의	JKG	O
_	_	_	O
동의	동의	NNG	O
없이	없이	MAG	O
_	_	_	O
소	소	NNG	O
_	_	_	O
취하	취하	NNG	O
서	서	XSN	O
와	와	JC	O
_	_	_	O
위임장	위임장	NNG	O
을	을	JKO	O
_	_	_	O
위조	위조	NNG	O
,	,	SP	O
_	_	_	O
위조한	위조하+ㄴ	VV+ETM	O
_	_	_	O
위임장	위임장	NNG	O
으로	으로	JKB	O
_	_	_	O
주민	주민	NNG	O
센터	센터	NNG	O
에서	에서	JKB	O
_	_	_	O
인감	인감	NNG	O
증명서	증명서	NNG	O
까지	까지	JX	O
_	_	_	O
발급	발급	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
대범함	대범하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 결국 검찰은 지난 11일 김 씨를 문서 위조 사용 혐의로 재판에 넘겼다.
## 결국 검찰은 지난 <11일:DAT> <김:PER> 씨를 문서 위조 사용 혐의로 재판에 넘겼다.
결국	결국	NNG	O
_	_	_	O
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
