## 1
## 올해부터 KPGA투어에 새롭게 둥지를 틀었다.
## 올해부터 <KPGA투어:POH>에 새롭게 둥지를 틀었다.
올해	올해	NNG	O
부터	부터	JX	O
_	_	_	O
KPGA	KPGA	SL	B-POH
투어	투어	NNG	I-POH
에	에	JKB	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
둥지	둥지	NNG	O
를	를	JKO	O
_	_	_	O
틀	틀	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 싱가포르 중소기업 대표 탄쳉호의 경우는 이러한 경향을 잘 보여준다.
## <싱가포르:LOC> 중소기업 대표 <탄쳉호:PER>의 경우는 이러한 경향을 잘 보여준다.
싱가포르	싱가포르	NNP	B-LOC
_	_	_	O
중소기업	중소기업	NNG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
탄쳉호	탄쳉호	NNG	B-PER
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
는	는	JX	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
경향	경향	NNG	O
을	을	JKO	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
준다	주+ㄴ다	VX+EF	O
.	.	SF	O

## 3
## 그러나 상인 255명은 신시장 입주를 거부한다.
## 그러나 상인 <255명:NOH>은 신시장 입주를 거부한다.
그러나	그러나	MAJ	O
_	_	_	O
상인	상인	NNG	O
_	_	_	O
255	255	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
신	신	NNG	O
시장	시장	NNG	O
_	_	_	O
입주	입주	NNG	O
를	를	JKO	O
_	_	_	O
거부한다	거부하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 동남아에 새로운 국가 하나가 건설되고 있다.
## <동남아:LOC>에 새로운 국가 하나가 건설되고 있다.
동남아	동남아	NNP	B-LOC
에	에	JKB	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
국가	국가	NNG	O
_	_	_	O
하나	하나	NNG	O
가	가	JKS	O
_	_	_	O
건설되	건설되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 행정자치부는 이와 같은 개인정보보호법 개정안이 6일 국회 본회의를 통과했다고 7일 밝혔다.
## <행정자치부:ORG>는 이와 같은 개인정보보호법 개정안이 <6일:DAT> 국회 본회의를 통과했다고 <7일:DAT> 밝혔다.
행정자치부	행정자치부	NNG	B-ORG
는	는	JX	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
개인	개인	NNG	O
정보	정보	NNG	O
보호	보호	NNG	O
법	법	NNG	O
_	_	_	O
개정안	개정안	NNG	O
이	이	JKS	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
_	_	_	O
본회의	본회의	NNG	O
를	를	JKO	O
_	_	_	O
통과	통과하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이 저주는 컵스가 1945년 월드시리즈에 진출했던 당시 한 관중이 염소와 함께 경기장에 입장하려다 제지당한 뒤 “컵스가 다시는 월드시리즈에 진출하지 못할 것”이라고 말한 데서 유래한 것이다.
