## 1
## 다니가키그룹은 규모가 작지만 멤버 대부분이 각료 경험자로 구성돼 있다.
## <다니가키그룹:ORG>은 규모가 작지만 멤버 대부분이 각료 경험자로 구성돼 있다.
다니가키	다니가키	NNP	B-ORG
그룹	그룹	NNG	I-ORG
은	은	JX	O
_	_	_	O
규모	규모	NNG	O
가	가	JKS	O
_	_	_	O
작	작	VA	O
지만	지만	EC	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
대부분	대부분	NNG	O
이	이	JKS	O
_	_	_	O
각료	각료	NNG	O
_	_	_	O
경험자	경험자	NNG	O
로	로	JKB	O
_	_	_	O
구성돼	구성되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 수사팀은 최근 이 총리 측이 성 회장의 운전사 등을 접촉하고 있는 정황을 심각하게 보고 있는 것으로 알려졌다.
## 수사팀은 최근 <이:PER> 총리 측이 <성:PER> 회장의 운전사 등을 접촉하고 있는 정황을 심각하게 보고 있는 것으로 알려졌다.
수사	수사	NNG	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
총리	총리	NNG	O
_	_	_	O
측	측	NNB	O
이	이	JKS	O
_	_	_	O
성	성	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
운전사	운전사	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
접촉하	접촉하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
정황	정황	NNG	O
을	을	JKO	O
_	_	_	O
심각하	심각하	VA	O
게	게	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## '지동원 원톱-손흥민 출격' 축구대표팀, 중국전 베스트11은?
## '<지동원:PER> 원톱-<손흥민:PER> 출격' 축구대표팀, <중국전:POH> 베스트11은?
'	'	SS	O
지동원	지동원	NNP	B-PER
_	_	_	O
원톱	원톱	NNG	O
-	-	SO	O
손흥민	손흥민	NNP	B-PER
_	_	_	O
출격	출격	NNG	O
'	'	SS	O
_	_	_	O
축구	축구	NNG	O
대표	대표	NNG	O
팀	팀	NNG	O
,	,	SP	O
_	_	_	O
중국전	중국전	NNG	B-POH
_	_	_	O
베스트	베스트	NNG	O
11	11	SN	O
은	은	JX	O
?	?	SF	O

## 4
## 재배달을 줄이기 위해 야마토는 회원제인 ‘쿠로네코 멤버스’ 서비스 이용자를 늘리는 일에 힘을 쏟고 있다. 등록하면 메일로 배달 예정일에 미리 연락을 주거나, 인터넷으로 수령 날짜를 변경할 수 있다.
## 재배달을 줄이기 위해 <야마토:PER>는 회원제인 ‘<쿠로네코 멤버스:POH>’ 서비스 이용자를 늘리는 일에 힘을 쏟고 있다. 등록하면 메일로 배달 예정일에 미리 연락을 주거나, 인터넷으로 수령 날짜를 변경할 수 있다.
재	재	XPN	O
배달	배달	NNG	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
야마토	야마토	NNP	B-PER
는	는	JX	O
_	_	_	O
회원	회원	NNG	O
제	제	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
쿠로	쿠로	NNP	B-POH
네코	네코	NNP	I-POH
_	_	_	I-POH
멤버스	멤버스	NNP	I-POH
’	’	SS	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
이용자	이용자	NNG	O
를	를	JKO	O
_	_	_	O
늘리	늘리	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
을	을	JKO	O
_	_	_	O
쏟	쏟	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O
_	_	_	O
등록하	등록하	VV	O
면	면	EC	O
_	_	_	O
메일	메일	NNG	O
로	로	JKB	O
_	_	_	O
배달	배달	NNG	O
_	_	_	O
예정일	예정일	NNG	O
에	에	JKB	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
연락	연락	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
거나	거나	EC	O
,	,	SP	O
_	_	_	O
인터넷	인터넷	NNG	O
으로	으로	JKB	O
_	_	_	O
수령	수령	NNG	O
_	_	_	O
날짜	날짜	NNG	O
를	를	JKO	O
_	_	_	O
변경할	변경하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 값싼 인건비와 급성장하는 내수시장 덕에 세계 굴지의 기업들이 모여드는 세계의 공장으로 성장한 중국이 이제는 노동자 임금은 물론 땅값, 전기료가 올라 기업들에 매력을 잃고 있다는 점도 요인이다.
## 값싼 인건비와 급성장하는 내수시장 덕에 세계 굴지의 기업들이 모여드는 세계의 공장으로 성장한 <중국:ORG>이 이제는 노동자 임금은 물론 땅값, 전기료가 올라 기업들에 매력을 잃고 있다는 점도 요인이다.
값싼	값싸+ㄴ	VA+ETM	O
_	_	_	O
인건비	인건비	NNG	O
와	와	JC	O
_	_	_	O
급성장하	급성장하	VV	O
는	는	ETM	O
_	_	_	O
내수	내수	NNG	O
시장	시장	NNG	O
_	_	_	O
덕	덕	NNG	O
에	에	JKB	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
굴지	굴지	NNG	O
의	의	JKG	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
모여드	모여들	VV	O
는	는	ETM	O
_	_	_	O
세계	세계	NNG	O
의	의	JKG	O
_	_	_	O
공장	공장	NNG	O
으로	으로	JKB	O
_	_	_	O
성장한	성장하+ㄴ	VV+ETM	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
이제	이제	NNG	O
는	는	JX	O
_	_	_	O
노동자	노동자	NNG	O
_	_	_	O
임금	임금	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
땅	땅	NNG	O
값	값	NNG	O
,	,	SP	O
_	_	_	O
전기료	전기료	NNG	O
가	가	JKS	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
매력	매력	NNG	O
을	을	JKO	O
_	_	_	O
잃	잃	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
도	도	JX	O
_	_	_	O
요인	요인	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘집밥 백종원 만능간장 레시피’‘집밥 백선생’ 백종원이 만능간장 레시피 악플을 언급했다.지난 28일 방송된 tvN ‘집밥 백선생’은 애프터 서비스 특집으로 진행됐다.
## ‘집밥 <백종원:PER> 만능간장 레시피’‘<집밥 백선생:POH>’ <백종원:PER>이 만능간장 레시피 악플을 언급했다.지난 <28일:DAT> 방송된 <tvN:POH> ‘<집밥 백선생:POH>’은 애프터 서비스 특집으로 진행됐다.
‘	‘	SS	O
집	집	NNG	O
밥	밥	NNG	O
_	_	_	O
백종원	백종원	NNP	B-PER
_	_	_	O
만능	만능	NNG	O
간장	간장	NNG	O
_	_	_	O
레시피	레시피	NNG	O
’	’	SS	O
‘	‘	SS	O
집	집	NNG	B-POH
밥	밥	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
_	_	_	O
백종원	백종원	NNP	B-PER
이	이	JKS	O
_	_	_	O
