## 1
## 마녀사냥 아유미, 일본의 19금 방송 어떻길래?…"여기는 쨉도 안돼"
## <마녀사냥:POH> <아유미:PER>, <일본:ORG>의 <19금:NOH> 방송 어떻길래?…"여기는 쨉도 안돼"
마녀	마녀	NNG	B-POH
사냥	사냥	NNG	I-POH
_	_	_	O
아유미	아유미	NNP	B-PER
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
19	19	SN	B-NOH
금	금	NNG	I-NOH
_	_	_	O
방송	방송	NNG	O
_	_	_	O
어떻	어떻	VA	O
길래	길래	EF	O
?	?	SF	O
…	…	SE	O
"	"	SS	O
여기	여기	VV	O
는	는	ETM	O
_	_	_	O
쨉	쨉	NNG	O
도	도	JX	O
_	_	_	O
안돼	안되+어	VV+EF	O
"	"	SS	O

## 2
## 기존 5년 계약서와 내용은 거의 같고, 이승우가 사인만 다시 하면 되는 것으로 알고 있다”고 설명했다.
## 기존 <5년:NOH> 계약서와 내용은 거의 같고, <이승우:PER>가 사인만 다시 하면 되는 것으로 알고 있다”고 설명했다.
기존	기존	NNG	O
_	_	_	O
5	5	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
계약서	계약서	NNG	O
와	와	JC	O
_	_	_	O
내용	내용	NNG	O
은	은	JX	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
같	같	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
이승우	이승우	NNP	B-PER
가	가	JKS	O
_	_	_	O
사인	사인	NNG	O
만	만	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 계약 후 바르셀로나 유소년팀인 후베닐A에서 뛰게 되는 이승우는 빠르면 17일 코르네야와의 홈 경기에 첫 출전할 예정이다.
## 한편 계약 후 <바르셀로나:ORG> 유소년팀인 <후베닐A:ORG>에서 뛰게 되는 <이승우:PER>는 빠르면 <17일:DAT> <코르네야:ORG>와의 홈 경기에 첫 출전할 예정이다.
한편	한편	MAG	O
_	_	_	O
계약	계약	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
바르셀로나	바르셀로나	NNP	B-ORG
_	_	_	O
유소년	유소년	NNG	O
팀	팀	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
후베닐	후베닐	NNG	B-ORG
A	A	SL	I-ORG
에서	에서	JKB	O
_	_	_	O
뛰	뛰	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
이승우	이승우	NNP	B-PER
는	는	JX	O
_	_	_	O
빠르	빠르	VA	O
면	면	EC	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
코르	코르	NNG	B-ORG
네	네+이	XSN+VCP	I-ORG
야	야	EC	I-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
홈	홈	NNG	O
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
출전할	출전하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 지소연의 앞에서 상대 수비를 흔들어줄 박은선(로시얀카)의 출전여부도 승부의 관건이다.
## <지소연:PER>의 앞에서 상대 수비를 흔들어줄 <박은선:PER>(<로시얀카:ORG>)의 출전여부도 승부의 관건이다.
지소연	지소연	NNP	B-PER
의	의	JKG	O
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
