## 1
## 그런데 18일(현지시간) 그 두 번째 조각이 발견됐다.
## 그런데 <18일:DAT>(현지시간) 그 두 번째 조각이 발견됐다.
그런데	그런데	MAJ	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
그	그	MM	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
조각	조각	NNG	O
이	이	JKS	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 군 당국이 유사시 북한 전역에 흩어져 있는 미사일 시설과 이동식 발사대를 파괴하기 위해 국산 지대지미사일인 현무(사거리 300~800㎞) 탄도미사일을 대폭 늘리기로 했다고 국방부 당국자가 14일 말했다.
## 군 당국이 유사시 <북한:LOC> 전역에 흩어져 있는 미사일 시설과 이동식 발사대를 파괴하기 위해 국산 지대지미사일인 <현무:POH>(사거리 <300:NOH>~<800㎞:NOH>) 탄도미사일을 대폭 늘리기로 했다고 <국방부:ORG> 당국자가 <14일:DAT> 말했다.
군	군	NNG	O
_	_	_	O
당국	당국	NNG	O
이	이	JKS	O
_	_	_	O
유사시	유사시	NNG	O
_	_	_	O
북한	북한	NNP	B-LOC
_	_	_	O
전역	전역	NNG	O
에	에	JKB	O
_	_	_	O
흩어져	흩어지+어	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
미사일	미사일	NNG	O
_	_	_	O
시설	시설	NNG	O
과	과	JC	O
_	_	_	O
이동	이동	NNG	O
식	식	XSN	O
_	_	_	O
발사대	발사대	NNG	O
를	를	JKO	O
_	_	_	O
파괴하	파괴하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
국산	국산	NNG	O
_	_	_	O
지대지	지대지	NNG	O
미사일	미사일	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
현무	현무	NNG	B-POH
(	(	SS	O
사거리	사거리	NNG	O
_	_	_	O
300	300	SN	B-NOH
~	~	SO	O
800	800	SN	B-NOH
㎞	㎞	SW	I-NOH
)	)	SS	O
_	_	_	O
탄도	탄도	NNG	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
늘리	늘리	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다고	다고	EC	O
_	_	_	O
국방부	국방부	NNG	B-ORG
_	_	_	O
당국자	당국자	NNG	O
가	가	JKS	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 당국자는 “북한의 핵과 미사일 위협을 효과적으로 억제하고 대응하기 위해 노력하고 있다”며 “미사일 대응작전을 토대로 우리 군의 킬체인(Kill Chain·북한의 공격이 확실할 경우 선제 타격)과 한국형 미사일방어 체계를 확충하는 대응책을 발전시키고 있다”고 말했다.
## 이 당국자는 “<북한:ORG>의 핵과 미사일 위협을 효과적으로 억제하고 대응하기 위해 노력하고 있다”며 “미사일 대응작전을 토대로 우리 군의 킬체인(Kill Chain·<북한:ORG>의 공격이 확실할 경우 선제 타격)과 한국형 미사일방어 체계를 확충하는 대응책을 발전시키고 있다”고 말했다.
이	이	MM	O
_	_	_	O
