## 1
## 보건복지부에 따르면 국민안심병원은 메르스와 증상이 비슷한 호흡기질환 환자를 다른 환자와 분리 치료해 병원 내 감염 위험을 방지하자는 취지다.
## <보건복지부:ORG>에 따르면 국민안심병원은 <메르스:POH>와 증상이 비슷한 호흡기질환 환자를 다른 환자와 분리 치료해 병원 내 감염 위험을 방지하자는 취지다.
보건복지부	보건복지부	NNG	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
국민	국민	NNG	O
안심	안심	NNG	O
병원	병원	NNG	O
은	은	JX	O
_	_	_	O
메르스	메르스	NNG	B-POH
와	와	JC	O
_	_	_	O
증상	증상	NNG	O
이	이	JKS	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
호흡기	호흡기	NNG	O
질환	질환	NNG	O
_	_	_	O
환자	환자	NNG	O
를	를	JKO	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
환자	환자	NNG	O
와	와	JKB	O
_	_	_	O
분리	분리	NNG	O
_	_	_	O
치료해	치료하+여	VV+EC	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
감염	감염	NNG	O
_	_	_	O
위험	위험	NNG	O
을	을	JKO	O
_	_	_	O
방지하	방지하	VV	O
자는	자는	ETM	O
_	_	_	O
취지	취지+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 병원을 찾은 호흡기질환자는 별도의 선별진료소에서 진료를 받고, 입원 시 1인실이나 1인 1실로 입원하게 된다.
## 병원을 찾은 호흡기질환자는 별도의 선별진료소에서 진료를 받고, 입원 시 <1인실:NOH>이나 <1인:NOH> <1실:NOH>로 입원하게 된다.
병원	병원	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
은	은	ETM	O
_	_	_	O
호흡기	호흡기	NNG	O
질환	질환	NNG	O
자	자	XSN	O
는	는	JX	O
_	_	_	O
별도	별도	NNG	O
의	의	JKG	O
_	_	_	O
선별	선별	NNG	O
진료소	진료소	NNG	O
에서	에서	JKB	O
_	_	_	O
진료	진료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
입원	입원	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
1	1	SN	B-NOH
인실	인실	NNP	I-NOH
이나	이나	JC	O
_	_	_	O
1	1	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
실	실	NNB	I-NOH
로	로	JKB	O
_	_	_	O
입원하	입원하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 2013년 출시한 6년근 홍삼정(사진 2)의 경우 그해 조기 품절됐고 지난해에는 10만 병 이상 판매하면서 반값 홍삼 시대를 연 대표적인 제품으로 자리잡았다.
## <2013년:DAT> 출시한 <6년근 홍삼정:POH>(사진 <2:NOH>)의 경우 그해 조기 품절됐고 지난해에는 <10만 병:NOH> 이상 판매하면서 반값 홍삼 시대를 연 대표적인 제품으로 자리잡았다.
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
출시한	출시하+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-POH
년	년	NNB	I-POH
근	근	NNG	I-POH
_	_	_	I-POH
홍삼정	홍삼정	NNG	I-POH
(	(	SS	O
사진	사진	NNG	O
_	_	_	O
2	2	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
그해	그해	NNG	O
_	_	_	O
조기	조기	NNG	O
_	_	_	O
품절	품절되	VV	O
됐	었	EP	O
고	고	EC	O
_	_	_	O
지난해	지난해	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
10	10	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
병	병	NNG	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
판매하	판매하	VV	O
면서	면서	EC	O
_	_	_	O
반값	반값	NNG	O
_	_	_	O
홍삼	홍삼	NNG	O
_	_	_	O
시대	시대	NNG	O
를	를	JKO	O
_	_	_	O
연	열+ㄴ	VV+ETM	O
_	_	_	O
대표적	대표적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
제품	제품	NNG	O
으로	으로	JKB	O
_	_	_	O
자리	자리	NNG	O
잡	잡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 아스카가 별다른 활약을 펼치지 못하고 LG전에서 패한다면 곧바로 켈리로 교체할 수도 있다.
## <아스카:PER>가 별다른 활약을 펼치지 못하고 <LG:ORG>전에서 패한다면 곧바로 <켈리:PER>로 교체할 수도 있다.
아스카	아스카	NNP	B-PER
가	가	JKS	O
_	_	_	O
