## 1
## 그곳에서 평안하시길. 그리고 2년 전에 세상을 떠난 동갑내기 절친 피터 오툴과 오랜만에 좋은 시간을 가지시길. 글=김형석 영화저널리스트
## 그곳에서 평안하시길. 그리고 <2년:NOH> 전에 세상을 떠난 동갑내기 절친 <피터 오툴:PER>과 오랜만에 좋은 시간을 가지시길. 글=<김형석:PER> 영화저널리스트
그곳	그곳	NP	O
에서	에서	JKB	O
_	_	_	O
평안하	평안하	VA	O
시	시	EP	O
길	기+ㄹ	ETN+JKO	O
.	.	SF	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
세상	세상	NNG	O
을	을	JKO	O
_	_	_	O
떠난	떠나+ㄴ	VV+ETM	O
_	_	_	O
동갑내기	동갑내기	NNG	O
_	_	_	O
절친	절친	NNG	O
_	_	_	O
피터	피터	NNP	B-PER
_	_	_	I-PER
오툴	오툴	NNP	I-PER
과	과	JC	O
_	_	_	O
오랜만	오랜만	NNG	O
에	에	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
시	시	EP	O
길	기+ㄹ	ETN+JKO	O
.	.	SF	O
_	_	_	O
글	글	NNG	O
=	=	SW	O
김형석	김형석	NNP	B-PER
_	_	_	O
영화	영화	NNG	O
저널리스트	저널리스트	NNG	O

## 2
## 그런데 지난 1월 이 법이 더욱 강화됐다.
## 그런데 지난 <1월:DAT> 이 법이 더욱 강화됐다.
그런데	그런데	MAJ	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이	이	MM	O
_	_	_	O
법	법	NNG	O
이	이	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
강화	강화되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한양대는 국내 대학 중 처음으로 한양인재개발원을 설립해 지난해 문을 열었다.
## <한양대:ORG>는 국내 대학 중 처음으로 <한양인재개발원:ORG>을 설립해 지난해 문을 열었다.
한양대	한양대	NNP	B-ORG
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
한양인	한양인	NNP	B-ORG
재	재	XPN	I-ORG
개발	개발	NNG	I-ORG
원	원	XSN	I-ORG
을	을	JKO	O
_	_	_	O
설립해	설립하+여	VV+EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 윤 교수는 중국 국가지진국 지질연구소 활화산연구센터와 공동으로 전자 거리측정기(EDM)를 이용해 해발을 측정한 결과 이 같은 결론을 얻었다고 말했다.
## <윤:PER> 교수는 <중국 국가지진국 지질연구소 활화산연구센터:ORG>와 공동으로 전자 거리측정기(EDM)를 이용해 해발을 측정한 결과 이 같은 결론을 얻었다고 말했다.
윤	윤	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
국가	국가	NNG	I-ORG
지진	지진	NNG	I-ORG
국	국	XSN	I-ORG
_	_	_	I-ORG
지질	지질	NNG	I-ORG
연구소	연구소	NNG	I-ORG
_	_	_	I-ORG
활화산	활화산	NNG	I-ORG
연구	연구	NNG	I-ORG
센터	센터	NNG	I-ORG
와	와	JC	O
_	_	_	O
공동	공동	NNG	O
으로	으로	JKB	O
_	_	_	O
전자	전자	NNG	O
_	_	_	O
거리	거리	NNG	O
측정기	측정기	NNG	O
(	(	SS	O
EDM	EDM	SL	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
해발	해발	NNG	O
을	을	JKO	O
_	_	_	O
측정한	측정하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
결론	결론	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 조식의 제자였던 정구도 “우왕과 창왕 부자를 섬겼으면서도 그들을 추방하는 모의에 정몽주가 참여했고 그 공로로 공신 책봉까지 받았다”며 “정몽주의 죽음은 가소로울 뿐”이라고 했다.
## <조식:PER>의 제자였던 <정구:PER>도 “<우왕:PER>과 <창왕:PER> 부자를 섬겼으면서도 그들을 추방하는 모의에 <정몽주:PER>가 참여했고 그 공로로 공신 책봉까지 받았다”며 “<정몽주:PER>의 죽음은 가소로울 뿐”이라고 했다.
조식	조식	NNG	B-PER
의	의	JKG	O
_	_	_	O
제자	제자+이	NNG+VCP	O
였	었	EP	O
