## 1
## 하지만 남태현의 소속사 YG엔터테인먼트는 아무런 반응을 보이지 않고 있다.
## 하지만 <남태현:PER>의 소속사 <YG엔터테인먼트:ORG>는 아무런 반응을 보이지 않고 있다.
하지만	하지만	MAJ	O
_	_	_	O
남태현	남태현	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
YG	YG	SL	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
는	는	JX	O
_	_	_	O
아무런	아무런	MM	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 정려원은 지난 2000년 그룹 샤크라로 데뷔했으며 MBC TV '내 이름은 김삼순', SBS TV '드라마의 제왕', tvN 드라마 '풍선껌' 등에 출연하며 연기자로 활동 중이다.
## <정려원:PER>은 지난 <2000년:DAT> 그룹 <샤크라:ORG>로 데뷔했으며 <MBC TV:POH> '<내 이름은 김삼순:POH>', <SBS TV:POH> '<드라마의 제왕:POH>', <tvN 드라마:POH> '<풍선껌:POH>' 등에 출연하며 연기자로 활동 중이다.
정려원	정려원	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2000	2000	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
샤크라	샤크라	NNP	B-ORG
로	로	JKB	O
_	_	_	O
데뷔	데뷔하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
MBC	MBC	SL	B-POH
_	_	_	I-POH
TV	TV	SL	I-POH
_	_	_	O
'	'	SS	O
내	나+의	NP+JKG	B-POH
_	_	_	I-POH
이름	이름	NNG	I-POH
은	은	JX	I-POH
_	_	_	I-POH
김삼순	김삼순	NNP	I-POH
'	'	SS	O
,	,	SP	O
_	_	_	O
SBS	SBS	SL	B-POH
_	_	_	I-POH
TV	TV	SL	I-POH
_	_	_	O
'	'	SS	O
드라마	드라마	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
제왕	제왕	NNG	I-POH
'	'	SS	O
,	,	SP	O
_	_	_	O
tvN	tvN	SL	B-POH
_	_	_	I-POH
드라마	드라마	NNG	I-POH
_	_	_	O
'	'	SS	O
풍선껌	풍선껌	NNG	B-POH
'	'	SS	O
