## 1
## (’08년 43.5% → ’14년 48.4%, ‘08년 대비 4.9%p증가) 금연, 저위험음주, 걷기 3가지 모두를 실천하는 국민은 3명중 1명에 불과한 것으로 조사됐다.
## (’<08년:DAT> <43.5%:PNT> → ’<14년:DAT> <48.4%:PNT>, ‘<08년:DAT> 대비 <4.9%p:PNT>증가) 금연, 저위험음주, 걷기 <3가지:NOH> 모두를 실천하는 국민은 <3명:NOH>중 <1명:NOH>에 불과한 것으로 조사됐다.
(	(	SS	O
’	’	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
43.5	43.5	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
→	→	SW	O
_	_	_	O
’	’	SS	O
14	14	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
48.4	48.4	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
‘	‘	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대비	대비	NNG	O
_	_	_	O
4.9	4.9	SN	B-PNT
%	%	SW	I-PNT
p	p	SL	I-PNT
증가	증가	NNG	O
)	)	SS	O
_	_	_	O
금연	금연	NNG	O
,	,	SP	O
_	_	_	O
저	저	XPN	O
위험	위험	NNG	O
음주	음주	NNG	O
,	,	SP	O
_	_	_	O
걷	걷	VV	O
기	기	ETN	O
_	_	_	O
3	3	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
모두	모두	NNG	O
를	를	JKO	O
_	_	_	O
실천하	실천하	VV	O
는	는	ETM	O
_	_	_	O
국민	국민	NNG	O
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
중	중	NNB	O
_	_	_	O
1	1	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
불과한	불과하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
조사	조사되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우중월 1점 홈런을 얻어맞았다.
## 우중월 <1점:NOH> 홈런을 얻어맞았다.
우중월	우중월	NNG	O
_	_	_	O
1	1	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
홈런	홈런	NNG	O
을	을	JKO	O
_	_	_	O
얻어맞	얻어맞	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 다음카카오에서 운영하는 모바일 금융서비스인 ‘뱅크월렛카카오’의 충전한도가 다음달 중 50만 원에서 200만 원으로 늘어난다.
## <다음카카오:ORG>에서 운영하는 모바일 금융서비스인 ‘<뱅크월렛카카오:POH>’의 충전한도가 다음달 중 <50만 원:MNY>에서 <200만 원:MNY>으로 늘어난다.
다음카카오	다음카카오	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
금융	금융	NNG	O
서비스	서비스	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
뱅크	뱅크	NNG	B-POH
월	월	NNB	I-POH
렛	렛	NNG	I-POH
카카오	카카오	NNP	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
충전	충전	NNG	O
한도	한도	NNG	O
가	가	JKS	O
_	_	_	O
다음	다음	NNG	O
달	달	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
50	50	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
에서	에서	JKB	O
_	_	_	O
200	200	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
늘어난다	늘어나+ㄴ다	VV+EF	O
.	.	SF	O

## 4
