## 1
## 미국 케네디 정부에서 경제고문을 지낸 로버트 솔로(1924~) MIT 명예교수의 성장 이론 역시 각국의 경제성장 정책에 대거 반영됐다.
## <미국:ORG> <케네디:PER> 정부에서 경제고문을 지낸 <로버트 솔로:PER>(<1924:DAT>~) <MIT:ORG> 명예교수의 성장 이론 역시 각국의 경제성장 정책에 대거 반영됐다.
미국	미국	NNP	B-ORG
_	_	_	O
케네디	케네디	NNP	B-PER
_	_	_	O
정부	정부	NNG	O
에서	에서	JKB	O
_	_	_	O
경제	경제	NNG	O
고문	고문	NNG	O
을	을	JKO	O
_	_	_	O
지낸	지내+ㄴ	VV+ETM	O
_	_	_	O
로버트	로버트	NNP	B-PER
_	_	_	I-PER
솔로	솔로	NNG	I-PER
(	(	SS	O
1924	1924	SN	B-DAT
~	~	SO	O
)	)	SS	O
_	_	_	O
MIT	MIT	SL	B-ORG
_	_	_	O
명예교수	명명교수	NNG	O
의	의	JKG	O
_	_	_	O
성장	성장	NNG	O
_	_	_	O
이론	이론	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
각국	각국	NNG	O
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
성장	성장	NNG	O
_	_	_	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
대거	대거	MAG	O
_	_	_	O
반영	반영되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 13일 리커창 총리의 회견 통역은 ‘런싱’ 통역으로 뜬 장레이가 맡을 가능성이 크다.
## <13일:DAT> <리커창:PER> 총리의 회견 통역은 ‘런싱’ 통역으로 뜬 <장레이:PER>가 맡을 가능성이 크다.
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
리커창	리커창	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
의	의	JKG	O
_	_	_	O
회견	회견	NNG	O
_	_	_	O
통역	통역	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
런	런	NNG	O
싱	싱	NNP	O
’	’	SS	O
_	_	_	O
통역	통역	NNG	O
으로	으로	JKB	O
_	_	_	O
뜬	뜨+ㄴ	VV+ETM	O
_	_	_	O
장레이	장레이	NNP	B-PER
가	가	JKS	O
_	_	_	O
맡	맡	VV	O
을	을	ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 햄버거 하나를 먹기 위해 몇 시간씩 긴 줄을 서서 기다려야 할 정도다.
## 햄버거 <하나:NOH>를 먹기 위해 몇 시간씩 긴 줄을 서서 기다려야 할 정도다.
햄버거	햄버거	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
를	를	JKO	O
_	_	_	O
먹	먹	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
시간	시간	NNG	O
씩	씩	XSN	O
_	_	_	O
긴	길+ㄴ	VA+ETM	O
_	_	_	O
줄	줄	NNG	O
을	을	JKO	O
_	_	_	O
서서	서+어서	VV+EC	O
_	_	_	O
기다려야	기다리+어야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
정도	정도+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편 이날 ‘힐링캠프’ 이문세는 ‘결혼 전’ 이경규와 함께 커플 여행을 갔다고 폭로했다.
## 한편 이날 ‘<힐링캠프:POH>’ <이문세:PER>는 ‘결혼 전’ <이경규:PER>와 함께 커플 여행을 갔다고 폭로했다.
한편	한편	MAG	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
힐링	힐링	NNG	B-POH
캠프	캠프	NNG	I-POH
’	’	SS	O
_	_	_	O
이문세	이문세	NNP	B-PER
는	는	JX	O
_	_	_	O
‘	‘	SS	O
결혼	결혼	NNG	O
_	_	_	O
전	전	NNG	O
’	’	SS	O
_	_	_	O
이경규	이경규	NNP	B-PER
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
커플	커플	NNG	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
갔	가+았	VV+EP	O
다고	다고	EC	O
_	_	_	O
폭로	폭로하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 전용면적별로는 △15㎡(원룸) 48실 △16㎡(원룸) 96실 △22㎡(1.5룸) 16실이다.
## 전용면적별로는 △<15㎡:NOH>(원룸) <48실:NOH> △<16㎡:NOH>(원룸) <96실:NOH> △<22㎡:NOH>(<1.5룸:NOH>) <16실:NOH>이다.
전용면적	전용면적	NNG	O
별	별	XSN	O
로	로	JKB	O
는	는	JX	O
_	_	_	O
△	△	SW	O
15	15	SN	B-NOH
㎡	㎡	SW	I-NOH
(	(	SS	O
원룸	원룸	NNG	O
)	)	SS	O
_	_	_	O
48	48	SN	B-NOH
실	실	NNB	I-NOH
_	_	_	O
△	△	SW	O
16	16	SN	B-NOH
㎡	㎡	SW	I-NOH
(	(	SS	O
원룸	원룸	NNG	O
)	)	SS	O
_	_	_	O
96	96	SN	B-NOH
실	실	NNB	I-NOH
_	_	_	O
△	△	SW	O
22	22	SN	B-NOH
㎡	㎡	SW	I-NOH
(	(	SS	O
1.5	1.5	SN	B-NOH
룸	룸	NNG	I-NOH
)	)	SS	O
_	_	_	O
16	16	SN	B-NOH
실	실	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 민호는 순정이 준희(윤현민 역)와 함께 있는 모습을 보면 신경 쓰이고 순정을 볼 때마다 심장이 두근거리기 시작한다.
## <민호:PER>는 순정이 <준희:PER>(<윤현민:PER> 역)와 함께 있는 모습을 보면 신경 쓰이고 순정을 볼 때마다 심장이 두근거리기 시작한다.
민호	민호	NNG	B-PER
는	는	JX	O
_	_	_	O
순정이	순정이	NNP	O
_	_	_	O
준희	준희	NNP	B-PER
(	(	SS	O
윤현민	윤현민	NNP	B-PER
_	_	_	O
역	역	NNG	O
)	)	SS	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
신경	신경	NNG	O
_	_	_	O
쓰이	쓰이	VV	O
고	고	EC	O
_	_	_	O
순정	순정	NNG	O
을	을	JKO	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
심장	심장	NNG	O
이	이	JKS	O
_	_	_	O
두근거리	두근거리	VV	O
기	기	ETN	O
_	_	_	O
시작한다	시작하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 충청남도 당진시에 위치한 신성대학교(총장 김병묵)는 홍익인간의 정신 구현과 세계적 전문기술인 양성을 목표로 1995년에 설립되어 현재 개교 22주년을 맞이하는 청년 대학으로서, 국가 및 지역사회 발전의 중추적인 전문기술인을 양성하는 직업교육 기관으로서의 선도적 역할을 하고 있다.
## <충청남도:LOC> <당진시:LOC>에 위치한 <신성대학교:ORG>(총장 <김병묵:PER>)는 홍익인간의 정신 구현과 세계적 전문기술인 양성을 목표로 <1995년:DAT>에 설립되어 현재 개교 <22주년:DUR>을 맞이하는 청년 대학으로서, 국가 및 지역사회 발전의 중추적인 전문기술인을 양성하는 직업교육 기관으로서의 선도적 역할을 하고 있다.
충청남도	충청남도	NNP	B-LOC
_	_	_	O
당진	당진	NNP	B-LOC
시	시	NNB	I-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
신성	신성	NNG	B-ORG
대학교	대학교	NNG	I-ORG
(	(	SS	O
총장	총장	NNG	O
_	_	_	O
김병묵	김병묵	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
홍익인간	홍익인간	NNG	O
의	의	JKG	O
_	_	_	O
정신	정신	NNG	O
_	_	_	O
구현	구현	NNG	O
과	과	JC	O
_	_	_	O
세계적	세계적	NNG	O
_	_	_	O
전문	전문	NNG	O
기술인	기술인	NNG	O
_	_	_	O
양성	양성	NNG	O
을	을	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
1995	1995	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
설립되	설립되	VV	O
어	어	EC	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
개	개	NNB	O
교	교	NNG	O
_	_	_	O
22	22	SN	B-DUR
주년	주년	NNB	I-DUR
을	을	JKO	O
