## 1
## 北 주요 기밀이나 군함·전투폭격기 몰고 한국 오면 최대 10억 준다
## <北:ORG> 주요 기밀이나 군함·전투폭격기 몰고 <한국:LOC> 오면 최대 <10억:MNY> 준다
北	北	SH	B-ORG
_	_	_	O
주요	주요	NNG	O
_	_	_	O
기밀	기밀	NNG	O
이나	이나	JC	O
_	_	_	O
군함	군함	NNG	O
·	·	SP	O
전투	전투	NNG	O
폭격기	폭격기	NNG	O
_	_	_	O
몰	몰	VV	O
고	고	EC	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
오	오	VV	O
면	면	EC	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
10	10	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
준다	주+ㄴ다	VV+EF	O

## 2
## 국내 발전회사 중 최대 용량이자 한국 전력사용량의 약 11%의 전기를 생산하는 남동발전 역시 지난해 창사(2001년) 이래 최대 당기순이익(3832억 원)을 냈다.
## 국내 발전회사 중 최대 용량이자 <한국:ORG> 전력사용량의 약 <11%:PNT>의 전기를 생산하는 <남동발전:ORG> 역시 지난해 창사(<2001년:DAT>) 이래 최대 당기순이익(<3832억 원:MNY>)을 냈다.
국내	국내	NNG	O
_	_	_	O
발전	발전	NNG	O
회사	회사	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
용량	용량	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
전력	전력	NNG	O
사용량	사용량	NNG	O
의	의	JKG	O
_	_	_	O
약	약	MM	O
_	_	_	O
11	11	SN	B-PNT
%	%	SW	I-PNT
의	의	JKG	O
_	_	_	O
전기	전기	NNG	O
를	를	JKO	O
_	_	_	O
생산하	생산하	VV	O
는	는	ETM	O
_	_	_	O
남동	남동	NNG	B-ORG
발전	발전	NNG	I-ORG
_	_	_	O
역시	역시	MAG	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
창사	창사	NNG	O
(	(	SS	O
2001	2001	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
_	_	_	O
이래	이래	NNB	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
당기	당기	NNG	O
순이익	순이익	NNG	O
(	(	SS	O
3832	3832	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## “진짜사나이 여군특집2 강예원, 오늘부터 팬이다”
## “<진짜사나이 여군특집2:POH> <강예원:PER>, 오늘부터 팬이다”
“	“	SS	O
진짜	진짜	NNG	B-POH
사나이	사나이	NNG	I-POH
_	_	_	I-POH
여군	여군	NNG	I-POH
특집	특집	NNG	I-POH
2	2	SN	I-POH
_	_	_	O
강예원	강예원	NNP	B-PER
,	,	SP	O
_	_	_	O
오늘	오늘	NNG	O
부터	부터	JX	O
_	_	_	O
팬	팬	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O

## 4
## 박근혜 대통령은 최종 인양 결정에 앞서 인양을 기정사실화함으로써 전문가 집단의 중립적 결정을 불가능하게 만들었다.
## <박근혜:PER> 대통령은 최종 인양 결정에 앞서 인양을 기정사실화함으로써 전문가 집단의 중립적 결정을 불가능하게 만들었다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
인양	인양	NNG	O
_	_	_	O
결정	결정	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
인양	인양	NNG	O
을	을	JKO	O
_	_	_	O
기정사실화함	기정사실화하+ㅁ	VV+ETN	O
으로써	으로써	JKB	O
_	_	_	O
전문가	전문가	NNG	O
_	_	_	O
집단	집단	NNG	O
의	의	JKG	O
_	_	_	O
중립적	중립적	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
불가능하	불가능하	VA	O
게	게	EC	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 수류탄은 서울도시철도그린환경(주) 직원이 처음 발견해 역 직원에 통보했고 역 직원이 112에 신고했다.
## 수류탄은 <서울도시철도그린환경(주):ORG> 직원이 처음 발견해 역 직원에 통보했고 역 직원이 <112:POH>에 신고했다.
수류탄	수류탄	NNG	O
은	은	JX	O
_	_	_	O
서울도시철도	서울도시철도	NNP	B-ORG
그린	그린	NNG	I-ORG
환경	환경	NNG	I-ORG
(	(	SS	I-ORG
주	주	NNG	I-ORG
)	)	SS	I-ORG
_	_	_	O
직원	직원	NNG	O
이	이	JKS	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
발견해	발견하+여	VV+EC	O
_	_	_	O
역	역	NNG	O
_	_	_	O
직원	직원	NNG	O
에	에	JKB	O
_	_	_	O
통보	통보하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
역	역	NNG	O
_	_	_	O
직원	직원	NNG	O
이	이	JKS	O
_	_	_	O
112	112	SN	B-POH
에	에	JKB	O
_	_	_	O
신고	신고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 고려대학교는 이 전 헌법재판관을 법학전문대학원 석좌교수로 임명한다고 23일 밝혔다.
## <고려대학교:ORG>는 <이:PER> 전 헌법재판관을 법학전문대학원 석좌교수로 임명한다고 <23일:DAT> 밝혔다.
고려대학교	고려대학교	NNP	B-ORG
는	는	JX	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
헌법	헌법	NNG	O
재판관	재판관	NNG	O
을	을	JKO	O
_	_	_	O
법학	법학	NNG	O
전문	전문	NNG	O
대학원	대학원	NNG	O
_	_	_	O
석좌	석좌	NNG	O
교수	교수	NNG	O
로	로	JKB	O
_	_	_	O
임명한다고	임명하+ㄴ다고	VV+EC	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 건설부가 25일 발표한 「94년 1분기 지가동향」에 따르면, 1분기중 땅값 하락률 0.41%는 지난해 매분기마다 평균 1.85%씩 떨어지던 것에 비하면 미미한 것으로, 특히 93년 4분기의 1.64%하락에 비교하면 크게 둔화된 셈이다.
## <건설부:ORG>가 <25일:DAT> 발표한 「<94년:DAT> <1분기:NOH> 지가동향」에 따르면, <1분기:NOH>중 땅값 하락률 <0.41%:PNT>는 지난해 매분기마다 평균 <1.85%:PNT>씩 떨어지던 것에 비하면 미미한 것으로, 특히 <93년:DAT> <4분기:NOH>의 1.64%하락에 비교하면 크게 둔화된 셈이다.
건설부	건설부	NNG	B-ORG
가	가	JKS	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
「	「	SS	O
94	94	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
분기	분기	NNG	I-NOH
_	_	_	O
지가	지가	NNG	O
동향	동향	NNG	O
」	」	SS	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
,	,	SP	O
_	_	_	O
1	1	SN	B-NOH
분기	분기	NNG	I-NOH
중	중	NNB	O
_	_	_	O
땅값	땅값	NNG	O
_	_	_	O
하락	하락	NNG	O
률	률	XSN	O
_	_	_	O
0.41	0.41	SN	B-PNT
%	%	SW	I-PNT
는	는	JX	O
_	_	_	O
