## 1
## 이번 대회의 명예의장인 박 대통령은 축사에서 “세계의 평화와 화합의 메시지를 전하는 뜻깊은 대회가 되기를 기대한다”고 말했다.
## 이번 대회의 명예의장인 <박:PER> 대통령은 축사에서 “세계의 평화와 화합의 <메시:PER>지를 전하는 뜻깊은 대회가 되기를 기대한다”고 말했다.
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
의	의	JKG	O
_	_	_	O
명예	명예	NNG	O
의장	의장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
축사	축사	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
세계	세계	NNG	O
의	의	JKG	O
_	_	_	O
평화	평화	NNG	O
와	와	JKB	O
_	_	_	O
화합	화합	NNG	O
의	의	JKG	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
전하	전하	VV	O
는	는	ETM	O
_	_	_	O
뜻깊	뜻깊	VA	O
은	은	ETM	O
_	_	_	O
대회	대회	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
기대한다	기대하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 호르몬이 듣지 않는 상태가 돼 2013년 10월 항암치료를 받기 시작했다.
## 호르몬이 듣지 않는 상태가 돼 <2013년 10월:DAT> 항암치료를 받기 시작했다.
호르몬	호르몬	NNG	O
이	이	JKS	O
_	_	_	O
듣	듣	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
상태	상태	NNG	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
항암	항암	NNG	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
_	_	_	O
