## 1
## 쇼타, 센가 고다이(이상 23·소프트뱅크), 야수는 야마다 데쓰토(24·야쿠르트), 기쿠치 료스케(26·히로시마), 쓰쓰고 요시토모(24·요코하마)가 대표팀 주축으로 나설 전망이다.
## <쇼타:PER>, <센가 고다이:PER>(이상 <23:NOH>·<소프트뱅크:ORG>), <야수:PER>는 <야마다 데쓰토:PER>(<24:NOH>·<야쿠르트:ORG>), <기쿠치 료스케:PER>(<26:NOH>·<히로시마:ORG>), <쓰쓰고 요시토모:PER>(<24:NOH>·<요코하마:ORG>)가 <대표팀:ORG> 주축으로 나설 전망이다.
쇼	쇼	NNG	B-PER
타	타	NNG	I-PER
,	,	SP	O
_	_	_	O
센가	세+ㄴ가	VA+EC	B-PER
_	_	_	I-PER
고	고	NNP	I-PER
다이	다이	NNG	I-PER
(	(	SS	O
이상	이상	NNG	O
_	_	_	O
23	23	SN	B-NOH
·	·	SP	O
소프트뱅크	소프트뱅크	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
야수	야수	NNG	B-PER
는	는	JX	O
_	_	_	O
야마다	야마다	NNP	B-PER
_	_	_	I-PER
데쓰	데쓰	NNG	I-PER
토	토	NNG	I-PER
(	(	SS	O
24	24	SN	B-NOH
·	·	SP	O
야쿠르트	야쿠르트	NNG	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
기쿠치	기쿠치	NNP	B-PER
_	_	_	I-PER
료스케	료스케	NNP	I-PER
(	(	SS	O
26	26	SN	B-NOH
·	·	SP	O
히로시마	히로시마	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
쓰쓰	쓰쓰	MAG	B-PER
고	고	JKQ	I-PER
_	_	_	I-PER
요시토	요시토	NNP	I-PER
모	모	NNB	I-PER
(	(	SS	O
24	24	SN	B-NOH
·	·	SP	O
요코하마	요코하마	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
대표	대표	NNG	B-ORG
팀	팀	NNG	I-ORG
_	_	_	O
주축	주축	NNG	O
으로	으로	JKB	O
_	_	_	O
나설	나서+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 시드니모닝헤럴드는 "스파이서가 브리핑에서 '턴불(Turnbull)'을 '트런불(Trunbull)'이라고 두 번이나 잘못 발음했다"고 꼬집으면서 풀리지 않은 앙금을 드러냈다.
## <시드니:LOC><모닝헤럴드:ORG>는 "<스파이서:PER>가 브리핑에서 '턴불(Turnbull)'을 '트런불(Trunbull)'이라고 <두 번:NOH>이나 잘못 발음했다"고 꼬집으면서 풀리지 않은 앙금을 드러냈다.
시드니모닝헤럴드	시드니모닝헤럴드	NNP	B-ORG
는	는	JX	O
_	_	_	O
"	"	SS	O
스파이	스파이	NNG	B-PER
서	서	XSN	I-PER
가	가	JKS	O
_	_	_	O
브리핑	브리핑	NNG	O
에서	에서	JKB	O
_	_	_	O
'	'	SS	O
턴불	턴불	NNG	O
(	(	SS	O
Turnbull	Turnbull	SL	O
)	)	SS	O
'	'	SS	O
을	을	JKO	O
_	_	_	O
'	'	SS	O
트런불	트런불	NNG	O
(	(	SS	O
Trunbull	Trunbull	SL	O
)	)	SS	O
'	'	SS	O
이라고	이라고	JKQ	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
이나	이나	JX	O
_	_	_	O
잘못	잘못	MAG	O
_	_	_	O
발음	발음하	VV	O
했	었	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
꼬집	꼬집	VV	O
