## 1
## 대한민국의 정체성을 훼손한 사람, 법안 하나 제대로 발의하지 못한 사람, 국회 절차와 규칙을 무시하면서 돌출 행동을 일삼았던 사람, 갑질 하고 막말한 사람, 실력 없이 권력에 줄서고 아첨한 사람, 부패와 성희롱에 연루되었던 사람, 폭력 시위에 참여해 선동에 앞장섰던 사람들에 대해 신상필벌의 원칙을 세워 심판해야 한다.
## <대한민국:ORG>의 정체성을 훼손한 사람, 법안 <하나:NOH> 제대로 발의하지 못한 사람, 국회 절차와 규칙을 무시하면서 돌출 행동을 일삼았던 사람, 갑질 하고 막말한 사람, 실력 없이 권력에 줄서고 아첨한 사람, 부패와 성희롱에 연루되었던 사람, 폭력 시위에 참여해 선동에 앞장섰던 사람들에 대해 신상필벌의 원칙을 세워 심판해야 한다.
대한민국	대한민국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정체성	정체성	NNG	O
을	을	JKO	O
_	_	_	O
훼손한	훼손하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
법안	법안	NNG	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
발의하	발의하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
국회	국회	NNG	O
_	_	_	O
절차	절차	NNG	O
와	와	JC	O
_	_	_	O
규칙	규칙	NNG	O
을	을	JKO	O
_	_	_	O
무시하	무시하	VV	O
면서	면서	EC	O
_	_	_	O
돌출	돌출	NNG	O
_	_	_	O
행동	행동	NNG	O
을	을	JKO	O
_	_	_	O
일삼	일삼	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
갑	갑	NNG	O
질	질	XSN	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
막말한	막말하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
실력	실력	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
권력	권력	NNG	O
에	에	JKB	O
_	_	_	O
줄	줄	NNG	O
서	서+어	VV+EC	O
고	고	JKQ	O
_	_	_	O
아첨한	아첨하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
부패	부패	NNG	O
와	와	JC	O
_	_	_	O
성희롱	성희롱	NNG	O
에	에	JKB	O
_	_	_	O
연루되	연루되	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
사람	사람	NNG	O
,	,	SP	O
_	_	_	O
폭력	폭력	NNG	O
_	_	_	O
시위	시위	NNG	O
에	에	JKB	O
_	_	_	O
참여해	참여하+여	VV+EC	O
_	_	_	O
선동	선동	NNG	O
에	에	JKB	O
_	_	_	O
앞장섰	앞장서+었	VV+EP	O
던	던	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
신상필벌	신상필벌	NNG	O
의	의	JKG	O
_	_	_	O
원칙	원칙	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
워	어	EC	O
_	_	_	O
심판해야	심판하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 콜버스는 심야에 스마트폰 애플리케이션(앱)을 통해 목적지와 탑승시간을 입력하면 비슷한 경로의 승객을 모아 운행하는 교통 서비스다.
## <콜버스:ORG>는 심야에 스마트폰 애플리케이션(앱)을 통해 목적지와 탑승시간을 입력하면 비슷한 경로의 승객을 모아 운행하는 교통 서비스다.
콜버스	콜버스	NNP	B-ORG
는	는	JX	O
_	_	_	O
심야	심야	NNG	O
에	에	JKB	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
애플리케이션	애플리케이션	NNG	O
(	(	SS	O
앱	앱	NNG	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
목적지	목적지	NNG	O
와	와	JC	O
_	_	_	O
탑승	탑승	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
입력하	입력하	VV	O
면	면	EC	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
경로	경로	NNG	O
의	의	JKG	O
_	_	_	O
승객	승객	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
운행하	운행하	VV	O
는	는	ETM	O
_	_	_	O
