## 1
## 전문가들은 패권주의를 지향하는 것으로 비춰지는 것에 민감한 독일이 EU의 테두리를 벗어나지 않으면서도 꾸준히 자신들의 이해를 관철시켜 나갈 것으로 분석한다.
## 전문가들은 패권주의를 지향하는 것으로 비춰지는 것에 민감한 <독일:ORG>이 <EU:ORG>의 테두리를 벗어나지 않으면서도 꾸준히 자신들의 이해를 관철시켜 나갈 것으로 분석한다.
전문가	전문가	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
패권주의	패권주의	NNG	O
를	를	JKO	O
_	_	_	O
지향하	지향하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
비춰	비추+어	VV+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
민감한	민감하+ㄴ	VA+ETM	O
_	_	_	O
독일	독일	NNP	B-ORG
이	이	JKS	O
_	_	_	O
EU	EU	SL	B-ORG
의	의	JKG	O
_	_	_	O
테두리	테두리	NNG	O
를	를	JKO	O
_	_	_	O
벗어나	벗어나	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으면서	으면서	EC	O
도	도	JX	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
자신	자신	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
이해	이해	NNG	O
를	를	JKO	O
_	_	_	O
관철	관철	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
분석한다	분석하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이어 '지저스 크라이스트 슈퍼스타'에 출연했으며 최근 공연을 시작한 '무한동력'에도 참여하고 있다.
## 이어 '<지저스 크라이스트 슈퍼스타:POH>'에 출연했으며 최근 공연을 시작한 '<무한동력:POH>'에도 참여하고 있다.
이어	이어	MAG	O
_	_	_	O
'	'	SS	O
지저스	지저스	NNP	B-POH
_	_	_	I-POH
크라이스트	크라이스트	NNP	I-POH
_	_	_	I-POH
슈퍼스타	슈퍼스타	NNG	I-POH
'	'	SS	O
에	에	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
공연	공연	NNG	O
을	을	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
'	'	SS	O
무한	무한	NNG	B-POH
동력	동력	NNG	I-POH
'	'	SS	O
