## 1
## 삼성은 지난해 10월 이후 지금까지 ‘도박정국’에서 헤어 나오질 못하고 있다.
## <삼성:ORG>은 지난해 <10월:DAT> 이후 지금까지 ‘도박정국’에서 헤어 나오질 못하고 있다.
삼성	삼성	NNP	B-ORG
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
_	_	_	O
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
‘	‘	SS	O
도	도	NNG	O
박정국	박정국	NNP	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
헤	헤	VV	O
어	어	EC	O
_	_	_	O
나오	나오	VV	O
질	지+ㄹ	EC+JX	O
_	_	_	O
못하	못하	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 해외 불법도박 혐의를 받은 윤성환, 안지만, 임창용 없이 한국시리즈에 들어가야 했고, 두산에 패해 다 잡은 줄 알았던 우승을 놓쳤다.
## 해외 불법도박 혐의를 받은 <윤성환:PER>, <안지만:PER>, <임창용:PER> 없이 <한국시리즈:POH>에 들어가야 했고, <두산:ORG>에 패해 다 잡은 줄 알았던 우승을 놓쳤다.
해외	해외	NNG	O
_	_	_	O
불법	불법	NNG	O
도박	도박	NNG	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
윤성환	윤성환	NNP	B-PER
,	,	SP	O
_	_	_	O
안지만	안지만	NNP	B-PER
,	,	SP	O
_	_	_	O
임창용	임창용	NNP	B-PER
_	_	_	O
없이	없이	MAG	O
_	_	_	O
한국	한국	NNP	B-POH
시리즈	시리즈	NNG	I-POH
에	에	JKB	O
_	_	_	O
들어가야	들어가+아야	VV+EC	O
_	_	_	O
했	+였	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
두산	두산	NNP	B-ORG
에	에	JKB	O
_	_	_	O
패해	패하+여	VV+EC	O
_	_	_	O
다	다	MAG	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
줄	줄	NNB	O
_	_	_	O
알	알	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
놓	놓치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 미국, 일본도 마찬가지다.
## <미국:ORG>, <일본:ORG>도 마찬가지다.
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
도	도	JX	O
_	_	_	O
마찬가지	마찬가지+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 성동조선, 대선조선, 한진중공업도 채권단 공동관리(자율협약) 후 인력 감축과 자산 매각 등 구조조정을 진행하고 있다.
