## 1
## 현재 박 대통령도 관저에서 변호인단과 함께 특검 대면조사 대응 법리를 검토중인 것으로 알려졌다.
## 현재 <박:PER> 대통령도 관저에서 변호인단과 함께 특검 대면조사 대응 법리를 검토중인 것으로 알려졌다.
현재	현재	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
도	도	JX	O
_	_	_	O
관저	관저	NNG	O
에서	에서	JKB	O
_	_	_	O
변호인	변호인	NNG	O
단	단	XSN	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
특검	특검	NNG	O
_	_	_	O
대면	대면	NNG	O
조사	조사	NNG	O
_	_	_	O
대응	대응	NNG	O
_	_	_	O
법리	법리	NNG	O
를	를	JKO	O
_	_	_	O
검토	검토	NNG	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 특검팀은 이날 오후 정례 브리핑을 통해 박 대통령 대면조사 불발 및 향후 계획에 관해 입장을 밝힐 예정이다.
## 한편 특검팀은 이날 오후 정례 브리핑을 통해 <박:PER> 대통령 대면조사 불발 및 향후 계획에 관해 입장을 밝힐 예정이다.
한편	한편	MAG	O
_	_	_	O
특검	특검	NNG	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
정례	정례	NNG	O
_	_	_	O
브리핑	브리핑	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
대면	대면	NNG	O
조사	조사	NNG	O
_	_	_	O
불발	불발	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
계획	계획	NNG	O
에	에	JKB	O
_	_	_	O
관해	관하+여	VV+EC	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
밝힐	밝히+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## LG 하이파이 플러스는 아날로그에 가까운 풍부한 음원을 선사한다.
## <LG 하이파이 플러스:POH>는 아날로그에 가까운 풍부한 음원을 선사한다.
LG	LG	SL	B-POH
_	_	_	I-POH
하이파이	하이파이	NNG	I-POH
_	_	_	I-POH
플러스	플러스	NNG	I-POH
는	는	JX	O
_	_	_	O
아날로그	아날로그	NNG	O
에	에	JKB	O
_	_	_	O
가까	가깝	VA	O
운	ㄴ	ETM	O
_	_	_	O
풍부한	풍부하+ㄴ	VA+ETM	O
_	_	_	O
음원	음원	NNG	O
을	을	JKO	O
_	_	_	O
선사한다	선사하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 유럽축구에 정통한 복수의 관계자들은 22일 “구단간 논의가 활발하게 이뤄지고 있다.
## <유럽:LOC>축구에 정통한 복수의 관계자들은 <22일:DAT> “구단간 논의가 활발하게 이뤄지고 있다.
유럽	유럽	NNP	B-LOC
축구	축구	NNG	O
에	에	JKB	O
_	_	_	O
정통한	정통하+ㄴ	VV+ETM	O
_	_	_	O
복수	복수	NNG	O
의	의	JKG	O
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
구단	구단	NNG	O
간	간	NNB	O
_	_	_	O
논의	논의	NNG	O
가	가	JKS	O
_	_	_	O
활발하	활발하	VA	O
게	게	EC	O
_	_	_	O
이뤄지	이루어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 18일 현대차에 따르면 이 회사는 라틴어로 ‘편안함’이라는 뜻을 지닌 미니버스 ‘쏠라티’(사진)를 출시할 예정이다.
## <18일:DAT> <현대차:ORG>에 따르면 이 회사는 라틴어로 ‘편안함’이라는 뜻을 지닌 미니버스 ‘<쏠라티:POH>’(사진)를 출시할 예정이다.
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
현대차	현대차	NNP	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
회사	회사	NNG	O
는	는	JX	O
_	_	_	O
라틴	라틴	NNP	O
어	어	XSN	O
로	로	JKB	O
_	_	_	O
‘	‘	SS	O
편안함	편안하+ㅁ	VA+ETN	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
지닌	지니+ㄴ	VV+ETM	O
_	_	_	O
미니버스	미니버스	NNG	O
_	_	_	O
‘	‘	SS	O
쏠	쏠	NNG	B-POH
라티	라티	NNP	I-POH
’	’	SS	O
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
출시할	출시하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 자동차를 재 구매하는 고객에게는 레전드 구입 시 100만 원의 할인 혜택을 제공한다.
## 자동차를 재 구매하는 고객에게는 레전드 구입 시 <100만 원:MNY>의 할인 혜택을 제공한다.
자동차	자동차	NNG	O
를	를	JKO	O
_	_	_	O
재	재	XPN	O
_	_	_	O
구매하	구매하	VV	O
는	는	ETM	O
_	_	_	O
고객	고객	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
레전드	레전드	NNG	O
_	_	_	O
구입	구입	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
100	100	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
할인	할인	NNG	O
_	_	_	O
혜택	혜택	NNG	O
을	을	JKO	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 이는 한 집안에서 고위 관료는 둘 이상을 배출하지 않는다는 홍색 가문의 불문율과 관련이 있다.
## 이는 <한:NOH> 집안에서 고위 관료는 <둘:NOH> 이상을 배출하지 않는다는 <홍색 가문:ORG>의 불문율과 관련이 있다.
이	이	NP	O
는	는	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
집안	집안	NNG	O
에서	에서	JKB	O
_	_	_	O
고위	고위	NNG	O
_	_	_	O
관료	관료	NNG	O
는	는	JX	O
_	_	_	O
둘	둘	NR	B-NOH
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
배출하	배출하	VV	O
지	지	EC	O
_	_	_	O
