## 1
## 현대모비스는 글로벌 핵심 인재 육성을 목표로 유능한 직원을 조기에 선발해 업무와 외국어 능력을 집중적으로 향상시켜 해외 주재원으로 보내고 있다.
## <현대모비스:ORG>는 글로벌 핵심 인재 육성을 목표로 유능한 직원을 조기에 선발해 업무와 외국어 능력을 집중적으로 향상시켜 해외 주재원으로 보내고 있다.
현대모비스	현대모비스	NNP	B-ORG
는	는	JX	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
인재	인재	NNG	O
_	_	_	O
육성	육성	NNG	O
을	을	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
유능한	유능하+ㄴ	VA+ETM	O
_	_	_	O
직원	직원	NNG	O
을	을	JKO	O
_	_	_	O
조기	조기	NNG	O
에	에	JKB	O
_	_	_	O
선발해	선발하+여	VV+EC	O
_	_	_	O
업무	업무	NNG	O
와	와	JC	O
_	_	_	O
외국어	외국어	NNG	O
_	_	_	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
집중적	집중적	NNG	O
으로	으로	JKB	O
_	_	_	O
향상	향상	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
주재원	주재원	NNG	O
으로	으로	JKB	O
_	_	_	O
보내	보내	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 2019년까지 융합 신제품 개발 계획
## <2019년:DAT>까지 융합 신제품 개발 계획
2019	2019	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
융합	융합	NNG	O
_	_	_	O
신제품	신제품	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
계획	계획	NNG	O

## 3
## 미래엔 후원금 5000만원, 책 2260권 기증월드비전은 지난 24일 교육출판기업 미래엔으로부터 후원금 5000만원과 책 2260권을 받는 행사를 열었다.
## 미래엔 후원금 <5000만원:MNY>, 책 <2260권:NOH> 기증<월드비전:ORG>은 <지난 24일:DAT> 교육출판기업 <미래엔:ORG>으로부터 후원금 <5000만원:MNY>과 책 <2260권:NOH>을 받는 행사를 열었다.
미래	미래	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
후원금	후원금	NNG	O
_	_	_	O
5000	5000	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
책	책	NNG	O
_	_	_	O
2260	2260	SN	B-NOH
권	권	NNB	I-NOH
_	_	_	O
기증	기증	NNG	O
월드비전	월드비전	NNP	B-ORG
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	B-DAT
_	_	_	I-DAT
24	24	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
교육	교육	NNG	O
출판	출판	NNG	O
기업	기업	NNG	O
_	_	_	O
미래엔	미래엔	NNG	B-ORG
으로부터	으로부터	JKB	O
_	_	_	O
후원금	후원금	NNG	O
_	_	_	O
5000	5000	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
과	과	JC	O
_	_	_	O
책	책	NNG	O
_	_	_	O
2260	2260	SN	B-NOH
권	권	NNB	I-NOH
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
