## 1
## 수취인이 케이뱅크에 가입하지 않았어도 링크를 열고 본인 계좌번호를 입력해 돈을 받을 수 있다.
## 수취인이 <케이뱅크:ORG>에 가입하지 않았어도 링크를 열고 본인 계좌번호를 입력해 돈을 받을 수 있다.
수취인	수취인	NNG	O
이	이	JKS	O
_	_	_	O
케이	케이	NNG	B-ORG
뱅크	뱅크	NNG	I-ORG
에	에	JKB	O
_	_	_	O
가입하	가입하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
어도	어도	EC	O
_	_	_	O
링크	링크	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
고	고	EC	O
_	_	_	O
본인	본인	NNG	O
_	_	_	O
계좌	계좌	NNG	O
번호	번호	NNG	O
를	를	JKO	O
_	_	_	O
입력해	입력하+여	VV+EC	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 대학 동아리방의 방명록에 남긴 조기영 시인의 글씨를 보고 첫눈에 반한 고민정 아나운서. 고민정 아나운서는 그때 당시를 회상하며 “그 당시 대학 동아리에 방명록 같은 게 있었는데, 다른 학생들이 쓴 내용과는 다르게 남편이 써놓고 간 글씨는 필체가 정말 좋았다.
## 대학 동아리방의 방명록에 남긴 <조기영:PER> 시인의 글씨를 보고 첫눈에 반한 <고민정:PER> 아나운서. <고민정:PER> 아나운서는 그때 당시를 회상하며 “그 당시 대학 동아리에 방명록 같은 게 있었는데, 다른 학생들이 쓴 내용과는 다르게 남편이 써놓고 간 글씨는 필체가 정말 좋았다.
대학	대학	NNG	O
_	_	_	O
동아리	동아리	NNG	O
방	방	NNG	O
의	의	JKG	O
_	_	_	O
방명록	방명록	NNG	O
에	에	JKB	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
조기영	조기영	NNP	B-PER
_	_	_	O
시인	시인	NNG	O
의	의	JKG	O
_	_	_	O
글씨	글씨	NNG	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
첫눈	첫눈	NNG	O
에	에	JKB	O
_	_	_	O
반한	반하+ㄴ	VV+ETM	O
_	_	_	O
고민정	고민정	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
.	.	SF	O
_	_	_	O
고민정	고민정	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
는	는	JX	O
_	_	_	O
그때	그때	NNG	O
_	_	_	O
당시	당시	NNG	O
를	를	JKO	O
_	_	_	O
