## 1
## 허 회장은 “자신이 속한 곳에 얽매이지 말고, 물리적 제약과 자신의 한계를 뛰어 넘는 노력이 필요하다”고 당부했다.
## <허:PER> 회장은 “자신이 속한 곳에 얽매이지 말고, 물리적 제약과 자신의 한계를 뛰어 넘는 노력이 필요하다”고 당부했다.
허	허	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
속한	속하+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
얽매이	얽매이	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
물리적	물리적	NNG	O
_	_	_	O
제약	제약	NNG	O
과	과	JC	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
한계	한계	NNG	O
를	를	JKO	O
_	_	_	O
뛰	뛰	VV	O
어	어	EC	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
노력	노력	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
당부	당부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 추신수는 2-1로 리드한 8회말 수비에서 제이크 스몰린스키로 교체돼 경기에 빠졌다.
## <추신수:PER>는 <2-1:NOH>로 리드한 <8회:NOH>말 수비에서 <제이크 스몰린스키:PER>로 교체돼 경기에 빠졌다.
추신수	추신수	NNP	B-PER
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
로	로	JKB	O
_	_	_	O
리드한	리드하+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
_	_	_	O
수비	수비	NNG	O
에서	에서	JKB	O
_	_	_	O
제이크	제이크	NNP	B-PER
_	_	_	I-PER
스몰린스	스몰린스+하	NNG+XSV	I-PER
키	기	ETN	I-PER
로	로	JKB	O
_	_	_	O
교체돼	교체되+어	VV+EC	O
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 현재 최 씨는 자신만의 창의적인 레시피를 1000가지 넘게 갖고 있다.
## 현재 <최:PER> 씨는 자신만의 창의적인 레시피를 <1000가지:NOH> 넘게 갖고 있다.
현재	현재	MAG	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
만	만	JX	O
의	의	JKG	O
_	_	_	O
창의적	창의적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
1000	1000	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
넘	넘	VV	O
게	게	EC	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 보도에 따르면 박 전 대통령은 독방 시설이 너무 지저분하다는 이유로 다시 도배해달라고 요구했다.
## 보도에 따르면 <박:PER> 전 대통령은 독방 시설이 너무 지저분하다는 이유로 다시 도배해달라고 요구했다.
보도	보도	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
독방	독방	NNG	O
_	_	_	O
시설	시설	NNG	O
이	이	JKS	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
지저분하	지저분하	VA	O
다는	다는	ETM	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
도배해	도배하+여	VV+EC	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 최근 미국 금융그룹 뱅크오브아메리카(BOA)는 “미 중앙은행이 기준금리를 올리기 전 마지막 여름이 다가오고 있다”며 “투자자들은 ‘무서운 여름(Scary Summer)’을 대비해야 한다”고 경고했다.
## 최근 <미국:ORG> 금융그룹 <뱅크오브아메리카:ORG>(<BOA:ORG>)는 “<미 중앙은행:ORG>이 기준금리를 올리기 전 마지막 여름이 다가오고 있다”며 “투자자들은 ‘무서운 여름(Scary Summer)’을 대비해야 한다”고 경고했다.
최근	최근	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
