## 1
## 천안아산역이나 오송역에서 서울·수서 방면 고속열차를 잘못 승차하면 도중에 정차역이 없어 하차하지 못할 수도 있다.
## <천안아산역:LOC>이나 <오송역:LOC>에서 <서울:LOC>·<수서:LOC> 방면 고속열차를 잘못 승차하면 도중에 정차역이 없어 하차하지 못할 수도 있다.
천안아산역	천안아산역	NNP	B-LOC
이나	이나	JC	O
_	_	_	O
오송역	오송역	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
서울	서울	NNP	B-LOC
·	·	SP	O
수서	수서	NNP	B-LOC
_	_	_	O
방면	방면	NNG	O
_	_	_	O
고속	고속	NNG	O
열차	열차	NNG	O
를	를	JKO	O
_	_	_	O
잘못	잘못	MAG	O
_	_	_	O
승차하	승차하	VV	O
면	면	EC	O
_	_	_	O
도중	도중	NNG	O
에	에	JKB	O
_	_	_	O
정차	정차	NNG	O
역	역	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
하차하	하차하	VV	O
지	지	EC	O
_	_	_	O
못할	못하+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 코레일이 대대적인 홍보에 나섰다.
## 이에 <코레일:ORG>이 대대적인 홍보에 나섰다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
코레일	코레일	NNP	B-ORG
이	이	JKS	O
_	_	_	O
대대적	대대적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
홍보	홍보	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 미란다 커는 4월 초 원더브라를 알리기 위한 행사 참석 차 한국을 방문한다.
## <미란다 커:PER>는 <4월:DAT> 초 <원더브라:ORG>를 알리기 위한 행사 참석 차 <한국:LOC>을 방문한다.
미란다	미란다	NNP	B-PER
_	_	_	I-PER
커	커	NNP	I-PER
는	는	JX	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
초	초	NNB	O
_	_	_	O
원더	원더	NNP	B-ORG
브라	브라	NNP	I-ORG
를	를	JKO	O
_	_	_	O
알리	알리	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
행사	행사	NNG	O
_	_	_	O
참석	참석	NNG	O
_	_	_	O
차	차	NNB	O
_	_	_	O
한국	한국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
방문한다	방문하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 내한 일정 중 원더브라의 명예 쇼호스트 자격으로 GS샵 홈쇼핑 생방송에 출연하고, 새롭게 오픈하는 원더브라 강남점의 명예점장으로서 매장에서 고객을 직접 만나는 등 바쁜 일정을 소화할 예정이다.
## 내한 일정 중 <원더브라:ORG>의 명예 쇼호스트 자격으로 <GS샵:ORG> 홈쇼핑 생방송에 출연하고, 새롭게 오픈하는 <원더브라:ORG> <강남:LOC>점의 명예점장으로서 매장에서 고객을 직접 만나는 등 바쁜 일정을 소화할 예정이다.
내한	내한	NNG	O
_	_	_	O
일정	일정	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
원더	원더	NNP	B-ORG
브라	브라	NNP	I-ORG
의	의	JKG	O
_	_	_	O
명예	명예	NNG	O
_	_	_	O
쇼호스트	쇼호스트	NNG	O
_	_	_	O
자격	자격	NNG	O
으로	으로	JKB	O
_	_	_	O
GS	GS	SL	B-ORG
샵	샵	NNG	I-ORG
_	_	_	O
홈	홈	NNG	O
쇼핑	쇼핑	NNG	O
_	_	_	O
생방송	생방송	NNG	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
오픈	오픈	NNG	O
하	하	XSV	O
는	는	ETM	O
_	_	_	O
원더	원더	NNP	B-ORG
브라	브라	NNP	I-ORG
_	_	_	O
강남	강남	NNP	B-LOC
점	점	XSN	O
의	의	JKG	O
_	_	_	O
명예	명예	NNG	O
점장	점장	NNG	O
으로서	으로서	JKB	O
_	_	_	O
매장	매장	NNG	O
에서	에서	JKB	O
_	_	_	O
고객	고객	NNG	O
을	을	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
만나	만나	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
바쁜	바쁘+ㄴ	VA+ETM	O
_	_	_	O
일정	일정	NNG	O
을	을	JKO	O
_	_	_	O
소화할	소화하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 지하철 전동차 안에서 한 여성이 자신을 보며 음란행위를 한 남성의 모습을 영상으로 찍어 소셜미디어에 올려 화제가 되고 있다.
## 지하철 전동차 안에서 <한 여성:NOH>이 자신을 보며 음란행위를 한 남성의 모습을 영상으로 찍어 소셜미디어에 올려 화제가 되고 있다.
지하철	지하철	NNG	O
_	_	_	O
전동차	전동차	NNG	O
_	_	_	O
안	안	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
여성	여성	NNG	I-NOH
이	이	JKS	O
_	_	_	O
자신	자신	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
며	며	EC	O
_	_	_	O
음란	음란	NNG	O
행위	행위	NNG	O
를	를	JKO	O
_	_	_	O
한	한	MM	O
_	_	_	O
남성	남성	NNG	O
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
영상	영상	NNG	O
으로	으로	JKB	O
_	_	_	O
찍	찍	VV	O
어	어	EC	O
_	_	_	O
소셜	소셜	NNG	O
미디어	미디어	NNG	O
에	에	JKB	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 디에나 G 카터(Deanna G Carter)는 16일(현지시각) 자신의 페이스북에 미국 뉴욕 지하철에서 겪은 황당한 일을 영상으로 찍어올렸다.
## <디에나 G 카터:PER>(<Deanna G Carter:PER>)는 <16일:DAT>(현지시각) 자신의 <페이스북:POH>에 <미국:LOC> <뉴욕:LOC> 지하철에서 겪은 황당한 일을 영상으로 찍어올렸다.
디	디	NNG	B-PER
에	에	JKB	I-PER
나	나	JX	I-PER
_	_	_	I-PER
G	G	SL	I-PER
_	_	_	I-PER
카터	카터	NNP	I-PER
(	(	SS	O
Deanna	Deanna	SL	B-PER
_	_	_	I-PER
G	G	SL	I-PER
_	_	_	I-PER
Carter	Carter	SL	I-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시각	시각	NNG	O
)	)	SS	O
_	_	_	O
자신	자신	NNG	O
