## 1
## 박근혜 전 대통령의 파면·구속으로 우익세력이 결집하려는 움직임을 보이는 시점과 무관하지 않다고 보는 것이다.
## <박근혜:PER> 전 대통령의 파면·구속으로 우익세력이 결집하려는 움직임을 보이는 시점과 무관하지 않다고 보는 것이다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
파면	파면	NNG	O
·	·	SP	O
구속	구속	NNG	O
으로	으로	JKB	O
_	_	_	O
우익	우익	NNG	O
세력	세력	NNG	O
이	이	JKS	O
_	_	_	O
결집하	결집하	VV	O
려는	려는	ETM	O
_	_	_	O
움직임	움직임	NNG	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
시점	시점	NNG	O
과	과	JKB	O
_	_	_	O
무관하	무관하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다고	다고	EC	O
_	_	_	O
보	보	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 피고는 원고들을 1년 이내에 데뷔시키겠다고 구두로 약정한 이후에도 이를 지키지 아니하였습니다.
## 피고는 원고들을 <1년:DAT> 이내에 데뷔시키겠다고 구두로 약정한 이후에도 이를 지키지 아니하였습니다.
피고	피고	NNG	O
는	는	JX	O
_	_	_	O
원고	원고	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
1	1	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이내	이내	NNG	O
에	에	JKB	O
_	_	_	O
데뷔	데뷔	NNG	O
시키	시키	XSV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
구두	구두	NNG	O
로	로	JKB	O
_	_	_	O
약정한	약정하+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
지키	지키	VV	O
지	지	EC	O
_	_	_	O
아니하	아니하	VX	O
였	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 3
## 올해 데뷔 20년을 맞은 감독의 세계는 ‘바닷마을…’로 쉼표를 찍은 뒤 좀더 넓어질 모양이다.
## 올해 데뷔 <20년:NOH>을 맞은 감독의 세계는 ‘바닷마을…’로 쉼표를 찍은 뒤 좀더 넓어질 모양이다.
올해	올해	NNG	O
_	_	_	O
데뷔	데뷔	NNG	O
_	_	_	O
20	20	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
은	은	ETM	O
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
세계	세계	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
