## 1
## 임종인 대통령안보특보가 “한국은 북한의 사이버 공격에 단 한 번도 조치를 못할 만큼 대응에 실패했다”고 실토했다.
## <임종인:PER> 대통령안보특보가 “<한국:ORG>은 <북한:ORG>의 사이버 공격에 단 <한 번:NOH>도 조치를 못할 만큼 대응에 실패했다”고 실토했다.
임종인	임종인	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
안보	안보	NNG	O
특보	특보	NNG	O
가	가	JKS	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사이버	사이버	NNG	O
_	_	_	O
공격	공격	NNG	O
에	에	JKB	O
_	_	_	O
단	단	MM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
도	도	JX	O
_	_	_	O
조치	조치	NNG	O
를	를	JKO	O
_	_	_	O
못할	못하+ㄹ	VV+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
대응	대응	NNG	O
에	에	JKB	O
_	_	_	O
실패	실패하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
실토	실토하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 14일 로또플레이에 따르면 로또 632회 2등 당첨자는 평범한 30대 직장인 여성 박 모씨다.
## <14일:DAT> <로또플레이:POH>에 따르면 <로또:POH> <632회:NOH> <2등:NOH> 당첨자는 평범한 <30대:NOH> 직장인 여성 <박 모:PER>씨다.
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
로또	로또	NNG	B-POH
플레이	플레이	NNG	I-POH
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
로또	로또	NNG	B-POH
_	_	_	O
632	632	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
2	2	SN	B-NOH
등	등	NNB	I-NOH
_	_	_	O
