## 1
## 그는 하루 7000~1만 칼로리를 섭취할 예정. 또한 체중 감소를 피하기 위해 올리브 오일도 함께 실었다.
## 그는 하루 <7000:NOH>~<1만 칼로리:NOH>를 섭취할 예정. 또한 체중 감소를 피하기 위해 올리브 오일도 함께 실었다.
그	그	NP	O
는	는	JX	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
7000	7000	SN	B-NOH
~	~	SO	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
칼로리	칼로리	NNG	I-NOH
를	를	JKO	O
_	_	_	O
섭취할	섭취하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
.	.	SF	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
체중	체중	NNG	O
_	_	_	O
감소	감소	NNG	O
를	를	JKO	O
_	_	_	O
피하	피하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
올리브	올리브	NNG	O
_	_	_	O
오일도	오일도	NNP	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
실	싣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 학교 선거를 통해 유권자들의 깨어 있는 의식을 강조한 용인외고 학생들이 최우수상을, 대통령 선거일의 여러 풍경을 뮤지컬로 표현한 서울방송고 학생들은 우수상을 받았다.
## 학교 선거를 통해 유권자들의 깨어 있는 의식을 강조한 <용인외고:ORG> 학생들이 최우수상을, 대통령 선거일의 여러 풍경을 뮤지컬로 표현한 <서울방송고:ORG> 학생들은 우수상을 받았다.
학교	학교	NNG	O
_	_	_	O
선거	선거	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
유권자	유권자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
깨	깨	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
의식	의식	NNG	O
을	을	JKO	O
_	_	_	O
강조한	강조하+ㄴ	VV+ETM	O
_	_	_	O
용인	용인	NNP	B-ORG
외고	외고	NNG	I-ORG
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
최우수	최우수	NNG	O
상	상	NNG	O
을	을	JKO	O
,	,	SP	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
선거일	선거일	NNG	O
의	의	JKG	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
풍경	풍경	NNG	O
을	을	JKO	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
로	로	JKB	O
_	_	_	O
표현한	표현하+ㄴ	VV+ETM	O
_	_	_	O
서울방송	서울방송	NNP	B-ORG
고	고	JKQ	I-ORG
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
우수	우수	NNG	O
상	상	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 씨는 폭력조직 부천신촌파 소속 성 씨 등과 성인 PC방 형태로 차려진 전국 매장 7곳에 게임을 공급했다.
## <이:PER> 씨는 폭력조직 <부천신촌파:ORG> 소속 <성:PER> 씨 등과 성인 PC방 형태로 차려진 전국 매장 <7곳:NOH>에 게임을 공급했다.
이	이	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
폭력	폭력	NNG	O
조직	조직	NNG	O
_	_	_	O
