## 1
## 한편 6.17일 06시 현재, 격리 중인 사람은 총 6,508명으로 전날보다 922명(17%) 늘었고, 격리가 해제된 사람은 총 3,951명으로 전일대비 446명(13%) 증가했다.
## 한편 <6.17일:DAT> <06시:TIM> 현재, 격리 중인 사람은 총 <6,508명:NOH>으로 전날보다 <922명:NOH>(<17%:PNT>) 늘었고, 격리가 해제된 사람은 총 <3,951명:NOH>으로 전일대비 <446명:NOH>(<13%:PNT>) 증가했다.
한편	한편	MAG	O
_	_	_	O
6.17	6.17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
06	06	SN	B-TIM
시	시	NNB	I-TIM
_	_	_	O
현재	현재	MAG	O
,	,	SP	O
_	_	_	O
격리	격리	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
총	총	NNG	O
_	_	_	O
6,508	6,508	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
922	922	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
17	17	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
격리	격리	NNG	O
가	가	JKS	O
_	_	_	O
해제된	해제되+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
총	총	NNG	O
_	_	_	O
3,951	3,951	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전일	전일	NNG	O
대비	대비	NNG	O
_	_	_	O
446	446	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
13	13	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 전체 격리자(6,508명) 중 자가 격리자는 5,910명으로 전날에 비해 672명(13%) 늘었으며, 병원 격리자는 전날보다 250명(72%) 늘어난 598명으로 집계됐다.
## 전체 격리자(<6,508명:NOH>) 중 자가 격리자는 <5,910명:NOH>으로 전날에 비해 <672명:NOH>(<13%:PNT>) 늘었으며, 병원 격리자는 전날보다 <250명:NOH>(<72%:PNT>) 늘어난 <598명:NOH>으로 집계됐다.
전체	전체	NNG	O
_	_	_	O
