## 1
## 인플레를 우려해 한국은행이 돈줄을 조이기 때문이라는 것이다.
## 인플레를 우려해 <한국은행:ORG>이 돈줄을 조이기 때문이라는 것이다.
인플레	인플레	NNG	O
를	를	JKO	O
_	_	_	O
우려해	우려하+여	VV+EC	O
_	_	_	O
한국은행	한국은행	NNP	B-ORG
이	이	JKS	O
_	_	_	O
돈줄	돈줄	NNG	O
을	을	JKO	O
_	_	_	O
조이	조이	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히 수록곡 ‘뱅뱅뱅’은 지드래곤과 탑, 테디가 작사 작곡에 참여한 곡으로 알려져 뜨거운 관심을 받고 있다.
## 특히 수록곡 ‘<뱅뱅뱅:POH>’은 <지드래곤:PER>과 <탑:PER>, <테디:PER>가 작사 작곡에 참여한 곡으로 알려져 뜨거운 관심을 받고 있다.
특히	특히	MAG	O
_	_	_	O
수록	수록	NNG	O
곡	곡	XSN	O
_	_	_	O
‘	‘	SS	O
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
과	과	JC	O
_	_	_	O
탑	탑	NNG	B-PER
,	,	SP	O
_	_	_	O
테디	테디	NNP	B-PER
가	가	JKS	O
_	_	_	O
작사	작사	NNG	O
_	_	_	O
작곡	작곡	NNG	O
에	에	JKB	O
_	_	_	O
참여한	참여하+ㄴ	VV+ETM	O
_	_	_	O
곡	곡	NNG	O
으로	으로	JKB	O
_	_	_	O
알려져	알려지+어	VV+EC	O
_	_	_	O
뜨거	뜨겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## ‘뱅뱅뱅 빅뱅 지드래곤’ 소식을 접한 네티즌들은 “뱅뱅뱅 빅뱅 지드래곤, 노래 너무 좋다”,
## ‘<뱅뱅뱅:POH> <빅뱅:ORG> <지드래곤:PER>’ 소식을 접한 네티즌들은 “<뱅뱅뱅:POH> <빅뱅:ORG> <지드래곤:PER>, 노래 너무 좋다”,
‘	‘	SS	O
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
_	_	_	O
빅뱅	빅뱅	NNG	B-ORG
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
_	_	_	O
빅뱅	빅뱅	NNG	B-ORG
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
,	,	SP	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
좋	좋	VA	O
다	다	EF	O
”	”	SS	O
,	,	SP	O

## 4
## 생활 속으로 들어온 신재생에너지보행로·정류장·공원에 미니 태양광 발전소9월 입주 대치청실 아파트에 전기차 충전기이용 뜸한 전화박스는 스마트폰 충전소로이은화(38·서울 송파구)씨는 며칠 전 송파구청 앞에 설치된 태양광 휴대전화 무료 충전소 덕분에 위기를 넘겼다.
## 생활 속으로 들어온 신재생에너지보행로·정류장·공원에 미니 태양광 발전소<9월:DAT> 입주 대치청실 아파트에 전기차 충전기이용 뜸한 전화박스는 스마트폰 충전소로<이은화:PER>(<38:NOH>·<서울 송파구:LOC>)씨는 며칠 전 <송파구청:LOC> 앞에 설치된 태양광 휴대전화 무료 충전소 덕분에 위기를 넘겼다.
생활	생활	NNG	O
_	_	_	O
속	속	NNG	O
으로	으로	JKB	O
_	_	_	O
들어온	들어오+ㄴ	VV+ETM	O
_	_	_	O
신	신	XPN	O
재생에너지	재생에너지	NNG	O
보행로	보행로	NNG	O
·	·	SP	O
정류장	정류장	NNG	O
·	·	SP	O
공원	공원	NNG	O
에	에	JKB	O
_	_	_	O
미니	미니	NNG	O
_	_	_	O
태양광	태양광	NNG	O
