## 1
## 송일국은 가수 김장훈, 록밴드 피아(옥요한, 헐랭), 한국체대 학생 40명과 함께 2박 3일 동안 릴레이로 경북 울진군 죽변항과 독도 사이 직선거리 220km를 수영했다.
## <송일국:PER>은 가수 <김장훈:PER>, 록밴드 <피아:ORG>(<옥요한:PER>, <헐랭:PER>), <한국체대:ORG> 학생 <40명:NOH>과 함께 <2박:NOH> <3일:NOH> 동안 릴레이로 <경북:LOC> <울진군:LOC> <죽변항:LOC>과 <독도:LOC> 사이 직선거리 <220km:NOH>를 <수영:PER>했다.
송일국	송일국	NNP	B-PER
은	은	JX	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
김장훈	김장훈	NNP	B-PER
,	,	SP	O
_	_	_	O
록	록	NNG	O
밴드	밴드	NNG	O
_	_	_	O
피아	피아	NNG	B-ORG
(	(	SS	O
옥요한	옥요하+ㄴ	VA+ETM	B-PER
,	,	SP	O
_	_	_	O
헐랭	헐랭	NNG	B-PER
)	)	SS	O
,	,	SP	O
_	_	_	O
한국체대	한국체대	NNP	B-ORG
_	_	_	O
학생	학생	NNG	O
_	_	_	O
40	40	SN	B-NOH
명	명	NNB	I-NOH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
2	2	SN	B-NOH
박	박	NNB	I-NOH
_	_	_	O
3	3	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
릴레이	릴레이	NNG	O
로	로	JKB	O
_	_	_	O
경북	경북	NNP	B-LOC
_	_	_	O
울진군	울진군	NNP	B-LOC
_	_	_	O
죽변	죽변	NNP	B-LOC
항	항	NNG	I-LOC
과	과	JC	O
_	_	_	O
독도	독도	NNP	B-LOC
_	_	_	O
사이	사이	NNG	O
_	_	_	O
직선거리	직선거리	NNG	O
_	_	_	O
220	220	SN	B-NOH
km	km	SL	I-NOH
를	를	JKO	O
_	_	_	O
수영	수영하	VV	B-PER
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그런데 4개월이 지나가고 있지만 매각 협상은 교착상태에 빠져있다.
## 그런데 <4개월:NOH>이 지나가고 있지만 매각 협상은 교착상태에 빠져있다.
그런데	그런데	MAJ	O
_	_	_	O
4	4	SN	B-NOH
개월	개월	NNB	I-NOH
이	이	JKS	O
_	_	_	O
지나가	지나가	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
지만	지만	EC	O
_	_	_	O
매각	매각	NNG	O
_	_	_	O
협상	협상	NNG	O
은	은	JX	O
_	_	_	O
교착	교착	NNG	O
상태	상태	NNG	O
에	에	JKB	O
_	_	_	O
빠져	빠지+어	VV+EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 구속이 140km대 중후반까지 나오고 있고, 어느 해보다 뛰어난 구위가 돋보인다.
