## 1
## 따라서 우리측 경험자들은 『평양에 가기전에 북한이 잘 사용하는 선전전술에 대한 사전 대비를 철저히 하지 않으면 평양에 가서 아주 당혹스런 상황에 직면할 가능성이 높다』고 충고했다.
## 따라서 우리측 경험자들은 『<평양:LOC>에 가기전에 <북한:ORG>이 잘 사용하는 선전전술에 대한 사전 대비를 철저히 하지 않으면 <평양:LOC>에 가서 아주 당혹스런 상황에 직면할 가능성이 높다』고 충고했다.
따라서	따라서	MAJ	O
_	_	_	O
우리	우리	NP	O
측	측	NNB	O
_	_	_	O
경험자	경험자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
『	『	SS	O
평양	평양	NNP	B-LOC
에	에	JKB	O
_	_	_	O
가	가	VV	O
기	기	ETN	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
사용하	사용하	VV	O
는	는	ETM	O
_	_	_	O
선전	선전	NNG	O
전술	전술	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
사전	사전	NNG	O
_	_	_	O
대비	대비	NNG	O
를	를	JKO	O
_	_	_	O
철저히	철저히	MAG	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으면	으면	EC	O
_	_	_	O
평양	평양	NNP	B-LOC
에	에	JKB	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
아주	아주	MAG	O
_	_	_	O
당혹	당혹	NNG	O
스런	스럽+ㄴ	XSA+ETM	O
_	_	_	O
상황	상황	NNG	O
에	에	JKB	O
_	_	_	O
직면할	직면하+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
충고	충고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
