## 1
## 이화여대 측은 “여성 교육의 지평 확대”라고 주장하는 반면 학생 측은 “학위 장사”라며 반발하고 있다.
## <이화여대:ORG> 측은 “여성 교육의 지평 확대”라고 주장하는 반면 학생 측은 “학위 장사”라며 반발하고 있다.
이화여대	이화여대	NNP	B-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
여성	여성	NNG	O
_	_	_	O
교육	교육	NNG	O
의	의	JKG	O
_	_	_	O
지평	지평	NNG	O
_	_	_	O
확대	확대	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
주장하	주장하	VV	O
는	는	ETM	O
_	_	_	O
반면	반면	NNG	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
학위	학위	NNG	O
_	_	_	O
장사	장사	NNP	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
반발하	반발하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 또 해결이 가장 시급한 지역문제를 묻는 질문에서도 「교통체증 완화」 35.2%, 「지하철­버스 등의 교통편의 확대」 10.3% 등 응답자의 45.5%가 교통문제를 꼽았다.
## 또 해결이 가장 시급한 지역문제를 묻는 질문에서도 「교통체증 완화」 <35.2%:PNT>, 「지하철­버스 등의 교통편의 확대」 <10.3%:PNT> 등 응답자의 <45.5%:PNT>가 교통문제를 꼽았다.
또	또	MAG	O
_	_	_	O
해결	해결	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
시급한	시급하+ㄴ	VA+ETM	O
_	_	_	O
지역	지역	NNG	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
질문	질문	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
「	「	SS	O
교통	교통	NNG	O
체증	체증	NNG	O
_	_	_	O
완화	완화	NNG	O
」	」	SS	O
_	_	_	O
35.2	35.2	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
「	「	SS	O
지하철	지하철	NNG	O
­	­	SS	O
버스	버스	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
교통	교통	NNG	O
편의	편의	NNG	O
_	_	_	O
확대	확대	NNG	O
」	」	SS	O
_	_	_	O
10.3	10.3	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
등	등	NNB	O
_	_	_	O
응답자	응답자	NNG	O
의	의	JKG	O
_	_	_	O
45.5	45.5	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
교통	교통	NNG	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
꼽	꼽	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한국무역협회와 관세청에 따르면 2013년 628억2000만 달러였던 한국의 대(對) 중국 무역수지 흑자는 2015년 468억7000만 달러로 감소했다.
## <한국무역협회:ORG>와 <관세청:ORG>에 따르면 <2013년:DAT> <628억2000만 달러:MNY>였던 <한국:ORG>의 대(對) <중국:ORG> 무역수지 흑자는 <2015년:DAT> <468억7000만 달러:MNY>로 감소했다.
한국무역협회	한국무역협회	NNP	B-ORG
와	와	JC	O
_	_	_	O
관세청	관세청	NNG	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
628	628	SN	B-MNY
억	억	NR	I-MNY
2000	2000	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러+이	NNB+VCP	I-MNY
였	었	EP	O
던	던	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대	대	NNB	O
(	(	SS	O
對	對	SH	O
)	)	SS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
무역	무역	NNG	O
수지	수지	NNG	O
_	_	_	O
흑자	흑자	NNG	O
는	는	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
468	468	SN	B-MNY
억	억	NR	I-MNY
7000	7000	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
로	로	JKB	O
_	_	_	O
감소	감소하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 올림픽 출전권 레이스2016년 최대 관심사는 8월 열리는 리우데자네이루올림픽이다.
## <올림픽:POH> 출전권 레이스<2016년:DAT> 최대 관심사는 <8월:DAT> 열리는 <리우데자네이루올림픽:POH>이다.
올림픽	올림픽	NNG	B-POH
_	_	_	O
출전권	출전권	NNG	O
_	_	_	O
레이스	레이스	NNG	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
최대	최대	NNG	O
_	_	_	O
관심사	관심사	NNG	O
는	는	JX	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
리우데자네이루	리우데자네이루	NNP	B-POH
올림픽	올림픽	NNG	I-POH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 전날 ‘야권의 불모지’인 대구에서의 첫 유세 컨셉이 중도확장이었다면 이날 유세에서는 텃밭 다지기와 통합에 집중했다.
## 전날 ‘야권의 불모지’인 <대구:LOC>에서의 첫 유세 컨셉이 중도확장이었다면 이날 유세에서는 텃밭 다지기와 통합에 집중했다.
전날	전날	NNG	O
_	_	_	O
‘	‘	SS	O
야권	야권	NNG	O
의	의	JKG	O
_	_	_	O
불모지	불모지	NNG	O
’	’	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
유세	유세	NNG	O
_	_	_	O
컨셉	컨셉	NNG	O
이	이	JKS	O
_	_	_	O
중도	중도	NNG	O
확장	확장	NNG	O
이	이	VCP	O
었	었	EP	O
다면	다면	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
유세	유세	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
