## 1
## 특히 지난 방송에 출연했던 조카 ‘유메’와 판박이로 시선을 집중시켰다.
## 특히 지난 방송에 출연했던 조카 ‘<유메:PER>’와 판박이로 시선을 집중시켰다.
특히	특히	MAG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
방송	방송	NNG	O
에	에	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
조카	조카	NNG	O
_	_	_	O
‘	‘	SS	O
유메	유메	NNP	B-PER
’	’	SS	O
와	와	JKB	O
_	_	_	O
판박이	판박이	NNG	O
로	로	JKB	O
_	_	_	O
시선	시선	NNG	O
을	을	JKO	O
_	_	_	O
집중	집중	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 야노시호는 유치원 졸업 사진을 보자마자 “아! 이럴 때가 있었지”라며 쑥스러워하는 동시에 “키 크지? 이때부터 제일 뒷줄에 섰어!”라며 특유의 해맑은 당당함으로 기럭지를 자랑해 웃음을 자아냈다.
## <야노시호:PER>는 유치원 졸업 사진을 보자마자 “아! 이럴 때가 있었지”라며 쑥스러워하는 동시에 “키 크지? 이때부터 제일 뒷줄에 섰어!”라며 특유의 해맑은 당당함으로 기럭지를 자랑해 웃음을 자아냈다.
야노	야노	NNP	B-PER
시호	시호	NNG	I-PER
는	는	JX	O
_	_	_	O
유치원	유치원	NNG	O
_	_	_	O
졸업	졸업	NNG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
자마자	자마자	EC	O
_	_	_	O
“	“	SS	O
아	아	IC	O
!	!	SF	O
_	_	_	O
이럴	이렇+ㄹ	VA+ETM	O
_	_	_	O
때	때	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
지	지	EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
쑥스러	쑥스럽	VA	O
워	어	EC	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
키	키	NNG	O
_	_	_	O
크	크	VA	O
지	지	EF	O
?	?	SF	O
_	_	_	O
이때	이때	NNG	O
부터	부터	JX	O
_	_	_	O
제일	제일	NNG	O
_	_	_	O
뒷줄	뒷줄	NNG	O
에	에	JKB	O
_	_	_	O
섰	서+었	VV+EP	O
어	어	EF	O
!	!	SF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
특유	특유	NNG	O
의	의	JKG	O
_	_	_	O
해맑	해맑	VA	O
은	은	ETM	O
_	_	_	O
당당함	당당하+ㅁ	VA+ETN	O
으로	으로	JKB	O
_	_	_	O
기럭지	기럭지	NNG	O
를	를	JKO	O
_	_	_	O
자랑해	자랑하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이에 추성훈은 “유메가 팔 다리도 길고, 시호랑 닮은 것 같아”라고 말하며 야노시호와 유메의 판박이 미모를 인정했다.
## 이에 <추성훈:PER>은 “<유메:PER>가 팔 다리도 길고, <시호:PER>랑 닮은 것 같아”라고 말하며 <야노시호:PER>와 <유메:PER>의 판박이 미모를 인정했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
추성훈	추성훈	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
유메	유메	NNP	B-PER
가	가	JKS	O
_	_	_	O
팔	팔	NNG	O
_	_	_	O
다리	다리	NNG	O
도	도	JX	O
_	_	_	O
길	길	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
시호	시호	NNG	B-PER
랑	랑	JKB	O
_	_	_	O
닮	닮	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
아	아	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말하	말하	VV	O
며	며	EC	O
_	_	_	O
야노	야노	NNP	B-PER
시	시	NNG	I-PER
호	호	NNB	I-PER
와	와	JC	O
_	_	_	O
유메	유메	NNP	B-PER
의	의	JKG	O
_	_	_	O
판박이	판박이	NNG	O
_	_	_	O
미모	미모	NNG	O
를	를	JKO	O
_	_	_	O
인정	인정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그런데 반복해 이 정원을 찾으면서 한 가지 궁금증이 생기기 시작했다.
## 그런데 반복해 이 정원을 찾으면서 <한 가지:NOH> 궁금증이 생기기 시작했다.
그런데	그런데	MAJ	O
_	_	_	O
반복해	반복하+여	VV+EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
정원	정원	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
으면서	으면서	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
_	_	_	O
궁금증	궁금증	NNG	O
이	이	JKS	O
_	_	_	O
생기	생기	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 아베의 방미 일정에 맞춰 미국 오바마 행정부에 협상 전권을 주는 신속처리권한 법안 논의가 가속도를 내고 있기 때문이다.
