## 1
## 그래서 인지 아니 에르노씨는 자신의 작품을 페미니즘문학이라고 자평했다.
## 그래서 인지 <아니 에르노:PER>씨는 자신의 작품을 페미니즘문학이라고 자평했다.
그래서	그래서	MAJ	O
_	_	_	O
인지	이+ㄴ지	VCP+EC	O
_	_	_	O
아니	아니	VCN	B-PER
_	_	_	I-PER
에르노	에르노	NNP	I-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
작품	작품	NNG	O
을	을	JKO	O
_	_	_	O
페미니즘	페미니즘	NNG	O
문학	문학	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
자평	자평하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 방송인 강용석의 불륜스캔들이 디스패치의 폭로로 또다시 논란이 되고 있다.
## 방송인 <강용석:PER>의 불륜스캔들이 <디스패치:POH>의 폭로로 또다시 논란이 되고 있다.
방송인	방송인	NNG	O
_	_	_	O
강용석	강용석	NNP	B-PER
의	의	JKG	O
_	_	_	O
불륜	불륜	NNG	O
스캔들	스캔들	NNG	O
이	이	JKS	O
_	_	_	O
디스	디스	NNG	B-POH
패치	패치	NNG	I-POH
의	의	JKG	O
_	_	_	O
폭로	폭로	NNG	O
로	로	JKB	O
_	_	_	O
또다시	또다시	MAG	O
_	_	_	O
논란	논란	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 강용석은 디스패치 보도에 대한 입장을 밝혔다.
## <강용석:PER>은 <디스패치:POH> 보도에 대한 입장을 밝혔다.
강용석	강용석	NNP	B-PER
은	은	JX	O
_	_	_	O
디스	디스	NNG	B-POH
패치	패치	NNG	I-POH
_	_	_	O
보도	보도	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 강용석 변호사가 소속된 법무법인 넥스트로는 18일 오후 보도자료를 통해 디스패치 보도 내용을 반박했다.
## <강용석:PER> 변호사가 소속된 법무법인 <넥스트로:ORG>는 <18일:DAT> 오후 보도자료를 통해 <디스패치:POH> 보도 내용을 반박했다.
강용석	강용석	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
가	가	JKS	O
_	_	_	O
소속된	소속되+ㄴ	VV+ETM	O
_	_	_	O
법무	법무	NNG	O
법인	법인	NNG	O
_	_	_	O
넥스트	넥스트	NNP	B-ORG
로	로	JKB	I-ORG
는	는	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	O
_	_	_	O
보도	보도	NNG	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
디스	디스	NNG	B-POH
패치	패치	NNG	I-POH
_	_	_	O
보도	보도	NNG	O
_	_	_	O
내용	내용	NNG	O
을	을	JKO	O
_	_	_	O
반박	반박하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 강용석 측은 “법정에 제출된 사진과 디스패치가 게재한 사진이 명백히 다르다.
## <강용석:PER> 측은 “법정에 제출된 사진과 <디스패치:POH>가 게재한 사진이 명백히 다르다.
강용석	강용석	NNP	B-PER
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
법정	법정	NNG	O
에	에	JKB	O
_	_	_	O
제출된	제출되+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
과	과	JC	O
_	_	_	O
디스	디스	NNG	B-POH
패치	패치	NNG	I-POH
가	가	JKS	O
_	_	_	O
게재한	게재하+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
이	이	JKS	O
_	_	_	O
명백히	명백히	MAG	O
_	_	_	O
다르	다르	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 심상철은 “운이 좋았다.
## <심상철:PER>은 “운이 좋았다.
심상철	심상철	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
운	운	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이시욱 한국개발연구원(KDI) 정책대학원 교수는 “한국 자동차 기업의 미국 직접 투자를 확대하고 미국 현지에서 조달하는 부품의 비율도 늘릴 필요가 있다”고 말했다.
## <이시욱:PER> <한국개발연구원(KDI) 정책대학원:ORG> 교수는 “<한국:ORG> 자동차 기업의 <미국:LOC> 직접 투자를 확대하고 <미국:LOC> 현지에서 조달하는 부품의 비율도 늘릴 필요가 있다”고 말했다.
이	이	MM	B-PER
시욱	시욱	NNG	I-PER
_	_	_	O
한국개발연구원	한국개발연구원	NNP	B-ORG
(	(	SS	I-ORG
KDI	KDI	SL	I-ORG
)	)	SS	I-ORG
_	_	_	I-ORG
정책	정책	NNG	I-ORG
대학원	대학원	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
기업	기업	NNG	O
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
직접	직접	MAG	O
_	_	_	O
투자	투자	NNG	O
를	를	JKO	O
_	_	_	O
확대하	확대하	VV	O
고	고	EC	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
현지	현지	NNG	O
에서	에서	JKB	O
_	_	_	O
조달하	조달하	VV	O
는	는	ETM	O
