## 1
## 이렇게 어물 생산과 이용이 늘면서 조선에는 동빙고와 서빙고 같은 국영 얼음저장소 외에도 개인이 설치한 사빙고가 크게 늘었다.
## 이렇게 어물 생산과 이용이 늘면서 <조선:ORG>에는 <동빙고:LOC>와 <서빙고:LOC> 같은 국영 얼음저장소 외에도 개인이 설치한 사빙고가 크게 늘었다.
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
어물	어물	NNG	O
_	_	_	O
생산	생산	NNG	O
과	과	JC	O
_	_	_	O
이용	이용	NNG	O
이	이	JKS	O
_	_	_	O
늘	늘	VV	O
면서	면서	EC	O
_	_	_	O
조선	조선	NNP	B-ORG
에	에	JKB	O
는	는	JX	O
_	_	_	O
동빙고	동빙고	NNP	B-LOC
와	와	JC	O
_	_	_	O
서빙고	서빙고	NNP	B-LOC
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
국영	국영	NNG	O
_	_	_	O
얼음	얼음	NNG	O
저장소	저장소	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
개인	개인	NNG	O
이	이	JKS	O
_	_	_	O
설치한	설치하+ㄴ	VV+ETM	O
_	_	_	O
사	사	NNG	O
빙고	빙고	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 헌재는 5일 다시 변론기일을 열기로 했으며, 2차 변론기일에도 대통령이 출석하지 않을 경우 헌재법 규정에 따라 대통령 없이 심리를 진행할 방침이다.
## 헌재는 <5일:DAT> 다시 변론기일을 열기로 했으며, <2차:NOH> 변론기일에도 대통령이 출석하지 않을 경우 헌재법 규정에 따라 대통령 없이 심리를 진행할 방침이다.
헌재	헌재	NNG	O
는	는	JX	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
다시	다시	MAG	O
_	_	_	O
변론	변론	NNG	O
기일	기일	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
변론	변론	NNG	O
기일	기일	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
출석하	출석하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
헌재	헌재	NNG	O
법	법	NNG	O
_	_	_	O
규정	규정	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
심리	심리	NNG	O
를	를	JKO	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 변호사는 앞서 헌재가 박 대통령의 ‘세월호 7시간 행적’에 대해 시간대별로 남김없이 밝히라고 요구한 것에 대해 “(2차 변론기일이 열리는) 5일 이전에 제출하기 위해 최대한 노력하고 있다”며 “마지막 기회라고 생각해 철저하게 준비 중”이라고 밝혔다.
