## 1
## 후반부 울트론에 맞선 초인 연합의 싸움도 근사하지만, 스칼릿 위치에게 세뇌당한 헐크와 ‘헐크 버스터’로 무장한 아이언맨과의 일대일 매치는 쫄깃하다.
## 후반부 <울트론:PER>에 맞선 초인 연합의 싸움도 근사하지만, <스칼릿 위치:PER>에게 세뇌당한 <헐크:PER>와 ‘<헐크 버스터:POH>’로 무장한 <아이언맨:PER>과의 일대일 매치는 쫄깃하다.
후반부	후반부	NNG	O
_	_	_	O
울	울	NNG	B-PER
트론	트론	NNP	I-PER
에	에	JKB	O
_	_	_	O
맞선	맞서+ㄴ	VV+ETM	O
_	_	_	O
초인	초인	NNG	O
_	_	_	O
연합	연합	NNG	O
의	의	JKG	O
_	_	_	O
싸움	싸움	NNG	O
도	도	JX	O
_	_	_	O
근사하	근사하	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
스칼릿	스칼릿	NNG	B-PER
_	_	_	I-PER
위치	위치	NNG	I-PER
에게	에게	JKB	O
_	_	_	O
세뇌당한	세뇌당하+ㄴ	VV+ETM	O
_	_	_	O
헐크	헐크	NNP	B-PER
와	와	JC	O
_	_	_	O
‘	‘	SS	O
헐크	헐크	NNP	B-POH
_	_	_	I-POH
버스터	버스터	NNP	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
무장한	무장하+ㄴ	VV+ETM	O
_	_	_	O
아이언맨	아이언맨	NNP	B-PER
과	과	JKB	O
의	의	JKG	O
_	_	_	O
일대일	일대일	NNG	O
_	_	_	O
매치	매치	NNG	O
는	는	JX	O
_	_	_	O
쫄깃하	쫄깃하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 김 교수는 “걷기 등의 유산소운동을 규칙적으로 하는 게 가장 좋은 예방법”이라고 조언했다.
## <김:PER> 교수는 “걷기 등의 유산소운동을 규칙적으로 하는 게 가장 좋은 예방법”이라고 조언했다.
김	김	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
걷기	걷기	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
유산소운동	유산소운동	NNG	O
을	을	JKO	O
_	_	_	O
규칙적	규칙적	NNG	O
으로	으로	JKB	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
예방법	예방법	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
조언	조언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 방송 말미에 한 시청자가 “위안부 문제 해결과 관련해 골포스트(목표)를 계속 움직이는 한국과 어떻게 협의할 것이냐”고 묻자 아베 총리는 “많은 일본인이 그런 생각을 갖고 있을 것 같다.
## 방송 말미에 한 시청자가 “<위안부:ORG> 문제 해결과 관련해 골포스트(목표)를 계속 움직이는 <한국:ORG>과 어떻게 협의할 것이냐”고 묻자 <아베:PER> 총리는 “많은 일본인이 그런 생각을 갖고 있을 것 같다.
방송	방송	NNG	O
_	_	_	O
말미	말미	NNG	O
에	에	JKB	O
_	_	_	O
한	한	MM	O
_	_	_	O
시청자	시청자	NNG	O
가	가	JKS	O
_	_	_	O
“	“	SS	O
위안부	위안부	NNG	B-ORG
_	_	_	O
문제	문제	NNG	O
_	_	_	O
해결	해결	NNG	O
과	과	JKB	O
