## 1
## 개인연금제 5월 시행/재무부 발표/은행­보험에 10년이상 불입
## 개인연금제 <5월:DAT> 시행/<재무부:ORG> 발표/은행­보험에 <10년:NOH>이상 불입
개인연금	개인연금	NNG	O
제	제	XPN	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
시행	시행	NNG	O
/	/	SP	O
재무부	재무부	NNG	B-ORG
_	_	_	O
발표	발표	NNG	O
/	/	SP	O
은행	은행	NNG	O
­	­	SS	O
보험	보험	NNG	O
에	에	JKB	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
이상	이상	NNG	O
_	_	_	O
불입	불입	NNG	O

## 2
## ▷스타급 선수들이 해외에 진출할 때마다 K리그를 걱정하는 목소리가 나온다.
## ▷스타급 선수들이 해외에 진출할 때마다 <K리그:ORG>를 걱정하는 목소리가 나온다.
▷	▷	SW	O
스타	스타	NNG	O
급	급	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
진출할	진출하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
를	를	JKO	O
_	_	_	O
걱정하	걱정하	VV	O
는	는	ETM	O
_	_	_	O
목소리	목소리	NNG	O
가	가	JKS	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 경찰청이 100일 동안 집중 단속한 결과랜덤채팅 앱을 통한 성매매 건수는 총 1972건, 검거된 사람은 8502명입니다.
## <경찰청:ORG>이 <100일:DUR> 동안 집중 단속한 결과랜덤채팅 앱을 통한 성매매 건수는 총 <1972건:NOH>, 검거된 사람은 <8502명:NOH>입니다.
경찰청	경찰청	NNG	B-ORG
이	이	JKS	O
_	_	_	O
100	100	SN	B-DUR
일	일	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
집중	집중	NNG	O
_	_	_	O
단속한	단속하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
랜덤	랜덤	NNG	O
채팅	채팅	NNG	O
_	_	_	O
앱	앱	NNG	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
성	성	NNG	O
매매	매매	NNG	O
_	_	_	O
건수	건수	NNG	O
는	는	JX	O
_	_	_	O
총	총	MM	O
_	_	_	O
1972	1972	SN	B-NOH
건	건	NNB	I-NOH
,	,	SP	O
_	_	_	O
검거된	검거되+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
8502	8502	SN	B-NOH
명	명	NNB	I-NOH
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 4
## #.한국청소년정책연구원이 지난해 1월 발표한＇스마트시대 대중매체를 통한 청소년의 성 상품화 대응 방안 연구＇에 따르면전국 중·고교생 4189명 중 14.2%(594명)가스마트폰에서 주로 이용하는 앱으로 ＇랜덤채팅＇을 꼽았습니다.
## #.<한국청소년정책연구원:ORG>이 지난해 <1월:DAT> 발표한＇스마트시대 대중매체를 통한 청소년의 성 상품화 대응 방안 연구＇에 따르면전국 중·고교생 <4189명:NOH> 중 <14.2%:PNT>(<594명:NOH>)가스마트폰에서 주로 이용하는 앱으로 ＇<랜덤채팅:POH>＇을 꼽았습니다.
#	#	SW	O
.	.	SF	O
한국	한국	NNP	B-ORG
청소년	청소년	NNG	I-ORG
정책	정책	NNG	I-ORG
