## 1
## 자글자글 눈가 주름1손가락으로 귀 윗부분 풀어주기엄지뼈로 귀 윗부분(측두근)을 30초 정도 위아래로 비빈다.
## 자글자글 눈가 주름<1:NOH>손가락으로 귀 윗부분 풀어주기엄지뼈로 귀 윗부분(측두근)을 <30초:DUR> 정도 위아래로 비빈다.
자글자글	자글자글	MAG	O
_	_	_	O
눈가	눈가	NNG	O
_	_	_	O
주름	주름	NNG	O
1	1	SN	B-NOH
손가락	손가락	NNG	O
으로	으로	JKB	O
_	_	_	O
귀	귀	NNG	O
_	_	_	O
윗부분	윗부분	NNG	O
_	_	_	O
풀	풀	VV	O
어	어	EC	O
주	주	VX	O
기	기	ETN	O
엄지	엄지	NNG	O
뼈	뼈	NNG	O
로	로	JKB	O
_	_	_	O
귀	귀	NNG	O
_	_	_	O
윗부분	윗부분	NNG	O
(	(	SS	O
측두근	측두근	NNG	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
30	30	SN	B-DUR
초	초	NNB	I-DUR
_	_	_	O
정도	정도	NNG	O
_	_	_	O
위아래	위아래	NNG	O
로	로	JKB	O
_	_	_	O
비빈다	비비+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 박일환 시인(56ㆍ교육문예창작회 회장)이 허다윤(당시 17세ㆍ단원고 2학년2반) 양을 위해 지은 시 ‘이제 그만 나오너라-2학년2반 허다윤’ 중 일부다.
## <박일환:PER> 시인(<56:NOH>ㆍ교육문예창작회 회장)이 <허다윤:PER>(당시 <17세:NOH>ㆍ<단원고:ORG> <2학년:NOH><2반:NOH>) 양을 위해 지은 시 ‘<이제 그만 나오너라-2학년2반 허다윤:POH>’ 중 일부다.
박일환	박일환	NNP	B-PER
_	_	_	O
시인	시인	NNG	O
(	(	SS	O
56	56	SN	B-NOH
ㆍ	ㆍ	SP	O
교육	교육	NNG	O
문예	문예	NNG	O
창작	창작	NNG	O
회	회	XSN	O
_	_	_	O
회장	회장	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
허	허	NNP	B-PER
다윤	다윤	NNP	I-PER
(	(	SS	O
당시	당시	NNG	O
_	_	_	O
17	17	SN	B-NOH
세	세	NNB	I-NOH
ㆍ	ㆍ	SP	O
단원고	단원고	NNP	B-ORG
_	_	_	O
2	2	SN	B-NOH
학년	학년	NNG	I-NOH
2	2	SN	B-NOH
반	반	NNG	I-NOH
)	)	SS	O
_	_	_	O
양	양	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
지	짓	VV	O
은	은	ETM	O
_	_	_	O
시	시	NNB	O
_	_	_	O
‘	‘	SS	O
이제	이제	MAG	B-POH
_	_	_	I-POH
그만	그만	MAG	I-POH
_	_	_	I-POH
나오	나오	VV	I-POH
너라	너라	EC	I-POH
-	-	SO	I-POH
2	2	SN	I-POH
학년	학년	NNG	I-POH
2	2	SN	I-POH
반	반	NNG	I-POH
_	_	_	I-POH
허	허	NNP	I-POH
다윤	다윤	NNP	I-POH
’	’	SS	O
_	_	_	O
중	중	NNB	O
_	_	_	O
일부	일부+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 10kGy는 진료용 X레이 선량의 2천배를 웃도는 방사선량.
## <10kGy:NOH>는 진료용 X레이 선량의 <2천배:PNT>를 웃도는 방사선량.
10	10	SN	B-NOH
kGy	kGy	SL	I-NOH
는	는	JX	O
_	_	_	O
진료	진료	NNG	O
용	용	XSN	O
_	_	_	O
X	X	SL	O
레이	레이	NNP	O
_	_	_	O
선량	선량	NNG	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-PNT
천	천	NR	I-PNT
배	배	NNG	I-PNT
를	를	JKO	O
_	_	_	O
웃도	웃돌	VV	O
는	는	ETM	O
_	_	_	O
방사선량	방사선량	NNG	O
.	.	SF	O

## 4
## 또 “여성 인턴이 윤 전 대변인의 호텔 방 문을 두드리는 상황에서 복도를 지나갔는데 곧바로 문이 닫히는 소리를 들었다”고 설명했다.
## 또 “여성 인턴이 <윤:PER> 전 대변인의 호텔 방 문을 두드리는 상황에서 복도를 지나갔는데 곧바로 문이 닫히는 소리를 들었다”고 설명했다.
또	또	MAG	O
_	_	_	O
“	“	SS	O
여성	여성	NNG	O
_	_	_	O
인턴	인턴	NNG	O
이	이	JKS	O
_	_	_	O
윤	윤	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대변인	대변인	NNG	O
의	의	JKG	O
_	_	_	O
호텔	호텔	NNG	O
_	_	_	O
방	방	NNG	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
두드리	두드리	VV	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
복도	복도	NNG	O
를	를	JKO	O
_	_	_	O
지나갔	지나가+았	VV+EP	O
는데	는데	EC	O
_	_	_	O
곧바로	곧바로	MAG	O
_	_	_	O
문	문	NNG	O
이	이	JKS	O
_	_	_	O
닫히	닫히	VV	O
는	는	ETM	O
_	_	_	O
소리	소리	NNG	O
를	를	JKO	O
_	_	_	O
들	듣	VV	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그가 이끄는 국악 퓨전 앙상블 ‘비빙’은 지난해 러시아 소치 겨울올림픽 국제아트페스티벌에 국립무용단과 함께 한국 대표로 특별 초청됐다.
## 그가 이끄는 국악 퓨전 앙상블 ‘<비빙:POH>’은 지난해 <러시아 소치 겨울올림픽 국제아트페스티벌:POH>에 <국립무용단:ORG>과 함께 <한국:ORG> 대표로 특별 초청됐다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
이끄	이끌	VV	O
는	는	ETM	O
_	_	_	O
국악	국악	NNG	O
_	_	_	O
퓨전	퓨전	NNG	O
_	_	_	O
앙상블	앙상블	NNG	O
_	_	_	O
‘	‘	SS	O
비빙	비빙	NNG	B-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
