## 1
## 영국 런던에서 발간되는 과학 학술지 네이처는 11일(현지시간) 미국 볼더 콜로라도대 쉬샹원 교수가 이끄는 다국적 연구팀의 논문을 게재했다.
## <영국:LOC> <런던:LOC>에서 발간되는 과학 학술지 <네이처:POH>는 <11일:DAT>(현지시간) <미국:ORG> <볼더 콜로라도대:ORG> <쉬샹원:PER> 교수가 이끄는 다국적 연구팀의 논문을 게재했다.
영국	영국	NNP	B-LOC
_	_	_	O
런던	런던	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
발간되	발간되	VV	O
는	는	ETM	O
_	_	_	O
과학	과학	NNG	O
_	_	_	O
학술지	학술지	NNG	O
_	_	_	O
네이처	네이처	NNP	B-POH
는	는	JX	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
볼더	볼더	NNP	B-ORG
_	_	_	I-ORG
콜로라도대	콜로라도대	NNP	I-ORG
_	_	_	O
쉬샹원	쉬샹원	NNG	B-PER
_	_	_	O
교수	교수	NNG	O
가	가	JKS	O
_	_	_	O
이끄	이끌	VV	O
는	는	ETM	O
_	_	_	O
다국적	다국적	NNG	O
_	_	_	O
연구	연구	NNG	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
논문	논문	NNG	O
을	을	JKO	O
_	_	_	O
게재	게재하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2005년 제일은행을 인수할 때부터 한국SC은행을 키우는 데 공을 들인 게 샌즈 전 회장이었기 때문이다.
## <2005년:DAT> <제일은행:ORG>을 인수할 때부터 <한국SC은행:ORG>을 키우는 데 공을 들인 게 <샌즈:PER> 전 회장이었기 때문이다.
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
제일은행	제일은행	NNP	B-ORG
을	을	JKO	O
_	_	_	O
인수할	인수하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
SC	SC	SL	I-ORG
은행	은행	NNG	I-ORG
을	을	JKO	O
_	_	_	O
키우	키우	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
공	공	NNG	O
을	을	JKO	O
_	_	_	O
들인	들이+ㄴ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
샌즈	샌즈	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
회장	회장	NNG	O
이	이	VCP	O
었	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 리그 순위는 2위(14승 8무 3패, 승점 50점, 골득실 28)를 지켰지만 헐 시티를 꺾은 아스널(15승 5무 5패, 승점 50점, 골득실 26)에 겨우 골득실에서 앞선 순위다.
## 리그 순위는 <2위:NOH>(<14승:NOH> <8무:NOH> <3패:NOH>, 승점 <50점:NOH>, 골득실 <28:NOH>)를 지켰지만 <헐 시티:ORG>를 꺾은 <아스널:ORG>(<15승:NOH> <5무:NOH> <5패:NOH>, 승점 <50점:NOH>, 골득실 <26:NOH>)에 겨우 골득실에서 앞선 순위다.
리그	리그	NNG	O
_	_	_	O
순위	순위	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
14	14	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
8	8	SN	B-NOH
무	무	NNG	I-NOH
_	_	_	O
3	3	SN	B-NOH
패	패	NNB	I-NOH
,	,	SP	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
50	50	SN	B-NOH
점	점	NNB	I-NOH
,	,	SP	O
_	_	_	O
골	골	NNG	O
득실	득실	NNG	O
_	_	_	O
28	28	SN	B-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
지	지키	VV	O
켰	었	EP	O
지만	지만	EC	O
_	_	_	O
헐	허+ㄹ	VV+ETM	B-ORG
_	_	_	I-ORG
시티	시티	NNG	I-ORG
를	를	JKO	O
_	_	_	O
꺾	꺾	VV	O
은	은	ETM	O
_	_	_	O
아스널	아스널	NNP	B-ORG
(	(	SS	O
15	15	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
5	5	SN	B-NOH
무	무	NNG	I-NOH
_	_	_	O
5	5	SN	B-NOH
패	패	NNB	I-NOH
,	,	SP	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
50	50	SN	B-NOH
점	점	NNB	I-NOH
,	,	SP	O
_	_	_	O
골	골	NNG	O
득실	득실	NNG	O
_	_	_	O
26	26	SN	B-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
겨우	겨우	MAG	O
_	_	_	O
골	골	NNG	O
득실	득실	NNG	O
에서	에서	JKB	O
_	_	_	O
앞선	앞서+ㄴ	VV+ETM	O
_	_	_	O
순위	순위+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 두 손을 모은 모습에서는 상대를 설득하려는 '의지'가 읽혔지만, 양손을 늘어뜨린 모습에서는 떨어진 자신감이 엿보이기까지 했다.
## 두 손을 모은 모습에서는 상대를 설득하려는 '의지'가 읽혔지만, <양:NOH>손을 늘어뜨린 모습에서는 떨어진 자신감이 엿보이기까지 했다.
두	두	MM	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
모은	모으+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
상대	상대	NNG	O
를	를	JKO	O
_	_	_	O
설득하	설득하	VV	O
려는	려는	ETM	O
_	_	_	O
'	'	SS	O
의지	의지	NNG	O
'	'	SS	O
가	가	JKS	O
_	_	_	O
읽	읽히	VV	O
혔	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
양손	양손	NNG	O
을	을	JKO	O
_	_	_	O
늘어뜨린	늘어뜨리+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
떨어진	떨어지+ㄴ	VV+ETM	O
_	_	_	O
자신감	자신감	NNG	O
이	이	JKS	O
_	_	_	O
엿보이	엿보이	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## [스마트 컨슈머]하나뿐인생명9988㈜ ‘강화약쑥’, 수족냉증 잡고 혈액순환 개선
## [스마트 컨슈머]<하나뿐인생명9988㈜:ORG> ‘강화약쑥’, 수족냉증 잡고 혈액순환 개선
[	[	SS	O
스마트	스마트	NNG	O
_	_	_	O
컨슈머	컨슈머	NNG	O
]	]	SS	O
하나	하나	NR	B-ORG
뿐	뿐	NNB	I-ORG
인	인	NNG	I-ORG
생명	생명	NNG	I-ORG
9988	9988	SN	I-ORG
㈜	㈜	SW	I-ORG
_	_	_	O
‘	‘	SS	O
강화	강화	NNG	O
약쑥	약쑥	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
수족	수족	NNG	O
