## 1
## 호텔에서 해변까지 1일 3회 셔틀버스를 운행한다.
## 호텔에서 해변까지 <1일:DAT> <3회:NOH> 셔틀버스를 운행한다.
호텔	호텔	NNG	O
에서	에서	JKB	O
_	_	_	O
해변	해변	NNG	O
까지	까지	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
셔틀버스	셔틀버스	NNG	O
를	를	JKO	O
_	_	_	O
운행한다	운행하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 200만 원 이상의 터무니 없는 가격(일반 코어 i7은 약 35만~37만 원대)이지만 남들이 갖는 PC와는 전혀 다른 나만의 초고성능 PC를 소유하려는 사람들에게 꾸준히 선택 받고 있다.
## <200만 원:MNY> 이상의 터무니 없는 가격(일반 코어 <i7:POH>은 약 <35만:MNY>~<37만 원:MNY>대)이지만 남들이 갖는 PC와는 전혀 다른 나만의 초고성능 PC를 소유하려는 사람들에게 꾸준히 선택 받고 있다.
200	200	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
터무니	터무니	NNG	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
가격	가격	NNG	O
(	(	SS	O
일반	일반	NNG	O
_	_	_	O
코어	코어	NNG	O
_	_	_	O
i	i	SL	B-POH
7	7	SN	I-POH
은	은	JX	O
_	_	_	O
약	약	MM	O
_	_	_	O
35	35	SN	B-MNY
만	만	NR	I-MNY
~	~	SO	O
37	37	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
)	)	SS	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
남	남	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
갖	갖	VV	O
는	는	ETM	O
_	_	_	O
PC	PC	SL	O
와	와	JKB	O
는	는	JX	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
나	나	NP	O
만	만	JX	O
의	의	JKG	O
_	_	_	O
초	초	XPN	O
고성능	고성능	NNG	O
_	_	_	O
PC	PC	SL	O
를	를	JKO	O
_	_	_	O
소유하	소유하	VV	O
려는	려는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
선택	선택	NNG	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 6세대 코어 i7 익스트림은 코드명 브로드웰(Broadwell)-E다.
## <6세대:NOH> 코어 <i7:POH> 익스트림은 코드명 브로드웰(Broadwell)-E다.
6	6	SN	B-NOH
세대	세대	NNG	I-NOH
_	_	_	O
코어	코어	NNG	O
_	_	_	O
i	i	SL	B-POH
7	7	SN	I-POH
_	_	_	O
익스트림	익스트림	NNG	O
은	은	JX	O
_	_	_	O
코드	코드	NNG	O
명	명	NNG	O
_	_	_	O
브로드	브로드	NNG	O
웰	웰	NNG	O
(	(	SS	O
Broadwell	Broadwell	SL	O
)	)	SS	O
-	-	SO	O
E	E+이	SL+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 경기 성남시 주부 김모 씨(54)의 집 가전제품에는 ‘5’라는 숫자가 빠짐없이 붙어 있다.
## <경기:LOC> <성남시:LOC> 주부 <김모:PER> 씨(<54:NOH>)의 집 가전제품에는 ‘<5:NOH>’라는 숫자가 빠짐없이 붙어 있다.
경기	경기	NNP	B-LOC
_	_	_	O
성남시	성남시	NNP	B-LOC
_	_	_	O
주부	주부	NNG	O
_	_	_	O
김	김	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
54	54	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
집	집	NNG	O
_	_	_	O
가전제품	가전제품	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
5	5	SN	B-NOH
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
숫자	숫자	NNG	O
가	가	JKS	O
_	_	_	O
빠짐	빠지+ㅁ	VV+ETN	O
없이	없이	MAG	O
_	_	_	O
붙	붙	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 2012~2015년 학사경고를 받은 448명에게 장학금을 9억9316만 원이나 지급하기도 했다.
## <2012~2015년:DUR> 학사경고를 받은 <448명:NOH>에게 장학금을 <9억9316만 원:MNY>이나 지급하기도 했다.
2012	2012	SN	B-DUR
~	~	SO	I-DUR
2015	2015	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	O
학사	학사	NNG	O
경고	경고	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
448	448	SN	B-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
장학금	장학금	NNG	O
을	을	JKO	O
