## 1
## 전기안전 전문가인 스티브 커틀러는 “스마트폰이나 노트북 등의 전압은 높지 않은 편이지만 전원 플러그가 연결된 채로 물기가 닿으면 위험할 수 있다”고 경고했다.
## 전기안전 전문가인 <스티브 커틀러:PER>는 “스마트폰이나 노트북 등의 전압은 높지 않은 편이지만 전원 플러그가 연결된 채로 물기가 닿으면 위험할 수 있다”고 경고했다.
전기	전기	NNG	O
안전	안전	NNG	O
_	_	_	O
전문가	전문가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스티브	스티브	NNP	B-PER
_	_	_	I-PER
커틀러	커틀러	NNG	I-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
스마트	스마트	NNG	O
폰	폰	NNG	O
이나	이나	JC	O
_	_	_	O
노트북	노트북	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
전압	전압	NNG	O
은	은	JX	O
_	_	_	O
높	높	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
편	편	NNB	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
전원	전원	NNG	O
_	_	_	O
플러그	플러그	NNG	O
가	가	JKS	O
_	_	_	O
연결된	연결되+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
로	로	JKB	O
_	_	_	O
물기	물기	NNG	O
가	가	JKS	O
_	_	_	O
닿	닿	VV	O
으면	으면	EC	O
_	_	_	O
위험할	위험하+ㄹ	VA+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
경고	경고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편, 지난 2015년에도 24세의 러시아 여성이 욕실에서 충전 중 아이폰을 쓰다가 감전사했다는 보도가 있었고, 2013년에도 중국 남방항공 소속 20대 여성 승무원이 샤워를 마치고 나와 충전중인 아이폰으로 통화하다
## 한편, 지난 <2015년:DAT>에도 <24세:NOH>의 <러시아:LOC> 여성이 욕실에서 충전 중 <아이폰:POH>을 쓰다가 감전사했다는 보도가 있었고, <2013년:DAT>에도 <중국 남방항공:ORG> 소속 <20대:NOH> 여성 승무원이 샤워를 마치고 나와 충전중인 <아이폰:POH>으로 통화하다
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
24	24	SN	B-NOH
세	세	NNB	I-NOH
의	의	JKG	O
_	_	_	O
러시아	러시아	NNP	B-LOC
_	_	_	O
여성	여성	NNG	O
이	이	JKS	O
_	_	_	O
욕실	욕실	NNG	O
에서	에서	JKB	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
아이폰	아이폰	NNG	B-POH
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
다가	다가	EC	O
