## 1
## 클린턴 후보가 주도하는 판세를 뒤엎으려면 지지층 결집만이 해법이라고 판단한 듯했다.
## <클린턴:PER> 후보가 주도하는 판세를 뒤엎으려면 지지층 결집만이 해법이라고 판단한 듯했다.
클린턴	클린턴	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
주도하	주도하	VV	O
는	는	ETM	O
_	_	_	O
판세	판세	NNG	O
를	를	JKO	O
_	_	_	O
뒤엎	뒤엎	VV	O
으려면	으려면	EC	O
_	_	_	O
지지층	지지층	NNG	O
_	_	_	O
결집	결집	NNG	O
만	만	JX	O
이	이	JKS	O
_	_	_	O
해법	해법	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
판단한	판단하+ㄴ	VV+ETM	O
_	_	_	O
듯	듯하	VX	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## SPC그룹 이노베이션랩의 손병근 상무는 “최근 들어 간식 정도로 인식했던 식빵을 식사 대용으로 활용하는 소비자가 증가했고 이 때문에 건강까지 생각한 잡곡 식빵에 대한 관심이 증가하는 분위기”라고 설명했다.
## <SPC그룹 이노베이션랩:ORG>의 <손병근:PER> 상무는 “최근 들어 간식 정도로 인식했던 식빵을 식사 대용으로 활용하는 소비자가 증가했고 이 때문에 건강까지 생각한 잡곡 식빵에 대한 관심이 증가하는 분위기”라고 설명했다.
SPC	SPC	SL	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	I-ORG
이노베이션	이노베이션	NNG	I-ORG
랩	랩	NNG	I-ORG
의	의	JKG	O
_	_	_	O
손병근	손병근	NNP	B-PER
_	_	_	O
상무	상무	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
간식	간식	NNG	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
인식	인식하	VV	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
식빵	식빵	NNG	O
을	을	JKO	O
_	_	_	O
식사	식사	NNG	O
_	_	_	O
대용	대용	NNG	O
으로	으로	JKB	O
_	_	_	O
활용하	활용하	VV	O
는	는	ETM	O
_	_	_	O
소비자	소비자	NNG	O
가	가	JKS	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
건강	건강	NNG	O
까지	까지	JX	O
_	_	_	O
생각한	생각하+ㄴ	VV+ETM	O
_	_	_	O
잡곡	잡곡	NNG	O
_	_	_	O
식빵	식빵	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
증가하	증가하	VV	O
는	는	ETM	O
_	_	_	O
분위기	분위기	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## SK, 9년의 꿈이 이뤄진 순간SK는 31일 창단 15주년을 맞았다.
## <SK:ORG>, <9년:DAT>의 꿈이 이뤄진 순간<SK:ORG>는 <31일:DAT> 창단 <15주년:NOH>을 맞았다.
SK	SK	SL	B-ORG
,	,	SP	O
_	_	_	O
9	9	SN	B-DAT
년	년	NNB	I-DAT
의	의	JKG	O
_	_	_	O
꿈	꿈	NNG	O
이	이	JKS	O
_	_	_	O
이뤄진	이루어지+ㄴ	VV+ETM	O
_	_	_	O
순간	순간	NNG	O
SK	SK	SL	B-ORG
는	는	JX	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
창단	창단	NNG	O
_	_	_	O
15	15	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 지난해까지는 그 점을 감안해 등판 간격을 조절했다”며 “올해 박정진은 전혀 다르더라. 모두가 그의 한계라고 생각한 지점을 뛰어넘었다”고 설명했다.
## 지난해까지는 그 점을 감안해 등판 간격을 조절했다”며 “올해 <박정진:PER>은 전혀 다르더라. 모두가 그의 한계라고 생각한 지점을 뛰어넘었다”고 설명했다.
