## 1
## 경쟁사들이 중국산 차량을 사겠느냐며 흑색선전도 했다.
## 경쟁사들이 <중국:ORG>산 차량을 사겠느냐며 흑색선전도 했다.
경쟁사	경쟁사	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
중국	중국	NNP	B-ORG
산	산	XSN	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
사	사	VV	O
겠	겠	EP	O
느냐	느냐	EC	O
며	며	EC	O
_	_	_	O
흑색선전	흑색선전	NNG	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 상영 3주 만에 5만 명이 넘는 사람들이 봤고 여러 언론에서 ‘올해의 영화’로 꼽히기도 했다.
## 상영 <3주:DUR> 만에 <5만 명:NOH>이 넘는 사람들이 봤고 여러 언론에서 ‘올해의 영화’로 꼽히기도 했다.
상영	상영	NNG	O
_	_	_	O
3	3	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
5	5	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
봤	+았	+EP	O
고	고	EC	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
언론	언론	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
올해	올해	NNG	O
의	의	JKG	O
_	_	_	O
영화	영화	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
꼽히	꼽히	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 여름 한 철 시원하고 편하게 입었던 아웃도어 제품들과 ‘안녕’ 인사를 나눌 때가 됐다.
## 여름 <한 철:NOH> 시원하고 편하게 입었던 아웃도어 제품들과 ‘안녕’ 인사를 나눌 때가 됐다.
여름	여름	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
철	철	NNG	I-NOH
_	_	_	O
시원하	시원하	VA	O
고	고	EC	O
_	_	_	O
편하	편하	VA	O
게	게	EC	O
_	_	_	O
입	입	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
아웃도어	아웃도어	NNG	O
_	_	_	O
제품	제품	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
‘	‘	SS	O
안녕	안녕	IC	O
’	’	SS	O
_	_	_	O
인사	인사	NNG	O
를	를	JKO	O
_	_	_	O
나눌	나누+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

