## 1
## 숫자 암호 ‘9’ 찾아낸 수리를 가로막은 폴리페서이스터 대륙은 폴리페서가 지배하고 있었다.
## 숫자 암호 ‘<9:NOH>’ 찾아낸 <수리:PER>를 가로막은 <폴리페서이스터 대륙:LOC>은 <폴리페서:PER>가 지배하고 있었다.
숫자	숫자	NNG	O
_	_	_	O
암호	암호	NNG	O
_	_	_	O
‘	‘	SS	O
9	9	SN	B-NOH
’	’	SS	O
_	_	_	O
찾아낸	찾아내+ㄴ	VV+ETM	O
_	_	_	O
수리	수리	NNG	B-PER
를	를	JKO	O
_	_	_	O
가로막	가로막	VV	O
은	은	ETM	O
_	_	_	O
폴리페서	폴리페서	NNG	B-LOC
이스터	이스터	NNG	I-LOC
_	_	_	I-LOC
대륙	대륙	NNG	I-LOC
은	은	JX	O
_	_	_	O
폴리페서	폴리페서	NNG	B-PER
가	가	JKS	O
_	_	_	O
지배하	지배하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국은 당국이 돈을 푸는 확장적 거시정책을 쓰고 있다는 점이 감안돼 올해 성장률 전망치가 6.5%에서 6.6%로 올라갔다.
## <중국:ORG>은 당국이 돈을 푸는 확장적 거시정책을 쓰고 있다는 점이 감안돼 올해 성장률 전망치가 <6.5%:PNT>에서 <6.6%:PNT>로 올라갔다.
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
당국	당국	NNG	O
이	이	JKS	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
푸	풀	VV	O
는	는	ETM	O
_	_	_	O
확장	확장	NNG	O
적	적	XSN	O
_	_	_	O
거시	거시	NNG	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
감안돼	감안되+어	VV+EC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
성장률	성장률	NNG	O
_	_	_	O
전망	전망	NNG	O
치	치	XSN	O
가	가	JKS	O
_	_	_	O
6.5	6.5	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
6.6	6.6	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
올라갔	올라가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이기염 북경시장 방한
## <이기염:PER> 북경시장 방한
이기염	이기염	NNP	B-PER
_	_	_	O
북경	북경	NNP	O
시장	시장	NNG	O
_	_	_	O
방한	방한	NNG	O

## 4
## 문 전 대표는 ‘노동시간 단축’을 언급하면서는 “새로운 일자리 50만개를 창출하겠다”면서 “일자리를 창출하고 온 가족이 함께 할 수 있는 저녁과 휴일을 드리겠다”고 말했다.
## <문:PER> 전 대표는 ‘노동시간 단축’을 언급하면서는 “새로운 일자리 <50만개:NOH>를 창출하겠다”면서 “일자리를 창출하고 온 가족이 함께 할 수 있는 저녁과 휴일을 드리겠다”고 말했다.
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
노동	노동	NNG	O
시간	시간	NNG	O
_	_	_	O
단축	단축	NNG	O
’	’	SS	O
