## 1
## 그렇다면 여기서 승부 끝? 하지만 커제 9단에게도 노림수가 있었다.
## 그렇다면 여기서 승부 끝? 하지만 <커제:PER> <9단:NOH>에게도 노림수가 있었다.
그렇	그렇	VA	O
다면	다면	EC	O
_	_	_	O
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
승부	승부	NNG	O
_	_	_	O
끝	끝	NNG	O
?	?	SF	O
_	_	_	O
하지만	하지만	MAJ	O
_	_	_	O
커	커	NNP	B-PER
제	제	XPN	I-PER
_	_	_	O
9	9	SN	B-NOH
단	단	MAG	I-NOH
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
노림수	노림수	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 안방을 지키는 버스터 포지부터 폴 골드슈미트(1루수)~대니얼 머피(2루수)~브랜든 크로퍼드(유격수)~놀란 아레나도(3루수)로 이뤄진 내야진은 물샐 틈이 없다.
## 안방을 지키는 <버스터 포지:PER>부터 <폴 골드슈미트:PER>(<1루수:NOH>)~<대니얼 머피:PER>(<2루수:NOH>)~<브랜든 크로퍼드:PER>(유격수)~<놀란 아레나도:PER>(<3루수:NOH>)로 이뤄진 내야진은 물샐 틈이 없다.
안방	안방	NNG	O
을	을	JKO	O
_	_	_	O
지키	지키	VV	O
는	는	ETM	O
_	_	_	O
버스터	버스터	NNP	B-PER
_	_	_	I-PER
포지	포지	NNG	I-PER
부터	부터	JX	O
_	_	_	O
폴	폴	NNP	B-PER
_	_	_	I-PER
골드슈미트	골드슈미트	NNP	I-PER
(	(	SS	O
1	1	SN	B-NOH
루수	루수	NNG	I-NOH
)	)	SS	O
~	~	SO	O
대니얼	대니얼	NNP	B-PER
_	_	_	I-PER
머피	머피	NNP	I-PER
(	(	SS	O
2	2	SN	B-NOH
루수	루수	NNG	I-NOH
)	)	SS	O
~	~	SO	O
브랜든	브랜든	NNP	B-PER
_	_	_	I-PER
크로퍼드	크로퍼드	NNP	I-PER
(	(	SS	O
유격수	유격수	NNG	O
)	)	SS	O
~	~	SO	O
놀란	놀라+ㄴ	VV+ETM	B-PER
_	_	_	I-PER
아레나	아레나	NNG	I-PER
도	도	JX	I-PER
(	(	SS	O
3	3	SN	B-NOH
루수	루수	NNG	I-NOH
)	)	SS	O
로	로	JKB	O
_	_	_	O
이뤄진	이루어지+ㄴ	VV+ETM	O
_	_	_	O
내야	내야	NNG	O
진	진	XSN	O
은	은	JX	O
_	_	_	O
물	물	NNG	O
샐	새+ㄹ	VV+ETM	O
_	_	_	O
틈	틈	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 공사의 사회공헌은 ‘행복 성장’ ‘행복 나눔’ ‘행복 가꿈’이라는 3개 분야에서 16개 과제로 나뉘어 있다.
## 공사의 사회공헌은 ‘행복 성장’ ‘행복 나눔’ ‘행복 가꿈’이라는 <3개:NOH> 분야에서 <16개:NOH> 과제로 나뉘어 있다.
공사	공사	NNG	O
의	의	JKG	O
_	_	_	O
사회	사회	NNG	O
공헌	공헌	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
행복	행복	NNG	O
_	_	_	O
성장	성장	NNG	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
행복	행복	NNG	O
_	_	_	O
나눔	나누+ㅁ	VV+ETN	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
행복	행복	NNG	O
_	_	_	O
가꿈	가꾸+ㅁ	VV+ETN	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
분야	분야	NNG	O
에서	에서	JKB	O
_	_	_	O
16	16	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
과제	과제	NNG	O
로	로	JKB	O
_	_	_	O
나뉘	나뉘	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 자녀들에게 좋은 환경을 제공하기 위해 이주한 부모세대가 온갖 차별을 참아왔으나, 2·3세들은 결국 국민의 일원으로 대우받기는커녕 사회적 소수자로 무시당하는 현실에 분노하면서 테러의 유혹에 빠지고 있다는 것이다.
## 자녀들에게 좋은 환경을 제공하기 위해 이주한 부모세대가 온갖 차별을 참아왔으나, <2:NOH>·<3세:NOH>들은 결국 국민의 일원으로 대우받기는커녕 사회적 소수자로 무시당하는 현실에 분노하면서 테러의 유혹에 빠지고 있다는 것이다.
자녀	자녀	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
환경	환경	NNG	O
을	을	JKO	O
_	_	_	O
제공하	제공하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
이주한	이주하+ㄴ	VV+ETM	O
_	_	_	O
부모	부모	NNG	O
세대	세대	NNG	O
가	가	JKS	O
_	_	_	O
온갖	온갖	MM	O
_	_	_	O
차별	차별	NNG	O
을	을	JKO	O
_	_	_	O
참	참	VV	O
아	아+오	EC+VX	O
왔	았	EP	O
으나	으나	EC	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
·	·	SP	O
3	3	SN	B-NOH
세	세	NNB	I-NOH
들	들	XSN	O
은	은	JX	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
일원	일원	NNG	O
으로	으로	JKB	O
_	_	_	O
대우	대우	NNG	O
받	받	VV	O
기	기	ETN	O
는커녕	는커녕	JX	O
_	_	_	O
사회적	사회적	NNG	O
_	_	_	O
소수자	소수자	NNG	O
로	로	JKB	O
_	_	_	O
무시	무시	NNG	O
당하	당하	XSV	O
는	는	ETM	O
_	_	_	O
현실	현실	NNG	O
에	에	JKB	O
_	_	_	O
분노하	분노하	VV	O
면서	면서	EC	O
_	_	_	O
테러	테러	NNG	O
의	의	JKG	O
_	_	_	O
유혹	유혹	NNG	O
에	에	JKB	O
_	_	_	O
빠지	빠지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
