## 1
## 이주노 씨는 2013년 12월에서 2014년 1월 사이 2명에게 총 1억6500만 원을 빌리고 갚지 않은 것으로 드러났다.
## <이주노:PER> 씨는 <2013년 12월:DAT>에서 <2014년 1월:DAT> 사이 <2명:NOH>에게 총 <1억6500만 원:MNY>을 빌리고 갚지 않은 것으로 드러났다.
이주노	이주노	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
에서	에서	JKB	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
사이	사이	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
총	총	MM	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
6500	6500	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
빌리	빌리	VV	O
고	고	EC	O
_	_	_	O
갚	갚	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그는 돌잔치 전문업체를 차릴 계획이었으나 필요한 자금 10억 원 중 수중에 1억 원 밖에 없어 두 사람에게 돈을 빌렸다.
## 그는 돌잔치 전문업체를 차릴 계획이었으나 필요한 자금 <10억 원:MNY> 중 수중에 <1억 원:MNY> 밖에 없어 <두 사람:NOH>에게 돈을 빌렸다.
그	그	NP	O
는	는	JX	O
_	_	_	O
돌잔치	돌잔치	NNG	O
_	_	_	O
전문	전문	NNG	O
업체	업체	NNG	O
를	를	JKO	O
_	_	_	O
차릴	차리+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
었	었	EP	O
으나	으나	EC	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
자금	자금	NNG	O
_	_	_	O
10	10	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
중	중	NNB	O
_	_	_	O
수중	수중	NNG	O
에	에	JKB	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
밖	밖	NNG	O
에	에	JKB	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
에게	에게	JKB	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
빌	빌리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 실업 3개팀과 대학 5개팀이 출전해 모두 56번의 경기를 치르게 될 이번 리그에서 현재 선두는 한라 위니아. 그 뒤를 동원 드림스, 고려대, 연세대 등이 추격을 하고 있다.
## 실업 <3개팀:NOH>과 대학 <5개팀:NOH>이 출전해 모두 <56번:NOH>의 경기를 치르게 될 이번 리그에서 현재 선두는 <한라 위니아:ORG>. 그 뒤를 <동원 드림스:ORG>, <고려대:ORG>, <연세대:ORG> 등이 추격을 하고 있다.
실업	실업	NNG	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
팀	팀	NNG	I-NOH
과	과	JC	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
팀	팀	NNG	I-NOH
이	이	JKS	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
56	56	SN	B-NOH
번	번	NNB	I-NOH
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
치르	치르	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
리그	리그	NNG	O
에서	에서	JKB	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
선두	선두	NNG	O
는	는	JX	O
_	_	_	O
한라	한라	NNP	B-ORG
_	_	_	I-ORG
위니아	위니아	NNP	I-ORG
.	.	SF	O
_	_	_	O
그	그	MM	O
_	_	_	O
뒤	뒤	NNG	O
를	를	JKO	O
_	_	_	O
동원	동원	NNG	B-ORG
_	_	_	I-ORG
드림스	드림스	NNG	I-ORG
,	,	SP	O
_	_	_	O
고려대	고려대	NNP	B-ORG
,	,	SP	O
_	_	_	O
연세대	연세대	NNP	B-ORG
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
추격	추격	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 이어 맹기용은 “어머니는 카이스트 첫번째 여자 박사학위 취득자다.
## 이어 <맹기용:PER>은 “어머니는 <카이스트:ORG> 첫번째 여자 박사학위 취득자다.
이어	이어	MAG	O
_	_	_	O
