## 1
## 아울러 차기 정부의 한미 관계가 미국과 북한의 충돌 가능성에 중요한 역할을 할 것이란 분석이 나왔다.
## 아울러 차기 정부의 <한:ORG><미:ORG> 관계가 <미국:ORG>과 <북한:ORG>의 충돌 가능성에 중요한 역할을 할 것이란 분석이 나왔다.
아울러	아울러	MAG	O
_	_	_	O
차기	차기	NNG	O
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
한미	한미	NNP	B-ORG
_	_	_	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
충돌	충돌	NNG	O
_	_	_	O
가능성	가능성	NNG	O
에	에	JKB	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
분석	분석	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 민주당이 갈라서게 된다.
## <민주당:ORG>이 갈라서게 된다.
민주당	민주당	NNP	B-ORG
이	이	JKS	O
_	_	_	O
갈라서	갈라서	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 대우조선은 지난달 22일 팀장 이상 임원 90여 명이 직원들에게 ‘당면 위기 극복을 위한 임원 결의문’을 나눠주며 “후배들에게 자랑스러운 회사를 물려주기 위해 강력한 자구 노력에 앞장서며 회사 정상화에 모든 것을 걸고 일로 매진할 것을 결의한다”고 밝힌 바 있다.
## <대우조선:ORG>은 지난달 <22일:DAT> 팀장 이상 임원 <90여 명:NOH>이 직원들에게 ‘당면 위기 극복을 위한 임원 결의문’을 나눠주며 “후배들에게 자랑스러운 회사를 물려주기 위해 강력한 자구 노력에 앞장서며 회사 정상화에 모든 것을 걸고 일로 매진할 것을 결의한다”고 밝힌 바 있다.
대우조선	대우조선	NNP	B-ORG
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
팀장	팀장	NNG	O
_	_	_	O
