## 1
## 김우진 선수를 검색하면 김태우가 자동검색어로 따라올 정도다.
## <김우진:PER> 선수를 검색하면 <김태우:PER>가 자동검색어로 따라올 정도다.
김우진	김우진	NNP	B-PER
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
검색하	검색하	VV	O
면	면	EC	O
_	_	_	O
김태우	김태우	NNP	B-PER
가	가	JKS	O
_	_	_	O
자동	자동	NNG	O
검색어	검색어	NNG	O
로	로	JKB	O
_	_	_	O
따라올	따라오+ㄹ	VV+ETM	O
_	_	_	O
정도	정도+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 엔소닉 멤버들은 지난 7일, 8일 양일간 일본 콘서트를 마치고 9일 한국으로 귀국한 뒤 멤버 전원이 연락을 끊고 잠적했다.
## <엔소닉:ORG> 멤버들은 지난 <7일:DAT>, <8일:DAT> <양:NOH>일간 <일본:LOC> 콘서트를 마치고 <9일:DAT> <한국:LOC>으로 귀국한 뒤 멤버 전원이 연락을 끊고 잠적했다.
엔	엔	NNG	B-ORG
소닉	소닉	NNP	I-ORG
_	_	_	O
멤버	멤버	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
양일	양일	NNG	O
간	간	XSN	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
콘서트	콘서트	NNG	O
를	를	JKO	O
_	_	_	O
마치	마치	VV	O
고	고	EC	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
귀국한	귀국하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
전원	전원	NNG	O
이	이	JKS	O
_	_	_	O
연락	연락	NNG	O
을	을	JKO	O
_	_	_	O
끊	끊	VV	O
고	고	EC	O
_	_	_	O
잠적	잠적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 썰전 김구라, 강용석 언급…“처음 시작할 때 나오는 인형 중 하나가 빠졌다”
## <썰전:POH> <김구라:PER>, <강용석:PER> 언급…“처음 시작할 때 나오는 인형 중 <하나:NOH>가 빠졌다”
썰	썰	NNG	B-POH
전	전	NNP	I-POH
_	_	_	O
김구라	김구라	NNP	B-PER
,	,	SP	O
_	_	_	O
강용석	강용석	NNP	B-PER
_	_	_	O
언급	언급	NNG	O
…	…	SE	O
“	“	SS	O
처음	처음	NNG	O
_	_	_	O
시작할	시작하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
인형	인형	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
가	가	JKS	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O

## 4
## 김동준 정재은 열애설 나오자…소속사 “사실이 아니다”
## <김동준:PER> <정재은:PER> 열애설 나오자…소속사 “사실이 아니다”
김동준	김동준	NNP	B-PER
_	_	_	O
정재은	정재은	NNP	B-PER
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
_	_	_	O
나오	나오	VV	O
자	자	EC	O
…	…	SE	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
“	“	SS	O
사실	사실	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O

## 5
## 2번 중견수로 선발출장한 김강민은 2타수 무안타 1삼진 1볼넷을 기록했다.
## <2번:NOH> 중견수로 선발출장한 <김강민:PER>은 <2타수:NOH> 무안타 <1삼진:NOH> <1볼넷:NOH>을 기록했다.
2	2	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
중견수	중견수	NNG	O
로	로	JKB	O
_	_	_	O
선발	선발	NNG	O
출장	출장	NNG	O
한	한	NNP	O
_	_	_	O
김강민	김강민	NNP	B-PER
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
타수	타수	NNG	I-NOH
_	_	_	O
무안타	무안타	NNG	O
_	_	_	O
1	1	SN	B-NOH
삼진	삼진	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
볼넷	볼넷	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
