## 1
## 마트서 3만5000원 쌀, 4만2000원에 사라는 김밥집 본사
## 마트서 <3만5000원:MNY> 쌀, <4만2000원:MNY>에 사라는 김밥집 본사
마트	마트	NNG	O
서	서	JKB	O
_	_	_	O
3	3	SN	B-MNY
만	만	NR	I-MNY
5000	5000	SN	I-MNY
원	원	NNB	I-MNY
_	_	_	O
쌀	쌀	NNG	O
,	,	SP	O
_	_	_	O
4	4	SN	B-MNY
만	만	NR	I-MNY
2000	2000	SN	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
사	사	VV	O
라는	라는	ETM	O
_	_	_	O
김밥	김밥	NNG	O
집	집	NNG	O
_	_	_	O
본사	본사	NNG	O

## 2
## ‘마음의 소리’ 작가 조석, “아! 딸입니다”…
## ‘<마음의 소리:POH>’ 작가 <조석:PER>, “아! 딸입니다”…
‘	‘	SS	O
마음	마음	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
소리	소리	NNG	I-POH
’	’	SS	O
_	_	_	O
작가	작가	NNG	O
_	_	_	O
조석	조석	NNG	B-PER
,	,	SP	O
_	_	_	O
“	“	SS	O
아	아	IC	O
!	!	SF	O
_	_	_	O
딸	딸	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
”	”	SS	O
…	…	SE	O

## 3
## 이승환은 “그냥 ‘도와주세요’가 아니라 남을 돕고 함께 하는게 축제라고 생각한다”면서 “이 기쁘고 행복한 일에 동참하고 싶다고 만들게 콘텐츠를 개발하고 있다”고 향후 계획을 밝혔다.
## <이승환:PER>은 “그냥 ‘도와주세요’가 아니라 남을 돕고 함께 하는게 축제라고 생각한다”면서 “이 기쁘고 행복한 일에 동참하고 싶다고 만들게 콘텐츠를 개발하고 있다”고 향후 계획을 밝혔다.
이승환	이승환	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
그냥	그냥	MAG	O
_	_	_	O
‘	‘	SS	O
도와주	도와주	VV	O
세요	세요	EF	O
’	’	SS	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
남	남	NNG	O
을	을	JKO	O
_	_	_	O
돕	돕	VV	O
고	고	EC	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
게	것+이	NNB+JKS	O
_	_	_	O
축제	축제+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
생각한다	생각하+ㄴ다	VV+EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
이	이	MM	O
_	_	_	O
기쁘	기쁘	VA	O
고	고	EC	O
_	_	_	O
행복한	행복하+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
에	에	JKB	O
_	_	_	O
동참하	동참하	VV	O
고	고	EC	O
_	_	_	O
