## 1
## 싶을 정도로 설탕을…”‘집밥 백선생’백종원이 이번에는 비빔국수 레시피를 공개하며 미식가들의 관심을 집중시켰다.
## 싶을 정도로 설탕을…”‘<집밥 백선생:POH>’<백종원:PER>이 이번에는 비빔국수 레시피를 공개하며 미식가들의 관심을 집중시켰다.
싶	싶	VA	O
을	을	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
설탕	설탕	NNG	O
을	을	JKO	O
…	…	SE	O
”	”	SS	O
‘	‘	SS	O
집	집	NNG	B-POH
밥	밥	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
백종원	백종원	NNP	B-PER
이	이	JKS	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
비빔국수	비빔국수	NNG	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
미식가	미식가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
집중	집중	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 30일 방송된 tvN ‘집밥 백선생’에서는 백종원이 4명의 제자들에게 초간단 비빔국수 레시피를 전수했다.
## <30일:DAT> 방송된 <tvN:POH> ‘<집밥 백선생:POH>’에서는 <백종원:PER>이 <4명:NOH>의 제자들에게 초간단 비빔국수 레시피를 전수했다.
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
tvN	tvN	SL	B-POH
_	_	_	O
‘	‘	SS	O
집	집	NNG	B-POH
밥	밥	NNG	I-POH
_	_	_	I-POH
백	백	NNP	I-POH
선생	선생	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
백종원	백종원	NNP	B-PER
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
제자	제자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
초	초	NNB	O
간	간	XSN	O
단	단	MAG	O
_	_	_	O
비빔국수	비빔국수	NNG	O
_	_	_	O
레시피	레시피	NNG	O
를	를	JKO	O
_	_	_	O
전수	전수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이날 백종원은 비빔국수를 만들기 위해“집에 김치는 있을거 아니예요?”라고 말하며 김치를 가위로 잘랐다.
## 이날 <백종원:PER>은 비빔국수를 만들기 위해“집에 김치는 있을거 아니예요?”라고 말하며 김치를 가위로 잘랐다.
이날	이날	NNG	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
비빔국수	비빔국수	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EF	O
“	“	SS	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
김치	김치	NNG	O
는	는	JX	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
거	것+이	NNB+VCP	O
_	_	_	O
아니	아니	VCN	O
예요	예요	EF	O
?	?	SF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말하	말하	VV	O
며	며	EC	O
_	_	_	O
김치	김치	NNG	O
를	를	JKO	O
_	_	_	O
가위	가위	NNG	O
로	로	JKB	O
_	_	_	O
잘	자르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이에 김구라가 “사실 진짜 이렇게 먹는 게 제일 맛있어”라고 말하자, 백종원은 “그럼 그렇게 하지 아까”라고 말해 웃음을 자아냈다.
## 이에 <김구라:PER>가 “사실 진짜 이렇게 먹는 게 제일 맛있어”라고 말하자, <백종원:PER>은 “그럼 그렇게 하지 아까”라고 말해 웃음을 자아냈다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
김구라	김구라	NNP	B-PER
가	가	JKS	O
_	_	_	O
“	“	SS	O
사실	사실	MAG	O
_	_	_	O
진짜	진짜	MAG	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
제일	제일	MAG	O
_	_	_	O
맛있	맛있	VA	O
어	어	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말하	말하	VV	O
자	자	EC	O
,	,	SP	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
그럼	그럼	MAJ	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
아까	아까	MAG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이후 백종원은 삶은 국수를 넣고 “이정도 넣으면 달겠다
## 이후 <백종원:PER>은 삶은 국수를 넣고 “이정도 넣으면 달겠다
이후	이후	NNG	O
_	_	_	O
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
삶	삶	VV	O
은	은	ETM	O
_	_	_	O
국수	국수	NNG	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
이	이	MM	O
정도	정도	NNG	O
_	_	_	O
넣	넣	VV	O
으면	으면	EC	O
_	_	_	O
달	달	VV	O
겠	겠	EP	O
다	다	EF	O

## 6
## 신계동장어, 수산물품질검사원이 인증한 無항생제 명품 장어
## <신계동장어:POH>, <수산물품질검사원:ORG>이 인증한 無항생제 명품 장어
신계동	신계동	NNP	B-POH
장어	장어	NNG	I-POH
,	,	SP	O
_	_	_	O
수산물	수산물	NNG	B-ORG
품질	품질	NNG	I-ORG
검사	검사	NNG	I-ORG
원	원	XSN	I-ORG
이	이	JKS	O
_	_	_	O
인증한	인증하+ㄴ	VV+ETM	O
_	_	_	O
無	無	SH	O
항생제	항생제	NNG	O
_	_	_	O
명품	명품	NNG	O
_	_	_	O
장어	장어	NNG	O

## 7
## 성명을 낸 이유에 대해선 “최근 부실기업 구조조정 과정에서 표출된 경제정책의 컨트롤타워 부재 및 관료들의 책임 회피 성향을 그대로 방치해서는 한국 경제의 생존조차 보장할 수 없다는 위기감을 느끼게 됐다.
## 성명을 낸 이유에 대해선 “최근 부실기업 구조조정 과정에서 표출된 경제정책의 컨트롤타워 부재 및 관료들의 책임 회피 성향을 그대로 방치해서는 <한국:ORG> 경제의 생존조차 보장할 수 없다는 위기감을 느끼게 됐다.
성명	성명	NNG	O
을	을	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
에	에	JKB	O
_	_	_	O
대해선	대하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
_	_	_	O
부실	부실	NNG	O
기업	기업	NNG	O
_	_	_	O
구조	구조	NNG	O
조정	조정	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
표출된	표출되+ㄴ	VV+ETM	O
_	_	_	O
경제정책	경제정책	NNG	O
의	의	JKG	O
_	_	_	O
컨트롤	컨트롤	NNG	O
타워	타워	NNG	O
_	_	_	O
부재	부재	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
관료	관료	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
책임	책임	NNG	O
_	_	_	O
회피	회피	NNG	O
_	_	_	O
성향	성향	NNG	O
을	을	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
방치해서	방치하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
경제	경제	NNG	O
의	의	JKG	O
_	_	_	O
생존	생존	NNG	O
조차	조차	JX	O
_	_	_	O
보장할	보장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
위기감	위기감	NNG	O
을	을	JKO	O
_	_	_	O
느끼	느끼	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 27일 오전 서울북부지법 형사합의13부(부장판사 박남천) 심리로 열린 오모씨(45)에 대한 결심공판에서 검찰은 오씨에게 무기징역을 구형했다.
## <27일:DAT> 오전 <서울북부지법 형사합의13부:ORG>(부장판사 <박남천:PER>) 심리로 열린 <오모:PER>씨(<45:NOH>)에 대한 결심공판에서 검찰은 <오:PER>씨에게 무기징역을 구형했다.
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
서울북부지법	서울북부지법	NNP	B-ORG
_	_	_	I-ORG
형사	형사	NNG	I-ORG
합의	합의	NNG	I-ORG
13	13	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
부장판사	부장판사	NNG	O
_	_	_	O
박남천	박남천	NNP	B-PER
)	)	SS	O
_	_	_	O
심리	심리	NNG	O
로	로	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
오	오	NNP	B-PER
모	모	NP	I-PER
씨	씨	NNB	O
(	(	SS	O
45	45	SN	B-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
결심	결심	NNG	O
공판	공판	NNG	O
에서	에서	JKB	O
_	_	_	O
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
오	오	NNP	B-PER
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
무기	무기	NNG	O
징역	징역	NNG	O
을	을	JKO	O
_	_	_	O
구형	구형하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 노력만이 해답이에요.”양 대표는 올해 글로벌 시장 진출을 확대하고 있다.
## 노력만이 해답이에요.”<양:PER> 대표는 올해 글로벌 시장 진출을 확대하고 있다.
노력	노력	NNG	O
만	만	JX	O
이	이	JKS	O
_	_	_	O
해답	해답	NNG	O
이	이	VCP	O
에요	에요	EF	O
.	.	SF	O
”	”	SS	O
양	양	NNB	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
진출	진출	NNG	O
을	을	JKO	O
_	_	_	O
확대하	확대하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 공항에서 포착된 곽도원 장소연은 다정한 연인의 모습으로 달달한 모습을 보였다.
## 공항에서 포착된 <곽도원:PER> <장소연:PER>은 다정한 연인의 모습으로 달달한 모습을 보였다.
공항	공항	NNG	O
에서	에서	JKB	O
_	_	_	O
포착된	포착되+ㄴ	VV+ETM	O
_	_	_	O
곽도원	곽도원	NNP	B-PER
_	_	_	O
장소연	장소연	NNP	B-PER
은	은	JX	O
_	_	_	O
다정한	다정하+ㄴ	VA+ETM	O
_	_	_	O
연인	연인	NNG	O
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
으로	으로	JKB	O
_	_	_	O
달달한	달달하+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 삼성전자는 2000년대 후반부터 딱딱한 인상을 주는 양복 대신 ‘비즈니스 캐주얼’로 복장을 자율화한 데 이어 최근에는 출근과 퇴근 시간을 자유롭게 정할 수 있도록 했다.
## <삼성전자:ORG>는 <2000년대:DUR> 후반부터 딱딱한 인상을 주는 양복 대신 ‘비즈니스 캐주얼’로 복장을 자율화한 데 이어 최근에는 출근과 퇴근 시간을 자유롭게 정할 수 있도록 했다.
삼성전자	삼성전자	NNP	B-ORG
는	는	JX	O
