## 1
## 두 사람의 엇갈린 주장에 미궁 속으로 빠진 노부부의 죽음. 14일 오후 11시 방송되는 종편 채널A의 ‘모큐드라마 싸인’이 노부부의 죽음을 둘러싼 진실을 추적해 공개한다.
## <두 사람:NOH>의 엇갈린 주장에 미궁 속으로 빠진 노부부의 죽음. <14일:DAT> <오후 11시:TIM> 방송되는 종편 <채널A:ORG>의 ‘<모큐드라마 싸인:POH>’이 노부부의 죽음을 둘러싼 진실을 추적해 공개한다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
의	의	JKG	O
_	_	_	O
엇갈린	엇갈리+ㄴ	VV+ETM	O
_	_	_	O
주장	주장	NNG	O
에	에	JKB	O
_	_	_	O
미궁	미궁	NNG	O
_	_	_	O
속	속	NNG	O
으로	으로	JKB	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
노부부	노부부	NNG	O
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
.	.	SF	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
11	11	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
방송되	방송되	VV	O
는	는	ETM	O
_	_	_	O
종편	종편	NNG	O
_	_	_	O
채널	채널	NNG	B-ORG
A	A	SL	I-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
모	모	NNB	B-POH
큐	큐	NNG	I-POH
드라마	드라마	NNG	I-POH
_	_	_	I-POH
싸인	싸이+ㄴ	VV+ETM	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
노부부	노부부	NNG	O
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
진실	진실	NNG	O
을	을	JKO	O
_	_	_	O
추적해	추적하+여	VV+EC	O
_	_	_	O
공개한다	공개하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ‘아빠를 부탁해’ 강석우 ‘훈남’ 아들 공개…“어렸을 때부터 ‘굿보이’였다”
## ‘<아빠를 부탁해:POH>’ <강석우:PER> ‘훈남’ 아들 공개…“어렸을 때부터 ‘굿보이’였다”
‘	‘	SS	O
아빠	아빠	NNG	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
부탁해	부탁하+여	VV+EF	I-POH
’	’	SS	O
_	_	_	O
강석우	강석우	NNP	B-PER
_	_	_	O
‘	‘	SS	O
훈	훈	NNP	O
남	남	NNG	O
’	’	SS	O
_	_	_	O
아들	아들	NNG	O
_	_	_	O
공개	공개	NNG	O
…	…	SE	O
“	“	SS	O
어렸	어리+었	VA+EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
‘	‘	SS	O
굿보이	굿보이	NNP	O
’	’+이	SS+VCP	O
였	었	EP	O
다	다	EF	O
”	”	SS	O

## 3
## ○ 북-미, 강 대 강 대결로 치닫나 북한은 미중 정상회담 직전인 6일 단거리 미사일을 쏘아 올린 이후 별다른 군사적 도발이나 강경 발언 없이 조용하다.
## ○ <북-미:ORG>, 강 대 강 대결로 치닫나 <북한:ORG>은 <미중 정상회담:POH> 직전인 <6일:DAT> 단거리 미사일을 쏘아 올린 이후 별다른 군사적 도발이나 강경 발언 없이 조용하다.
○	○	SW	O
_	_	_	O
북	북	NNP	B-ORG
-	-	SO	I-ORG
미	미	NNP	I-ORG
,	,	SP	O
_	_	_	O
강	강	NNG	O
_	_	_	O
대	대	XPN	O
_	_	_	O
강	강	NNG	O
_	_	_	O
대결	대결	NNG	O
로	로	JKB	O
_	_	_	O
치	치	XSN	O
닫	닫	VV	O
나	나	EC	O
_	_	_	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
미	미	NNP	B-POH
중	중	NNP	I-POH
_	_	_	I-POH
정상	정상	NNG	I-POH
회담	회담	NNG	I-POH
_	_	_	O
직전	직전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
단거리	단거리	NNG	O
_	_	_	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
쏘	쏘	VV	O
아	아	EC	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
별다른	별다르+ㄴ	VA+ETM	O
_	_	_	O
군사적	군사적	NNG	O
_	_	_	O
도발	도발	NNG	O
이나	이나	JC	O
_	_	_	O
강경	강경	NNG	O
_	_	_	O
발언	발언	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
조용하	조용하	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 국내 판매는 최근 출시한 ‘K7’과 ‘모하비’의 신차 효과로 전년 대비 11.4% 늘었다.
