## 1
## 바르는 탈모약(미녹시딜)은 두피 혈액순환이 원활해져 머리카락이 잘 자라도록 돕는다.
## 바르는 탈모약(<미녹시딜:POH>)은 두피 혈액순환이 원활해져 머리카락이 잘 자라도록 돕는다.
바르	바르	VV	O
는	는	ETM	O
_	_	_	O
탈모	탈모	NNG	O
약	약	NNG	O
(	(	SS	O
미녹시딜	미녹시딜	NNG	B-POH
)	)	SS	O
은	은	JX	O
_	_	_	O
두피	두피	NNG	O
_	_	_	O
혈액	혈액	NNG	O
순환	순환	NNG	O
이	이	JKS	O
_	_	_	O
원활해	원활하+여	VA+EC	O
져	지+어	VX+EC	O
_	_	_	O
머리카락	머리카락	NNG	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
자라	자라	VV	O
도록	도록	EC	O
_	_	_	O
돕	돕	VV	O
는다	는다	EF	O
.	.	SF	O

## 2
## 올 시즌 신인드래프트 1순위 이종현이 10일 부상 부위에 대한 최종 진단을 받은 뒤 1군에 합류했다.
## 올 시즌 신인드래프트 <1순위:NOH> <이종현:PER>이 <10일:DAT> 부상 부위에 대한 최종 진단을 받은 뒤 <1군:ORG>에 합류했다.
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
신인	신인	NNG	O
드래프트	드래프트	NNG	O
_	_	_	O
1	1	SN	B-NOH
순위	순위	NNG	I-NOH
_	_	_	O
이종현	이종현	NNP	B-PER
이	이	JKS	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
부상	부상	NNG	O
_	_	_	O
부위	부위	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
진단	진단	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
1	1	SN	B-ORG
군	군	NNG	I-ORG
에	에	JKB	O
_	_	_	O
합류	합류하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 12일은 북한이 2013년 실시한 3차 핵실험의 4주년이 되는 날이기도 하다.
## <12일:DAT>은 <북한:ORG>이 <2013년:DAT> 실시한 <3차:NOH> 핵실험의 <4주년:NOH>이 되는 날이기도 하다.
12	12	SN	B-DAT
일	일	NNB	I-DAT
은	은	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
실시한	실시하+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
핵	핵	NNG	O
실험	실험	NNG	O
의	의	JKG	O
_	_	_	O
4	4	SN	B-NOH
주년	주년	NNB	I-NOH
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
날	날	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 농림축산식품부가 운영하는 라이스랩은 다양한 쌀 가공식품을 시범 출시해 소비자 반응을 조사하고 제품 개발과 사업화를 지원하는 문화공간이다.
## <농림축산식품부:ORG>가 운영하는 <라이스랩:ORG>은 다양한 쌀 가공식품을 시범 출시해 소비자 반응을 조사하고 제품 개발과 사업화를 지원하는 문화공간이다.
농림	농림	NNG	B-ORG
축산식품	축산식품	NNG	I-ORG
부	부	XSN	I-ORG
가	가	JKS	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
라이스	라이스	NNP	B-ORG
랩	랩	NNG	I-ORG
은	은	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
쌀	쌀	NNG	O
_	_	_	O
가공식품	가공식품	NNG	O
을	을	JKO	O
_	_	_	O
시범	시범	NNG	O
_	_	_	O
출시해	출시하+여	VV+EC	O
_	_	_	O
소비자	소비자	NNG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
조사하	조사하	VV	O
고	고	EC	O
_	_	_	O
제품	제품	NNG	O
_	_	_	O
개발	개발	NNG	O
과	과	JC	O
_	_	_	O
사업	사업	NNG	O
화	화	XSN	O
를	를	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
문화	문화	NNG	O
공간	공간	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
